Global Internal Force:
 7.7035E+05  1.6230E+06  7.7035E+05 
 7.7035E+05 -1.6230E+06  7.7035E+05 
 7.7035E+05  1.6230E+06 -7.7035E+05 
 7.7035E+05 -1.6230E+06 -7.7035E+05 
-7.7035E+05  1.6230E+06  7.7035E+05 
-7.7035E+05 -1.6230E+06  7.7035E+05 
-7.7035E+05  1.6230E+06 -7.7035E+05 
-7.7035E+05 -1.6230E+06 -7.7035E+05 
-4.9827E-07 -2.1059E-07 -2.8576E-06 
-4.9827E-07  2.1059E-07 -2.8576E-06 
-4.9827E-07 -2.1059E-07  2.8576E-06 
-4.9827E-07  2.1059E-07  2.8576E-06 
 4.9827E-07 -7.8594E-07 -1.0665E-05 
 4.9827E-07  7.8594E-07 -1.0665E-05 
 4.9827E-07 -7.8594E-07  1.0665E-05 
 4.9827E-07  7.8594E-07  1.0665E-05 

Global Internal Force:
 9.7051E+05  2.2795E+06  9.7051E+05 
 9.7051E+05 -2.2795E+06  9.7051E+05 
 9.7051E+05  2.2795E+06 -9.7051E+05 
 9.7051E+05 -2.2795E+06 -9.7051E+05 
-9.7051E+05  2.2795E+06  9.7051E+05 
-9.7051E+05 -2.2795E+06  9.7051E+05 
-9.7051E+05  2.2795E+06 -9.7051E+05 
-9.7051E+05 -2.2795E+06 -9.7051E+05 
-4.9827E-07 -2.1059E-07 -2.8576E-06 
-4.9827E-07  2.1059E-07 -2.8576E-06 
-4.9827E-07 -2.1059E-07  2.8576E-06 
-4.9827E-07  2.1059E-07  2.8576E-06 
 4.9827E-07 -7.8594E-07 -1.0665E-05 
 4.9827E-07  7.8594E-07 -1.0665E-05 
 4.9827E-07 -7.8594E-07  1.0665E-05 
 4.9827E-07  7.8594E-07  1.0665E-05 

