
                             LAE Whole Model VD Whole Model  ETOTAL Whole Mode  
                  X                -2             -2                l-2         
											 
                0.               0.             0.                48.75E+03     
              112.36E-06       227.85E-06       4.57291E+03       52.2291E+03   
              113.636E-06            NoValue        NoValue            NoValue  
              224.719E-06       34.4771E-09     5.02119E+03       49.75E+03     
              227.273E-06            NoValue        NoValue            NoValue  
              337.079E-06     -113.936E-06      5.05479E+03       49.7483E+03   
              340.909E-06            NoValue        NoValue            NoValue  
              449.438E-06     -341.763E-06      5.02919E+03       51.3297E+03   
              454.545E-06            NoValue        NoValue            NoValue  
              561.798E-06      683.913E-06      6.91265E+03       48.7082E+03   
              568.182E-06            NoValue        NoValue            NoValue  
              674.157E-06     -911.998E-06     10.3284E+03        50.6284E+03   
              681.818E-06            NoValue        NoValue            NoValue  
              786.517E-06      684.503E-06     11.2024E+03        49.7625E+03   
              795.455E-06            NoValue        NoValue            NoValue  
              898.876E-06        0.            11.1536E+03        49.0506E+03   
              909.091E-06            NoValue        NoValue            NoValue  
                1.01124E-03    114.103E-06     11.1683E+03        50.4669E+03   
                1.02273E-03          NoValue        NoValue            NoValue  
                1.1236E-03     570.592E-06     12.4194E+03        48.8197E+03   
                1.13636E-03          NoValue        NoValue            NoValue  
                1.23595E-03    456.647E-06     15.1379E+03        49.6974E+03   
                1.25E-03             NoValue        NoValue            NoValue  
                1.34831E-03    456.7E-06       16.262E+03         49.6097E+03   
                1.36364E-03          NoValue        NoValue            NoValue  
                1.46067E-03    456.766E-06     16.2879E+03        48.8083E+03   
                1.47727E-03          NoValue        NoValue            NoValue  
                1.57303E-03   -228.371E-06     16.3429E+03        49.8278E+03   
                1.59091E-03          NoValue        NoValue            NoValue  
                1.68539E-03   -228.398E-06     17.2519E+03        48.9041E+03   
                1.70455E-03          NoValue        NoValue            NoValue  
                1.79775E-03     -1.37078E-03   19.4072E+03        49.2073E+03   
                1.81818E-03          NoValue        NoValue            NoValue  
                1.91011E-03   -342.849E-06     20.6314E+03        49.4079E+03   
                1.93182E-03          NoValue        NoValue            NoValue  
                2.02247E-03    571.601E-06     20.7946E+03        48.7562E+03   
                2.04545E-03          NoValue        NoValue            NoValue  
                2.13483E-03    228.747E-06     20.9021E+03        49.4039E+03   
                2.15909E-03          NoValue        NoValue            NoValue  
                2.24719E-03   -228.662E-06     21.6299E+03        48.9368E+03   
                2.27273E-03          NoValue        NoValue            NoValue  
                2.35955E-03   -457.493E-06     23.3608E+03        48.9728E+03   
                2.38636E-03          NoValue        NoValue            NoValue  
                2.47191E-03      2.06009E-03   24.5857E+03        49.2271E+03   
                2.5E-03              NoValue        NoValue            NoValue  
                2.58427E-03   -228.872E-06     24.8903E+03        48.769E+03    
                2.61364E-03          NoValue        NoValue            NoValue  
                2.69663E-03    343.384E-06     25.0633E+03        49.1485E+03   
                2.72727E-03          NoValue        NoValue            NoValue  
                2.80899E-03    -57.2022E-06    25.6984E+03        48.9377E+03   
                2.84091E-03          NoValue        NoValue            NoValue  
                2.92135E-03   -114.49E-06      27.1223E+03        48.874E+03    
                2.95455E-03          NoValue        NoValue            NoValue  
                3.03371E-03      2.06208E-03   28.2959E+03        49.0949E+03   
                3.06818E-03          NoValue        NoValue            NoValue  
                3.14607E-03     -2.29103E-03   28.7187E+03        48.7964E+03   
                3.18182E-03          NoValue        NoValue            NoValue  
                3.25843E-03    229.152E-06     28.963E+03         49.0093E+03   
                3.29545E-03          NoValue        NoValue            NoValue  
                3.37079E-03      0.            29.5547E+03        48.926E+03    
                3.40909E-03          NoValue        NoValue            NoValue  
                3.48315E-03    687.918E-06     30.7636E+03        48.8462E+03   
                3.52273E-03          NoValue        NoValue            NoValue  
                3.59551E-03    229.734E-06     31.8651E+03        49.0078E+03   
                3.63636E-03          NoValue        NoValue            NoValue  
                3.70787E-03      1.37632E-03   32.3756E+03        48.8262E+03   
                3.75E-03             NoValue        NoValue            NoValue  
                3.82022E-03     98.531E-09     32.6908E+03        48.9397E+03   
                3.86364E-03          NoValue        NoValue            NoValue  
                3.93258E-03   -803.033E-06     33.2654E+03        48.9202E+03   
                3.97727E-03          NoValue        NoValue            NoValue  
                4.04494E-03    459.11E-06      34.3218E+03        48.8499E+03   
                4.09091E-03          NoValue        NoValue            NoValue  
                4.1573E-03     114.778E-06     35.3493E+03        48.9548E+03   
                4.20455E-03          NoValue        NoValue            NoValue  
                4.26966E-03      0.            35.9209E+03        48.8488E+03   
                4.31818E-03          NoValue        NoValue            NoValue  
                4.38202E-03    976.194E-06     36.3011E+03        48.9113E+03   
                4.43182E-03          NoValue        NoValue            NoValue  
                4.49438E-03      1.14866E-03   36.8746E+03        48.9136E+03   
                4.54545E-03          NoValue        NoValue            NoValue  
                4.60674E-03    287.162E-06     37.8233E+03        48.8585E+03   
                4.65909E-03          NoValue        NoValue            NoValue  
                4.7191E-03     689.589E-06     38.7805E+03        48.9327E+03   
                4.77273E-03          NoValue        NoValue            NoValue  
                4.83146E-03     -2.2412E-03    39.3906E+03        48.8739E+03   
                4.88636E-03          NoValue        NoValue            NoValue  
                4.94382E-03    517.388E-06     39.8271E+03        48.9061E+03   
                5.E-03               NoValue        NoValue            NoValue  
                5.05618E-03     -1.03478E-03   40.4083E+03        48.9133E+03   
                5.11364E-03          NoValue        NoValue            NoValue  
                5.16854E-03   -172.496E-06     41.2819E+03        48.8808E+03   
                5.22727E-03          NoValue        NoValue            NoValue  
                5.2809E-03       2.87637E-03   42.1789E+03        48.9332E+03   
                5.34091E-03          NoValue        NoValue            NoValue  
                5.39326E-03     -3.45153E-03   42.8115E+03        48.8937E+03   
                5.45455E-03          NoValue        NoValue            NoValue  
                5.50562E-03    374.092E-06     43.2939E+03        48.9179E+03   
                5.56818E-03          NoValue        NoValue            NoValue  
                5.61798E-03    863.51E-06      43.8855E+03        48.9261E+03   
                5.68182E-03          NoValue        NoValue            NoValue  
                5.73034E-03      1.43988E-03   44.706E+03         48.9015E+03   
                5.79545E-03          NoValue        NoValue            NoValue  
                5.8427E-03      -1.3817E-03    45.5529E+03        48.9397E+03   
                5.90909E-03          NoValue        NoValue            NoValue  
                5.95506E-03   -460.718E-06     46.1972E+03        48.9243E+03   
                6.02273E-03          NoValue        NoValue            NoValue  
                6.06742E-03    230.449E-06     46.717E+03         48.9271E+03   
                6.13636E-03          NoValue        NoValue            NoValue  
                6.17978E-03      2.82348E-03   47.3205E+03        48.9311E+03   
                6.25E-03             NoValue        NoValue            NoValue  
                6.29213E-03     -3.80285E-03   48.1018E+03        48.9219E+03   
                6.36364E-03          NoValue        NoValue            NoValue  
                6.40449E-03      2.30591E-03   48.906E+03         48.9355E+03   
                6.47727E-03          NoValue        NoValue            NoValue  
                6.51685E-03    115.327E-06     49.5559E+03        48.9377E+03   
                6.59091E-03          NoValue        NoValue            NoValue  
                6.62921E-03    115.372E-06     50.1057E+03        48.947E+03    
                6.70455E-03          NoValue        NoValue            NoValue  
                6.74157E-03   -922.868E-06     50.7203E+03        48.9592E+03   
                6.81818E-03          NoValue        NoValue            NoValue  
                6.85393E-03    173.142E-06     51.4724E+03        48.9571E+03   
                6.93182E-03          NoValue        NoValue            NoValue  
                6.96629E-03    461.762E-06     52.2422E+03        48.9636E+03   
                7.04545E-03          NoValue        NoValue            NoValue  
                7.07865E-03   -288.509E-06     52.8929E+03        48.9583E+03   
                7.15909E-03          NoValue        NoValue            NoValue  
                7.19101E-03   -259.771E-06     53.4657E+03        48.9586E+03   
                7.27273E-03          NoValue        NoValue            NoValue  
                7.30337E-03     86.6421E-06    54.0904E+03        48.9727E+03   
                7.38636E-03          NoValue        NoValue            NoValue  
                7.41573E-03    462.1E-06       54.8209E+03        48.9739E+03   
                7.5E-03              NoValue        NoValue            NoValue  
