
                             ALLIE Whole Model  ALLKE Whole Model  ALLWK Whole Model  ETOTAL Whole Mode
                  X                  -1                 -1                 -1                l-1       

                0.                 0.                 9.75E+03           0.                 9.75E+03   
              184.138E-06         16.9684E+03         9.75E+03          18.0676E+03         9.74218E+03
              368.206E-06         67.907E+03          9.75E+03          71.197E+03          9.73434E+03
              552.107E-06        152.814E+03          9.75E+03         158.295E+03          9.72649E+03
              735.808E-06        271.662E+03          9.75E+03         279.335E+03          9.71863E+03
              919.293E-06        424.417E+03          9.75E+03         434.281E+03          9.71074E+03
                1.10255E-03      611.034E+03          9.75E+03         623.088E+03          9.70287E+03
                1.28557E-03      831.471E+03          9.75E+03         845.717E+03          9.69501E+03
                1.46835E-03        1.08568E+06        9.75E+03           1.10212E+06        9.6872E+03 
                1.6509E-03         1.37362E+06        9.75E+03           1.39225E+06        9.67922E+03
                1.8332E-03         1.69524E+06        9.75E+03           1.71606E+06        9.67158E+03
                2.01526E-03        2.05049E+06        9.75E+03           2.0735E+06         9.66357E+03
                2.19708E-03        2.43934E+06        9.75E+03           2.46454E+06        9.65589E+03
                2.37866E-03        2.86174E+06        9.75E+03           2.88913E+06        9.64781E+03
                2.55999E-03        3.31763E+06        9.75E+03           3.34722E+06        9.63998E+03
                2.74109E-03        3.80699E+06        9.75E+03           3.83876E+06        9.63203E+03
                2.92194E-03        4.32975E+06        9.75E+03           4.36372E+06        9.62436E+03
                3.10256E-03        4.8859E+06         9.75E+03           4.92206E+06        9.61619E+03
                3.28293E-03        5.47536E+06        9.75E+03           5.51371E+06        9.60822E+03
                3.46307E-03        6.09811E+06        9.75E+03           6.13865E+06        9.60041E+03
                3.64296E-03        6.75408E+06        9.75E+03           6.79681E+06        9.59219E+03
                3.82262E-03        7.44325E+06        9.75E+03           7.48817E+06        9.58468E+03
                4.00204E-03        8.16556E+06        9.75E+03           8.21268E+06        9.5769E+03 
                4.18122E-03        8.92099E+06        9.75E+03           8.97029E+06        9.56915E+03
                4.36016E-03        9.70946E+06        9.75E+03           9.76096E+06        9.56175E+03
                4.53886E-03       10.531E+06          9.75E+03          10.5846E+06         9.55337E+03
                4.71732E-03       11.3854E+06         9.75E+03          11.4413E+06         9.54538E+03
                4.89555E-03       12.2728E+06         9.75E+03          12.3309E+06         9.53702E+03
                5.07354E-03       13.1931E+06         9.75E+03          13.2534E+06         9.52925E+03
                5.2513E-03        14.1462E+06         9.75E+03          14.2087E+06         9.52246E+03
                5.42882E-03       15.1321E+06         9.75E+03          15.1968E+06         9.51401E+03
                5.6061E-03        16.1508E+06         9.75E+03          16.2177E+06         9.50688E+03
                5.78315E-03       17.2022E+06         9.75E+03          17.2712E+06         9.50077E+03
                5.95996E-03       18.2863E+06         9.75E+03          18.3575E+06         9.49346E+03
                6.13654E-03       19.4029E+06         9.75E+03          19.4763E+06         9.485E+03  
                6.31288E-03       20.5522E+06         9.75E+03          20.6278E+06         9.47563E+03
                6.489E-03         21.734E+06          9.75E+03          21.8118E+06         9.46793E+03
                6.66488E-03       22.9483E+06         9.75E+03          23.0283E+06         9.45948E+03
                6.84052E-03       24.1951E+06         9.75E+03          24.2773E+06         9.45213E+03
                7.01593E-03       25.4743E+06         9.75E+03          25.5586E+06         9.44394E+03
                7.19111E-03       26.7858E+06         9.75E+03          26.8723E+06         9.43525E+03
                7.36605E-03       28.1296E+06         9.75E+03          28.2184E+06         9.4279E+03 
                7.54077E-03       29.5057E+06         9.75E+03          29.5967E+06         9.42116E+03
                7.71525E-03       30.9141E+06         9.75E+03          31.0073E+06         9.41259E+03
                7.88951E-03       32.3547E+06         9.75E+03          32.45E+06           9.40439E+03
                8.06353E-03       33.8274E+06         9.75E+03          33.9249E+06         9.3978E+03 
                8.23732E-03       35.3323E+06         9.75E+03          35.432E+06          9.39159E+03
                8.41087E-03       36.8692E+06         9.75E+03          36.9711E+06         9.38464E+03
                8.58177E-03       38.4159E+06         9.75E+03          38.5199E+06         9.37694E+03
                8.75E-03          39.9708E+06         9.75E+03          40.077E+06          9.36908E+03
                8.91558E-03       41.5327E+06         9.75E+03          41.641E+06          9.36782E+03
                9.07848E-03       43.0999E+06         9.75E+03          43.2103E+06         9.3602E+03 
                9.23873E-03       44.6712E+06         9.75E+03          44.7836E+06         9.35209E+03
                9.39631E-03       46.2451E+06         9.75E+03          46.3595E+06         9.35048E+03
                9.55123E-03       47.8203E+06         9.75E+03          47.9367E+06         9.3418E+03 
                9.70348E-03       49.3953E+06         9.75E+03          49.5136E+06         9.33818E+03
                9.85307E-03       50.9689E+06         9.75E+03          51.0891E+06         9.3352E+03 
               10.E-03            52.5397E+06         9.75E+03          52.6618E+06         9.32813E+03




