
                             LE:LE11 PI: PART-  RF:RF2 PI: PART-2  S:S11 PI: PART-2-  U:U2 PI: PART-2-1
                  X            2-1 E: 1 IP: 1        -1 N: 1          1 E: 1 IP: 1           N: 1      

                0.                 0.                 0.                 0.                 0.         
              368.34E-06           1.83997E-03      -75.8347E+06       368.018E+06         -1.8417E-03 
              552.71E-06           2.7597E-03      -112.461E+06        552.004E+06         -2.76355E-03
              737.279E-06          3.67965E-03     -149.034E+06        736.068E+06         -3.68639E-03
              922.058E-06          4.59971E-03     -185.544E+06        920.149E+06         -4.61029E-03
                1.10707E-03        5.5201E-03      -222.013E+06          1.10437E+09       -5.53536E-03
                1.29231E-03        6.44071E-03     -258.415E+06          1.28858E+09       -6.46156E-03
                1.4778E-03         7.3619E-03      -294.787E+06          1.47299E+09       -7.38902E-03
                1.66353E-03        8.28319E-03     -331.097E+06          1.65742E+09       -8.31764E-03
                1.8495E-03         9.20504E-03     -367.356E+06          1.84194E+09       -9.2475E-03 
                2.03572E-03       10.1271E-03      -403.573E+06          2.02659E+09      -10.1786E-03 
                2.22219E-03       11.0496E-03      -439.738E+06          2.2113E+09       -11.111E-03  
                2.40891E-03       11.9726E-03      -475.858E+06          2.39614E+09      -12.0446E-03 
                2.78308E-03       13.8195E-03      -547.954E+06          2.76609E+09      -13.9154E-03 
                2.97055E-03       14.7435E-03      -583.936E+06          2.95125E+09      -14.8527E-03 
                3.15825E-03       15.6679E-03      -619.863E+06          3.13647E+09      -15.7912E-03 
                3.34621E-03       16.5926E-03      -655.738E+06          3.32176E+09      -16.731E-03  
                3.53442E-03       17.5177E-03      -691.569E+06          3.50717E+09      -17.6721E-03 
                3.72288E-03       18.4433E-03      -727.359E+06          3.69272E+09      -18.6144E-03 
                3.91159E-03       19.3692E-03      -763.097E+06          3.87833E+09      -19.5579E-03 
                4.10055E-03       20.2953E-03      -798.787E+06          4.06406E+09      -20.5027E-03 
                4.28976E-03       21.2219E-03      -834.428E+06          4.24987E+09      -21.4488E-03 
                4.47922E-03       22.149E-03       -870.025E+06          4.4358E+09       -22.3961E-03 
                4.66893E-03       23.0763E-03      -905.575E+06          4.62182E+09      -23.3447E-03 
                4.8589E-03        24.0041E-03      -941.072E+06          4.80792E+09      -24.2945E-03 
                5.04912E-03       24.9321E-03      -976.524E+06          4.99414E+09      -25.2456E-03 
                5.2396E-03        25.8607E-03        -1.01194E+09        5.18049E+09      -26.198E-03  
                5.43032E-03       26.7895E-03        -1.04729E+09        5.36689E+09      -27.1516E-03 
                5.62131E-03       27.7188E-03        -1.0826E+09         5.55343E+09      -28.1065E-03 
                5.81254E-03       28.6484E-03        -1.11787E+09        5.74007E+09      -29.0627E-03 
                6.00403E-03       29.5783E-03        -1.15309E+09        5.92679E+09      -30.0201E-03 
                6.38777E-03       31.4395E-03        -1.22339E+09        6.3006E+09       -31.9389E-03 
                6.58003E-03       32.3705E-03        -1.25846E+09        6.48759E+09      -32.9001E-03 
                6.77255E-03       33.302E-03         -1.29349E+09        6.67477E+09      -33.8627E-03 
                6.96532E-03       34.2339E-03        -1.32848E+09        6.86204E+09      -34.8266E-03 
                7.15834E-03       35.166E-03         -1.36341E+09        7.04937E+09      -35.7917E-03 
                7.35163E-03       36.0987E-03        -1.3983E+09         7.23683E+09      -36.7581E-03 
                7.54517E-03       37.0316E-03        -1.43315E+09        7.42442E+09      -37.7258E-03 
                7.73897E-03       37.965E-03         -1.46795E+09        7.61208E+09      -38.6948E-03 
                7.93303E-03       38.8986E-03        -1.5027E+09         7.79985E+09      -39.6651E-03 
                8.12735E-03       39.8328E-03        -1.53741E+09        7.98776E+09      -40.6367E-03 
                8.32038E-03       40.7598E-03        -1.57179E+09        8.17426E+09      -41.6019E-03 
                8.51214E-03       41.6799E-03        -1.60586E+09        8.35938E+09      -42.5607E-03 
                8.70261E-03       42.593E-03         -1.63961E+09        8.54313E+09      -43.5131E-03 
                8.8918E-03        43.499E-03         -1.67305E+09        8.7255E+09       -44.459E-03  
                9.07971E-03       44.3981E-03        -1.70618E+09        8.90653E+09      -45.3985E-03 
                9.26633E-03       45.2904E-03        -1.739E+09          9.08619E+09      -46.3317E-03 
                9.45167E-03       46.1757E-03        -1.77149E+09        9.26443E+09      -47.2584E-03 
                9.63573E-03       47.0541E-03        -1.80369E+09        9.44134E+09      -48.1787E-03 
                9.81851E-03       47.9255E-03        -1.8356E+09         9.61692E+09      -49.0925E-03 
               10.E-03            48.7901E-03        -1.86719E+09        9.79111E+09      -50.E-03     




