
                             A:A1 PI: HOST-1 N  A:A2 PI: HOST-1 N  ALLAE Whole Model  ALLIE Whole Model  ALLKE Whole Model  ALLSE Whole Model  ALLWK Whole Model                     ETOTAL Whole Mode  LE:LE11 PI: HOST-  LE:LE22 PI: HOST-  RF:RF1 PI: HOST-1  RF:RF2 PI: HOST-1  S:S11 PI: HOST-1   S:S22 PI: HOST-1   U:U1 PI: HOST-1 N  U:U2 PI: HOST-1 N
                  X                 : 1                : 1                 -1                 -1                 -1                 -1                 -1          DT Whole Model-1         l-1          1 E: 1 Centroid    1 E: 1 Centroid          N: 1               N: 1          E: 1 Centroid      E: 1 Centroid           : 1                : 1       

                0.                -2.00207E+03        0.                 0.                 0.                31.2E+03            0.                 0.               112.36E-06          31.2E+03            0.                 0.                 0.                 1.95202E+06        0.                 0.                 0.                 0.         
              112.36E-06         -13.5952E+03         0.               341.738E-06         25.935E+03         34.1943E+03        25.935E+03         29.63E+03         112.36E-06          33.426E+03        -12.6363E-06       449.318E-06          0.                31.011E+06         47.0037E+06       118.056E+06        -12.6377E-06       449.438E-06  
              224.719E-06         -7.46862E+03        0.               683.532E-06         82.7737E+03        47.7433E+03        82.7737E+03       101.891E+03        112.36E-06          31.8403E+03      -196.923E-06        898.434E-06          0.                49.3788E+06        27.9708E+06       196.455E+06       -196.91E-06         898.876E-06  
              337.079E-06          7.43871E+03        0.              -455.737E-06        183.574E+03         47.771E+03        183.574E+03        202.744E+03        112.36E-06          31.8366E+03      -475.579E-06          1.34738E-03        0.                62.8199E+06       -27.4528E+06       253.051E+06       -475.472E-06          1.34831E-03
              449.438E-06         11.7079E+03         0.              -170.851E-06        328.453E+03         34.9886E+03       328.453E+03        333.815E+03        112.36E-06          32.846E+03       -660.339E-06          1.79618E-03        0.                82.9962E+06       -46.7318E+06       331.306E+06       -660.122E-06          1.79775E-03
              561.798E-06        977.797              0.              -341.756E-06        504.398E+03         31.4904E+03       504.398E+03        509.139E+03        112.36E-06          31.1715E+03      -697.2E-06            2.24469E-03        0.               112.051E+06         -9.10474E+06      443.533E+06       -696.964E-06          2.24719E-03
              674.157E-06        -10.0131E+03         0.               912.055E-06        728.681E+03         33.5759E+03       728.681E+03        736.472E+03        112.36E-06          32.3946E+03      -721.715E-06          2.693E-03          0.               140.856E+06         33.33E+06         558.594E+06       -721.461E-06          2.69663E-03
              786.517E-06         -7.45957E+03        0.                -1.5962E-03       989.472E+03         43.3104E+03       989.472E+03          1.00811E+06      112.36E-06          31.8481E+03      -872.725E-06          3.14111E-03        0.               161.339E+06         26.9637E+06       644.418E+06       -872.37E-06           3.14607E-03
              898.876E-06          4.21143E+03        0.               456.084E-06          1.29015E+06       45.9492E+03         1.29015E+06        1.31186E+06      112.36E-06          31.3836E+03        -1.11806E-03        3.58902E-03        0.               176.583E+06        -15.779E+06        708.516E+06         -1.11745E-03        3.59551E-03
                1.01124E-03        9.54946E+03        0.              -113.99E-06           1.63528E+06       36.5535E+03         1.63528E+06        1.64669E+06      112.36E-06          32.2906E+03        -1.3102E-03         4.03673E-03        0.               195.918E+06        -38.0389E+06       784.834E+06         -1.30937E-03        4.04494E-03
                1.1236E-03         2.4377E+03         0.                57.1345E-06         2.01409E+06       32.1681E+03         2.01409E+06        2.02296E+06      112.36E-06          31.2431E+03        -1.3817E-03         4.48436E-03        0.               222.675E+06        -13.7814E+06       888.862E+06         -1.38073E-03        4.49438E-03
