
                  X              ForcStress   

                0.                 0.         
              368.018E+06         75.8347E+06 
              552.004E+06        112.461E+06  
              736.068E+06        149.034E+06  
              920.149E+06        185.544E+06  
                1.10437E+09      222.013E+06  
                1.28858E+09      258.415E+06  
                1.47299E+09      294.787E+06  
                1.65742E+09      331.097E+06  
                1.84194E+09      367.356E+06  
                2.02659E+09      403.573E+06  
                2.2113E+09       439.738E+06  
                2.39614E+09      475.858E+06  
                2.76609E+09      547.954E+06  
                2.95125E+09      583.936E+06  
                3.13647E+09      619.863E+06  
                3.32176E+09      655.738E+06  
                3.50717E+09      691.569E+06  
                3.69272E+09      727.359E+06  
                3.87833E+09      763.097E+06  
                4.06406E+09      798.787E+06  
                4.24987E+09      834.428E+06  
                4.4358E+09       870.025E+06  
                4.62182E+09      905.575E+06  
                4.80792E+09      941.072E+06  
                4.99414E+09      976.524E+06  
                5.18049E+09        1.01194E+09
                5.36689E+09        1.04729E+09
                5.55343E+09        1.0826E+09 
                5.74007E+09        1.11787E+09
                5.92679E+09        1.15309E+09
                6.3006E+09         1.22339E+09
                6.48759E+09        1.25846E+09
                6.67477E+09        1.29349E+09
                6.86204E+09        1.32848E+09
                7.04937E+09        1.36341E+09
                7.23683E+09        1.3983E+09 
                7.42442E+09        1.43315E+09
                7.61208E+09        1.46795E+09
                7.79985E+09        1.5027E+09 
                7.98776E+09        1.53741E+09
                8.17426E+09        1.57179E+09
                8.35938E+09        1.60586E+09
                8.54313E+09        1.63961E+09
                8.7255E+09         1.67305E+09
                8.90653E+09        1.70618E+09
                9.08619E+09        1.739E+09  
                9.26443E+09        1.77149E+09
                9.44134E+09        1.80369E+09
                9.61692E+09        1.8356E+09 
                9.79111E+09        1.86719E+09





                  X              ForceDisp    

                0.                 0.         
               -1.8417E-03       -75.8347E+06 
               -2.76355E-03     -112.461E+06  
               -3.68639E-03     -149.034E+06  
               -4.61029E-03     -185.544E+06  
               -5.53536E-03     -222.013E+06  
               -6.46156E-03     -258.415E+06  
               -7.38902E-03     -294.787E+06  
               -8.31764E-03     -331.097E+06  
               -9.2475E-03      -367.356E+06  
              -10.1786E-03      -403.573E+06  
              -11.111E-03       -439.738E+06  
              -12.0446E-03      -475.858E+06  
              -13.9154E-03      -547.954E+06  
              -14.8527E-03      -583.936E+06  
              -15.7912E-03      -619.863E+06  
              -16.731E-03       -655.738E+06  
              -17.6721E-03      -691.569E+06  
              -18.6144E-03      -727.359E+06  
              -19.5579E-03      -763.097E+06  
              -20.5027E-03      -798.787E+06  
              -21.4488E-03      -834.428E+06  
              -22.3961E-03      -870.025E+06  
              -23.3447E-03      -905.575E+06  
              -24.2945E-03      -941.072E+06  
              -25.2456E-03      -976.524E+06  
              -26.198E-03         -1.01194E+09
              -27.1516E-03        -1.04729E+09
              -28.1065E-03        -1.0826E+09 
              -29.0627E-03        -1.11787E+09
              -30.0201E-03        -1.15309E+09
              -31.9389E-03        -1.22339E+09
              -32.9001E-03        -1.25846E+09
              -33.8627E-03        -1.29349E+09
              -34.8266E-03        -1.32848E+09
              -35.7917E-03        -1.36341E+09
              -36.7581E-03        -1.3983E+09 
              -37.7258E-03        -1.43315E+09
              -38.6948E-03        -1.46795E+09
              -39.6651E-03        -1.5027E+09 
              -40.6367E-03        -1.53741E+09
              -41.6019E-03        -1.57179E+09
              -42.5607E-03        -1.60586E+09
              -43.5131E-03        -1.63961E+09
              -44.459E-03         -1.67305E+09
              -45.3985E-03        -1.70618E+09
              -46.3317E-03        -1.739E+09  
              -47.2584E-03        -1.77149E+09
              -48.1787E-03        -1.80369E+09
              -49.0925E-03        -1.8356E+09 
              -50.E-03            -1.86719E+09




