4.05971e-07 1.05524e-07  6.13806e-18 -2.65710e-18 
8.11943e-07 8.82013e-07  -7.81356e-07 3.87270e-18 
1.21791e-06 1.90315e-06  -1.81851e-06 -4.03514e-18 
1.62389e-06 2.63198e-06  -2.56748e-06 3.83974e-18 
2.02985e-06 2.86349e-06  -2.82848e-06 -3.69554e-18 
2.43582e-06 2.47704e-06  -2.40607e-06 3.68105e-18 
2.84179e-06 1.85915e-06  -1.78227e-06 -3.92195e-18 
3.24776e-06 1.20418e-06  -1.14421e-06 4.67347e-18 
3.65373e-06 5.78900e-07  -5.14138e-07 -6.02697e-18 
4.05970e-06 3.52293e-07  -2.66831e-07 7.68468e-18 
4.46567e-06 7.52458e-07  -7.02863e-07 -9.13555e-18 
4.87164e-06 1.24260e-06  -1.19118e-06 1.00530e-17 
5.27761e-06 1.50209e-06  -1.44774e-06 -1.05260e-17 
5.68358e-06 1.46830e-06  -1.41414e-06 1.09120e-17 
6.08954e-06 1.32940e-06  -1.23917e-06 -1.14999e-17 
6.49551e-06 1.54080e-06  -1.48727e-06 1.23284e-17 
6.90148e-06 1.85806e-06  -1.81867e-06 -1.32309e-17 
7.30744e-06 2.01257e-06  -1.97872e-06 1.40072e-17 
7.71341e-06 1.84103e-06  -1.79544e-06 -1.45352e-17 
8.11938e-06 1.43395e-06  -1.34578e-06 1.48879e-17 
8.52534e-06 1.22496e-06  -1.15654e-06 -1.53087e-17 
8.93131e-06 1.16077e-06  -1.13422e-06 1.60604e-17 
9.33727e-06 9.47620e-07  -9.24071e-07 -1.71497e-17 
9.74324e-06 6.65651e-07  -6.06400e-07 1.83576e-17 
1.01492e-05 6.62708e-07  -5.96153e-07 -1.94735e-17 
1.05552e-05 9.67928e-07  -9.16798e-07 2.05189e-17 
1.09611e-05 1.39808e-06  -1.35986e-06 -2.15491e-17 
1.13671e-05 1.83954e-06  -1.79524e-06 2.24236e-17 
1.17731e-05 2.26810e-06  -2.21703e-06 -2.28679e-17 
1.21790e-05 2.46716e-06  -2.44293e-06 2.28690e-17 
1.25850e-05 2.02908e-06  -1.99010e-06 -2.28027e-17 
1.29910e-05 1.23487e-06  -1.16723e-06 2.31375e-17 
1.33969e-05 7.23873e-07  -6.65101e-07 -2.40106e-17 
1.38029e-05 6.29139e-07  -5.98996e-07 2.52763e-17 
1.42088e-05 6.18803e-07  -6.07716e-07 -2.66809e-17 
1.46148e-05 4.75551e-07  -4.38048e-07 2.81726e-17 
1.50208e-05 5.51978e-07  -4.85903e-07 -2.95557e-17 
1.54267e-05 1.20480e-06  -1.14711e-06 3.06584e-17 
1.58327e-05 2.16875e-06  -2.13525e-06 -3.10848e-17 
1.62387e-05 2.81392e-06  -2.79123e-06 3.10012e-17 
1.66446e-05 2.72275e-06  -2.69690e-06 -3.05960e-17 
1.70506e-05 1.94928e-06  -1.90394e-06 3.06073e-17 
1.74565e-05 1.00188e-06  -9.43245e-07 -3.11517e-17 
1.78625e-05 3.89828e-07  -3.48103e-07 3.25299e-17 
1.82685e-05 2.12993e-07  -1.84257e-07 -3.41627e-17 
1.86744e-05 3.88401e-07  -3.61859e-07 3.59520e-17 
1.90804e-05 7.90317e-07  -7.56856e-07 -3.71621e-17 
1.94863e-05 1.28104e-06  -1.24169e-06 3.80240e-17 
1.98923e-05 1.69753e-06  -1.66062e-06 -3.82247e-17 
2.02983e-05 1.91316e-06  -1.86751e-06 3.84857e-17 
2.07042e-05 2.00987e-06  -1.96762e-06 -3.85893e-17 
2.11102e-05 1.99389e-06  -1.97531e-06 3.92071e-17 
2.15161e-05 1.68044e-06  -1.66749e-06 -3.98237e-17 
2.19221e-05 1.12967e-06  -1.08918e-06 4.09520e-17 
2.23280e-05 7.89696e-07  -7.26829e-07 -4.18123e-17 
2.27340e-05 9.45023e-07  -9.00739e-07 4.28693e-17 
2.31400e-05 1.25937e-06  -1.24914e-06 -4.33661e-17 
2.35459e-05 1.19562e-06  -1.18537e-06 4.41800e-17 
2.39519e-05 7.73621e-07  -7.33297e-07 -4.48168e-17 
2.43578e-05 5.35150e-07  -4.84918e-07 4.62004e-17 
2.47638e-05 8.07516e-07  -7.69999e-07 -4.73084e-17 
2.51697e-05 1.44420e-06  -1.41696e-06 4.86470e-17 
2.55757e-05 2.09045e-06  -2.06876e-06 -4.90224e-17 
2.59817e-05 2.40946e-06  -2.38783e-06 4.94658e-17 
2.63876e-05 2.25095e-06  -2.22304e-06 -4.91191e-17 
2.67936e-05 1.71932e-06  -1.67963e-06 4.95305e-17 
