4.37200e-07 1.86347e-06  9.66680e-07 9.66680e-07 
8.74400e-07 2.78568e-06  2.28786e-06 3.23951e-06 
1.31160e-06 3.82664e-06  3.86853e-06 5.86458e-06 
1.74880e-06 4.49271e-06  5.87042e-06 8.58194e-06 
2.18600e-06 4.48853e-06  8.87043e-06 1.15754e-05 
2.62320e-06 3.92316e-06  1.28421e-05 1.49452e-05 
3.06039e-06 3.22654e-06  1.72821e-05 1.87022e-05 
3.49759e-06 2.50244e-06  2.23663e-05 2.30754e-05 
3.93479e-06 2.06994e-06  2.82218e-05 2.84624e-05 
4.37199e-06 2.38842e-06  3.44336e-05 3.50327e-05 
4.80918e-06 2.92155e-06  4.14293e-05 4.25623e-05 
5.24638e-06 3.22412e-06  4.92682e-05 5.07070e-05 
5.68358e-06 3.16209e-06  5.79515e-05 5.93185e-05 
6.12077e-06 3.04447e-06  6.72535e-05 6.84679e-05 
6.55797e-06 3.32486e-06  7.67504e-05 7.82961e-05 
6.99516e-06 3.64831e-06  8.70226e-05 8.88944e-05 
7.43236e-06 3.75413e-06  9.82241e-05 1.00221e-04 
7.86955e-06 3.39954e-06  1.10493e-04 1.12083e-04 
8.30675e-06 3.00977e-06  1.23128e-04 1.24314e-04 
8.74394e-06 2.89720e-06  1.35894e-04 1.37017e-04 
9.18113e-06 2.76149e-06  1.49499e-04 1.50515e-04 
9.61833e-06 2.46788e-06  1.64313e-04 1.64993e-04 
1.00555e-05 2.37609e-06  1.79772e-04 1.80346e-04 
1.04927e-05 2.61976e-06  1.95606e-04 1.96437e-04 
1.09299e-05 3.08406e-06  2.12003e-04 2.13322e-04 
1.13671e-05 3.59920e-06  2.29240e-04 2.31055e-04 
1.18043e-05 4.10613e-06  2.47085e-04 2.49414e-04 
1.22415e-05 4.16248e-06  2.65640e-04 2.68052e-04 
1.26787e-05 3.47182e-06  2.85202e-04 2.86887e-04 
1.31159e-05 2.69568e-06  3.05300e-04 3.06192e-04 
1.35531e-05 2.39503e-06  3.25659e-04 3.26273e-04 
1.39902e-05 2.38546e-06  3.46603e-04 3.47249e-04 
1.44274e-05 2.22172e-06  3.68695e-04 3.69163e-04 
1.48646e-05 2.16461e-06  3.91737e-04 3.92106e-04 
1.53018e-05 2.75602e-06  4.15134e-04 4.16094e-04 
1.57390e-05 3.80129e-06  4.38857e-04 4.40890e-04 
1.61762e-05 4.54056e-06  4.63293e-04 4.66081e-04 
1.66134e-05 4.42840e-06  4.88694e-04 4.91370e-04 
1.70506e-05 3.53923e-06  5.15022e-04 5.16777e-04 
1.74878e-05 2.56712e-06  5.41835e-04 5.42614e-04 
1.79250e-05 2.02126e-06  5.69048e-04 5.69300e-04 
1.83621e-05 1.97909e-06  5.96915e-04 5.97138e-04 
1.87993e-05 2.29456e-06  6.25631e-04 6.26167e-04 
1.92365e-05 2.78499e-06  6.55147e-04 6.56163e-04 
1.96737e-05 3.26370e-06  6.85315e-04 6.86815e-04 
2.01109e-05 3.53594e-06  7.16156e-04 7.17915e-04 
2.05481e-05 3.68604e-06  7.47498e-04 7.49405e-04 
2.09853e-05 3.73920e-06  7.79335e-04 7.81324e-04 
2.14225e-05 3.44585e-06  8.12079e-04 8.13788e-04 
2.18596e-05 2.85965e-06  8.45882e-04 8.46969e-04 
2.22968e-05 2.55314e-06  8.80239e-04 8.80994e-04 
2.27340e-05 2.79607e-06  9.14777e-04 9.15804e-04 
2.31712e-05 3.03545e-06  9.49911e-04 9.51217e-04 
2.36084e-05 2.73768e-06  9.86172e-04 9.87160e-04 
2.40456e-05 2.28203e-06  1.02331e-03 1.02381e-03 
2.44827e-05 2.30038e-06  1.06090e-03 1.06142e-03 
2.49199e-05 2.86996e-06  1.09894e-03 1.10005e-03 
2.53571e-05 3.61485e-06  1.13763e-03 1.13949e-03 
2.57943e-05 4.09766e-06  1.17710e-03 1.17945e-03 
2.62315e-05 4.06695e-06  1.21742e-03 1.21974e-03 
2.66687e-05 3.55247e-06  1.25852e-03 1.26030e-03 
2.71058e-05 2.86464e-06  1.30014e-03 1.30123e-03 
2.75430e-05 2.32225e-06  1.34219e-03 1.34275e-03 
2.79802e-05 2.03193e-06  1.38489e-03 1.38517e-03 
2.84174e-05 1.99861e-06  1.42849e-03 1.42874e-03 
2.88546e-05 2.24239e-06  1.47299e-03 1.47348e-03 
2.92918e-05 2.80301e-06  1.51814e-03 1.51916e-03 
2.97289e-05 3.61405e-06  1.56362e-03 1.56546e-03 
3.01661e-05 4.27482e-06  1.60958e-03 1.61211e-03 
3.06033e-05 4.26897e-06  1.65647e-03 1.65901e-03 
