5.21083e-07 1.93877e-10  4.53023e-19 0.00000e+00 
1.04217e-06 1.67055e-09  -1.44042e-09 0.00000e+00 
1.56325e-06 4.50370e-09  -4.21700e-09 0.00000e+00 
2.08433e-06 9.42897e-09  -8.96086e-09 0.00000e+00 
2.60542e-06 1.88762e-08  -1.81431e-08 0.00000e+00 
3.12650e-06 3.59636e-08  -3.49691e-08 0.00000e+00 
3.64758e-06 6.51900e-08  -6.37269e-08 0.00000e+00 
4.16867e-06 1.12359e-07  -1.10447e-07 0.00000e+00 
4.68975e-06 1.79972e-07  -1.77810e-07 0.00000e+00 
5.21083e-06 2.70770e-07  -2.68199e-07 0.00000e+00 
5.73192e-06 3.93679e-07  -3.90347e-07 0.00000e+00 
6.25300e-06 5.58075e-07  -5.54078e-07 0.00000e+00 
6.77408e-06 7.69112e-07  -7.64531e-07 0.00000e+00 
7.29516e-06 1.03494e-06  -1.02957e-06 0.00000e+00 
7.81625e-06 1.36462e-06  -1.35847e-06 0.00000e+00 
8.33733e-06 1.76149e-06  -1.75480e-06 0.00000e+00 
8.85841e-06 2.23589e-06  -2.22832e-06 0.00000e+00 
9.37950e-06 2.81057e-06  -2.80160e-06 0.00000e+00 
9.90058e-06 3.49766e-06  -3.48772e-06 0.00000e+00 
1.04217e-05 4.29523e-06  -4.28457e-06 0.00000e+00 
1.09427e-05 5.21503e-06  -5.20327e-06 0.00000e+00 
1.14638e-05 6.27790e-06  -6.26489e-06 0.00000e+00 
1.19849e-05 7.49341e-06  -7.47943e-06 0.00000e+00 
1.25060e-05 8.87826e-06  -8.86275e-06 0.00000e+00 
1.30271e-05 1.04628e-05  -1.04456e-05 0.00000e+00 
1.35482e-05 1.22518e-05  -1.22336e-05 0.00000e+00 
1.40692e-05 1.42364e-05  -1.42173e-05 0.00000e+00 
1.45903e-05 1.64459e-05  -1.64250e-05 0.00000e+00 
1.51114e-05 1.89237e-05  -1.89009e-05 0.00000e+00 
1.56325e-05 2.16797e-05  -2.16555e-05 0.00000e+00 
1.61536e-05 2.47224e-05  -2.46966e-05 0.00000e+00 
1.66747e-05 2.80787e-05  -2.80510e-05 0.00000e+00 
1.71957e-05 3.17532e-05  -3.17242e-05 0.00000e+00 
1.77168e-05 3.57506e-05  -3.57202e-05 0.00000e+00 
1.82379e-05 4.01294e-05  -4.00964e-05 0.00000e+00 
1.87590e-05 4.49398e-05  -4.49045e-05 0.00000e+00 
1.92801e-05 5.01663e-05  -5.01296e-05 0.00000e+00 
1.98012e-05 5.58043e-05  -5.57658e-05 0.00000e+00 
2.03222e-05 6.19007e-05  -6.18600e-05 0.00000e+00 
2.08433e-05 6.84835e-05  -6.84410e-05 0.00000e+00 
2.13644e-05 7.55718e-05  -7.55271e-05 0.00000e+00 
2.18855e-05 8.32291e-05  -8.31813e-05 0.00000e+00 
2.24066e-05 9.14855e-05  -9.14355e-05 0.00000e+00 
2.29277e-05 1.00299e-04  -1.00248e-04 0.00000e+00 
2.34487e-05 1.09685e-04  -1.09631e-04 0.00000e+00 
2.39698e-05 1.19740e-04  -1.19683e-04 0.00000e+00 
2.44909e-05 1.30509e-04  -1.30450e-04 0.00000e+00 
2.50120e-05 1.41988e-04  -1.41926e-04 0.00000e+00 
2.55331e-05 1.54215e-04  -1.54150e-04 0.00000e+00 
2.60542e-05 1.67211e-04  -1.67144e-04 0.00000e+00 
2.65752e-05 1.80954e-04  -1.80885e-04 0.00000e+00 
2.70963e-05 1.95509e-04  -1.95437e-04 0.00000e+00 
2.76174e-05 2.11002e-04  -2.10926e-04 0.00000e+00 
2.81385e-05 2.27441e-04  -2.27363e-04 0.00000e+00 
2.86596e-05 2.44772e-04  -2.44691e-04 0.00000e+00 
2.91806e-05 2.63040e-04  -2.62956e-04 0.00000e+00 
2.97017e-05 2.82315e-04  -2.82228e-04 0.00000e+00 
3.02228e-05 3.02614e-04  -3.02524e-04 0.00000e+00 
3.07439e-05 3.24015e-04  -3.23921e-04 0.00000e+00 
3.12650e-05 3.46612e-04  -3.46514e-04 0.00000e+00 
3.17861e-05 3.70354e-04  -3.70255e-04 0.00000e+00 
3.23071e-05 3.95188e-04  -3.95086e-04 0.00000e+00 
3.28282e-05 4.21235e-04  -4.21129e-04 0.00000e+00 
3.33493e-05 4.48622e-04  -4.48512e-04 0.00000e+00 
3.38704e-05 4.77347e-04  -4.77234e-04 0.00000e+00 
3.43915e-05 5.07435e-04  -5.07318e-04 0.00000e+00 
3.49126e-05 5.38939e-04  -5.38819e-04 0.00000e+00 
3.54336e-05 5.71822e-04  -5.71699e-04 0.00000e+00 
3.59547e-05 6.06101e-04  -6.05975e-04 0.00000e+00 
3.64758e-05 6.41969e-04  -6.41838e-04 0.00000e+00 
3.69969e-05 6.79530e-04  -6.79394e-04 0.00000e+00 
3.75180e-05 7.18690e-04  -7.18551e-04 0.00000e+00 
3.80391e-05 7.59435e-04  -7.59293e-04 0.00000e+00 
3.85601e-05 8.01874e-04  -8.01728e-04 0.00000e+00 
3.90812e-05 8.46050e-04  -8.45900e-04 0.00000e+00 
3.96023e-05 8.92026e-04  -8.91871e-04 0.00000e+00 
4.01234e-05 9.39962e-04  -9.39803e-04 0.00000e+00 
4.06445e-05 9.89869e-04  -9.89706e-04 0.00000e+00 
4.11656e-05 1.04161e-03  -1.04144e-03 0.00000e+00 
4.16866e-05 1.09523e-03  -1.09506e-03 0.00000e+00 
4.22077e-05 1.15097e-03  -1.15080e-03 0.00000e+00 
4.27288e-05 1.20890e-03  -1.20872e-03 0.00000e+00 
4.32499e-05 1.26899e-03  -1.26881e-03 0.00000e+00 
4.37710e-05 1.33133e-03  -1.33114e-03 0.00000e+00 
4.42920e-05 1.39590e-03  -1.39571e-03 0.00000e+00 
4.48131e-05 1.46264e-03  -1.46244e-03 0.00000e+00 
4.53342e-05 1.53173e-03  -1.53153e-03 0.00000e+00 
4.58553e-05 1.60344e-03  -1.60323e-03 0.00000e+00 
4.63764e-05 1.67770e-03  -1.67749e-03 0.00000e+00 
4.68975e-05 1.75440e-03  -1.75419e-03 0.00000e+00 
4.74185e-05 1.83364e-03  -1.83342e-03 0.00000e+00 
4.79396e-05 1.91551e-03  -1.91529e-03 0.00000e+00 
4.84607e-05 2.00006e-03  -1.99983e-03 0.00000e+00 
4.89818e-05 2.08748e-03  -2.08724e-03 0.00000e+00 
4.95029e-05 2.17789e-03  -2.17765e-03 0.00000e+00 
5.00240e-05 2.27114e-03  -2.27089e-03 0.00000e+00 
5.05450e-05 2.36713e-03  -2.36688e-03 0.00000e+00 
5.10661e-05 2.46613e-03  -2.46587e-03 0.00000e+00 
5.15872e-05 2.56833e-03  -2.56807e-03 0.00000e+00 
5.21083e-05 2.67373e-03  -2.67346e-03 0.00000e+00 
5.26294e-05 2.78237e-03  -2.78210e-03 0.00000e+00 
