5.21083e-07 4.74206e-07  2.32647e-17 0.00000e+00 
1.04217e-06 4.16526e-06  -3.58303e-06 0.00000e+00 
1.56325e-06 1.13062e-05  -1.05870e-05 0.00000e+00 
2.08433e-06 2.35882e-05  -2.24254e-05 0.00000e+00 
2.60541e-06 4.71316e-05  -4.52890e-05 0.00000e+00 
3.12649e-06 8.98672e-05  -8.73841e-05 0.00000e+00 
3.64757e-06 1.62758e-04  -1.59128e-04 0.00000e+00 
4.16865e-06 2.80472e-04  -2.75664e-04 0.00000e+00 
4.68973e-06 4.49857e-04  -4.44428e-04 0.00000e+00 
5.21081e-06 6.76885e-04  -6.70467e-04 0.00000e+00 
5.73189e-06 9.83389e-04  -9.75101e-04 0.00000e+00 
6.25297e-06 1.39405e-03  -1.38400e-03 0.00000e+00 
6.77405e-06 1.92183e-03  -1.91037e-03 0.00000e+00 
7.29513e-06 2.58556e-03  -2.57217e-03 0.00000e+00 
7.81620e-06 3.40974e-03  -3.39429e-03 0.00000e+00 
8.33728e-06 4.40327e-03  -4.38647e-03 0.00000e+00 
8.85836e-06 5.58773e-03  -5.56891e-03 0.00000e+00 
9.37943e-06 7.02062e-03  -6.99824e-03 0.00000e+00 
9.90051e-06 8.73913e-03  -8.71414e-03 0.00000e+00 
1.04216e-05 1.07356e-02  -1.07089e-02 0.00000e+00 
1.09427e-05 1.30325e-02  -1.30032e-02 0.00000e+00 
1.14637e-05 1.56875e-02  -1.56549e-02 0.00000e+00 
1.19848e-05 1.87281e-02  -1.86931e-02 0.00000e+00 
1.25059e-05 2.21858e-02  -2.21472e-02 0.00000e+00 
1.30270e-05 2.61405e-02  -2.60974e-02 0.00000e+00 
1.35480e-05 3.06188e-02  -3.05729e-02 0.00000e+00 
1.40691e-05 3.55857e-02  -3.55380e-02 0.00000e+00 
1.45902e-05 4.10985e-02  -4.10466e-02 0.00000e+00 
1.51112e-05 4.72845e-02  -4.72275e-02 0.00000e+00 
1.56323e-05 5.41792e-02  -5.41185e-02 0.00000e+00 
1.61534e-05 6.17824e-02  -6.17180e-02 0.00000e+00 
1.66745e-05 7.01653e-02  -7.00960e-02 0.00000e+00 
1.71955e-05 7.93607e-02  -7.92878e-02 0.00000e+00 
1.77166e-05 8.93554e-02  -8.92795e-02 0.00000e+00 
1.82377e-05 1.00275e-01  -1.00193e-01 0.00000e+00 
1.87587e-05 1.12291e-01  -1.12202e-01 0.00000e+00 
1.92798e-05 1.25376e-01  -1.25284e-01 0.00000e+00 
1.98009e-05 1.39469e-01  -1.39373e-01 0.00000e+00 
2.03219e-05 1.54689e-01  -1.54588e-01 0.00000e+00 
2.08430e-05 1.71150e-01  -1.71043e-01 0.00000e+00 
2.13641e-05 1.88865e-01  -1.88753e-01 0.00000e+00 
2.18851e-05 2.07971e-01  -2.07852e-01 0.00000e+00 
2.24062e-05 2.28611e-01  -2.28485e-01 0.00000e+00 
2.29273e-05 2.50682e-01  -2.50553e-01 0.00000e+00 
2.34483e-05 2.74128e-01  -2.73994e-01 0.00000e+00 
2.39694e-05 2.99212e-01  -2.99071e-01 0.00000e+00 
2.44905e-05 3.26134e-01  -3.25985e-01 0.00000e+00 
2.50115e-05 3.54838e-01  -3.54683e-01 0.00000e+00 
2.55326e-05 3.85370e-01  -3.85208e-01 0.00000e+00 
2.60537e-05 4.17863e-01  -4.17695e-01 0.00000e+00 
2.65747e-05 4.52252e-01  -4.52080e-01 0.00000e+00 
2.70958e-05 4.88583e-01  -4.88404e-01 0.00000e+00 
2.76168e-05 5.27234e-01  -5.27045e-01 0.00000e+00 
2.81379e-05 5.68358e-01  -5.68161e-01 0.00000e+00 
2.86590e-05 6.11719e-01  -6.11518e-01 0.00000e+00 
2.91800e-05 6.57334e-01  -6.57125e-01 0.00000e+00 
2.97011e-05 7.05491e-01  -7.05274e-01 0.00000e+00 
3.02221e-05 7.56249e-01  -7.56026e-01 0.00000e+00 
3.07432e-05 8.09674e-01  -8.09441e-01 0.00000e+00 
3.12643e-05 8.66090e-01  -8.65847e-01 0.00000e+00 
3.17853e-05 9.25516e-01  -9.25266e-01 0.00000e+00 
3.23064e-05 9.87634e-01  -9.87379e-01 0.00000e+00 
3.28274e-05 1.05262e+00  -1.05236e+00 0.00000e+00 
3.33485e-05 1.12101e+00  -1.12073e+00 0.00000e+00 
3.38696e-05 1.19285e+00  -1.19257e+00 0.00000e+00 
3.43906e-05 1.26801e+00  -1.26772e+00 0.00000e+00 
3.49117e-05 1.34671e+00  -1.34641e+00 0.00000e+00 
3.54327e-05 1.42898e+00  -1.42867e+00 0.00000e+00 
3.59538e-05 1.51465e+00  -1.51434e+00 0.00000e+00 
3.64748e-05 1.60411e+00  -1.60378e+00 0.00000e+00 
3.69959e-05 1.69793e+00  -1.69759e+00 0.00000e+00 
3.75169e-05 1.79594e+00  -1.79559e+00 0.00000e+00 
3.80380e-05 1.89776e+00  -1.89740e+00 0.00000e+00 
3.85590e-05 2.00372e+00  -2.00335e+00 0.00000e+00 
3.90801e-05 2.11415e+00  -2.11378e+00 0.00000e+00 
3.96012e-05 2.22902e+00  -2.22863e+00 0.00000e+00 
4.01222e-05 2.34863e+00  -2.34824e+00 0.00000e+00 
4.06433e-05 2.47339e+00  -2.47298e+00 0.00000e+00 
4.11643e-05 2.60289e+00  -2.60247e+00 0.00000e+00 
4.16854e-05 2.73682e+00  -2.73639e+00 0.00000e+00 
4.22064e-05 2.87589e+00  -2.87545e+00 0.00000e+00 
4.27275e-05 3.02067e+00  -3.02022e+00 0.00000e+00 
4.32485e-05 3.17089e+00  -3.17042e+00 0.00000e+00 
4.37696e-05 3.32655e+00  -3.32607e+00 0.00000e+00 
4.42906e-05 3.48797e+00  -3.48748e+00 0.00000e+00 
4.48117e-05 3.65490e+00  -3.65441e+00 0.00000e+00 
4.53327e-05 3.82733e+00  -3.82683e+00 0.00000e+00 
4.58537e-05 4.00623e+00  -4.00571e+00 0.00000e+00 
4.63748e-05 4.19196e+00  -4.19143e+00 0.00000e+00 
4.68958e-05 4.38380e+00  -4.38326e+00 0.00000e+00 
4.74169e-05 4.58163e+00  -4.58108e+00 0.00000e+00 
4.79379e-05 4.78616e+00  -4.78560e+00 0.00000e+00 
4.84590e-05 4.99750e+00  -4.99693e+00 0.00000e+00 
4.89800e-05 5.21569e+00  -5.21510e+00 0.00000e+00 
4.95011e-05 5.44143e+00  -5.44083e+00 0.00000e+00 
5.00221e-05 5.67475e+00  -5.67413e+00 0.00000e+00 
5.05432e-05 5.91477e+00  -5.91415e+00 0.00000e+00 
5.10642e-05 6.16176e+00  -6.16112e+00 0.00000e+00 
5.15852e-05 6.41694e+00  -6.41629e+00 0.00000e+00 
5.21063e-05 6.68044e+00  -6.67978e+00 0.00000e+00 
5.26273e-05 6.95180e+00  -6.95112e+00 0.00000e+00 
5.31484e-05 7.23139e+00  -7.23069e+00 0.00000e+00 
5.36694e-05 7.51930e+00  -7.51860e+00 0.00000e+00 
5.41905e-05 7.81504e+00  -7.81432e+00 0.00000e+00 
5.47115e-05 8.11930e+00  -8.11857e+00 0.00000e+00 
5.52325e-05 8.43339e+00  -8.43263e+00 0.00000e+00 
5.57536e-05 8.75685e+00  -8.75608e+00 0.00000e+00 
5.62746e-05 9.08873e+00  -9.08795e+00 0.00000e+00 
5.67957e-05 9.42962e+00  -9.42882e+00 0.00000e+00 
5.73167e-05 9.78024e+00  -9.77943e+00 0.00000e+00 
5.78377e-05 1.01404e+01  -1.01396e+01 0.00000e+00 
