5.21083e-07 2.66263e-07  1.81987e-18 0.00000e+00 
1.04217e-06 1.85111e-06  -1.54820e-06 0.00000e+00 
1.56325e-06 5.28144e-06  -4.87738e-06 0.00000e+00 
2.08433e-06 1.20942e-05  -1.14722e-05 0.00000e+00 
2.60541e-06 2.37050e-05  -2.28419e-05 0.00000e+00 
3.12649e-06 4.46217e-05  -4.31634e-05 0.00000e+00 
3.64757e-06 8.21198e-05  -8.03241e-05 0.00000e+00 
4.16865e-06 1.38897e-04  -1.36753e-04 0.00000e+00 
4.68973e-06 2.21868e-04  -2.18962e-04 0.00000e+00 
5.21081e-06 3.38571e-04  -3.35158e-04 0.00000e+00 
5.73189e-06 4.92736e-04  -4.88751e-04 0.00000e+00 
6.25297e-06 6.98262e-04  -6.93093e-04 0.00000e+00 
6.77404e-06 9.63048e-04  -9.57387e-04 0.00000e+00 
7.29512e-06 1.28948e-03  -1.28298e-03 0.00000e+00 
7.81620e-06 1.69825e-03  -1.69039e-03 0.00000e+00 
8.33727e-06 2.19818e-03  -2.18974e-03 0.00000e+00 
8.85835e-06 2.79588e-03  -2.78620e-03 0.00000e+00 
9.37942e-06 3.51857e-03  -3.50729e-03 0.00000e+00 
9.90050e-06 4.36980e-03  -4.35782e-03 0.00000e+00 
1.04216e-05 5.35811e-03  -5.34476e-03 0.00000e+00 
1.09426e-05 6.51463e-03  -6.49957e-03 0.00000e+00 
1.14637e-05 7.84133e-03  -7.82542e-03 0.00000e+00 
1.19848e-05 9.35931e-03  -9.34146e-03 0.00000e+00 
1.25059e-05 1.11052e-02  -1.10856e-02 0.00000e+00 
1.30269e-05 1.30734e-02  -1.30527e-02 0.00000e+00 
1.35480e-05 1.52908e-02  -1.52679e-02 0.00000e+00 
1.40691e-05 1.77890e-02  -1.77645e-02 0.00000e+00 
1.45902e-05 2.05583e-02  -2.05326e-02 0.00000e+00 
1.51112e-05 2.36472e-02  -2.36187e-02 0.00000e+00 
1.56323e-05 2.70930e-02  -2.70627e-02 0.00000e+00 
1.61534e-05 3.08858e-02  -3.08538e-02 0.00000e+00 
1.66744e-05 3.50740e-02  -3.50393e-02 0.00000e+00 
1.71955e-05 3.96722e-02  -3.96360e-02 0.00000e+00 
1.77166e-05 4.46763e-02  -4.46381e-02 0.00000e+00 
1.82376e-05 5.01668e-02  -5.01253e-02 0.00000e+00 
1.87587e-05 5.61620e-02  -5.61188e-02 0.00000e+00 
1.92798e-05 6.26597e-02  -6.26139e-02 0.00000e+00 
1.98008e-05 6.97247e-02  -6.96759e-02 0.00000e+00 
2.03219e-05 7.73494e-02  -7.72990e-02 0.00000e+00 
2.08430e-05 8.55636e-02  -8.55102e-02 0.00000e+00 
2.13640e-05 9.44643e-02  -9.44074e-02 0.00000e+00 
2.18851e-05 1.04033e-01  -1.03974e-01 0.00000e+00 
2.24062e-05 1.14288e-01  -1.14226e-01 0.00000e+00 
2.29272e-05 1.25300e-01  -1.25236e-01 0.00000e+00 
2.34483e-05 1.37052e-01  -1.36985e-01 0.00000e+00 
2.39694e-05 1.49629e-01  -1.49558e-01 0.00000e+00 
2.44904e-05 1.63112e-01  -1.63038e-01 0.00000e+00 
2.50115e-05 1.77449e-01  -1.77372e-01 0.00000e+00 
2.55326e-05 1.92694e-01  -1.92614e-01 0.00000e+00 
2.60536e-05 2.08903e-01  -2.08820e-01 0.00000e+00 
2.65747e-05 2.26072e-01  -2.25985e-01 0.00000e+00 
2.70957e-05 2.44333e-01  -2.44242e-01 0.00000e+00 
2.76168e-05 2.63721e-01  -2.63627e-01 0.00000e+00 
2.81379e-05 2.84187e-01  -2.84090e-01 0.00000e+00 
2.86589e-05 3.05832e-01  -3.05730e-01 0.00000e+00 
2.91800e-05 3.28672e-01  -3.28568e-01 0.00000e+00 
2.97010e-05 3.52730e-01  -3.52622e-01 0.00000e+00 
3.02221e-05 3.78159e-01  -3.78046e-01 0.00000e+00 
3.07432e-05 4.04941e-01  -4.04825e-01 0.00000e+00 
3.12642e-05 4.33079e-01  -4.32959e-01 0.00000e+00 
3.17853e-05 4.62701e-01  -4.62576e-01 0.00000e+00 
3.23063e-05 4.93778e-01  -4.93650e-01 0.00000e+00 
3.28274e-05 5.26374e-01  -5.26242e-01 0.00000e+00 
3.33484e-05 5.60624e-01  -5.60487e-01 0.00000e+00 
3.38695e-05 5.96477e-01  -5.96337e-01 0.00000e+00 
3.43906e-05 6.34018e-01  -6.33872e-01 0.00000e+00 
3.49116e-05 6.73350e-01  -6.73200e-01 0.00000e+00 
3.54327e-05 7.14418e-01  -7.14265e-01 0.00000e+00 
3.59537e-05 7.57357e-01  -7.57198e-01 0.00000e+00 
3.64748e-05 8.02262e-01  -8.02098e-01 0.00000e+00 
3.69958e-05 8.49078e-01  -8.48910e-01 0.00000e+00 
3.75169e-05 8.97935e-01  -8.97761e-01 0.00000e+00 
3.80379e-05 9.48866e-01  -9.48689e-01 0.00000e+00 
3.85590e-05 1.00185e+00  -1.00167e+00 0.00000e+00 
3.90800e-05 1.05710e+00  -1.05691e+00 0.00000e+00 
3.96011e-05 1.11467e+00  -1.11447e+00 0.00000e+00 
4.01221e-05 1.17451e+00  -1.17431e+00 0.00000e+00 
4.06432e-05 1.23676e+00  -1.23655e+00 0.00000e+00 
4.11642e-05 1.30135e+00  -1.30114e+00 0.00000e+00 
