2.85615e-07 1.75167e-04  7.55725e-04 7.55725e-04 
5.71205e-07 2.03478e-04  8.53971e-04 8.80014e-04 
8.56794e-07 2.67353e-04  9.57402e-04 1.04796e-03 
1.14238e-06 3.42001e-04  1.07113e-03 1.23714e-03 
1.42797e-06 4.04350e-04  1.20763e-03 1.43619e-03 
1.71355e-06 4.47107e-04  1.37058e-03 1.64292e-03 
1.99913e-06 4.61625e-04  1.57325e-03 1.86108e-03 
2.28471e-06 4.42413e-04  1.82895e-03 2.09692e-03 
2.57028e-06 4.01379e-04  2.12986e-03 2.35560e-03 
2.85586e-06 3.56035e-04  2.45955e-03 2.63979e-03 
3.14144e-06 3.12245e-04  2.81486e-03 2.95191e-03 
3.42701e-06 2.68579e-04  3.20348e-03 3.29723e-03 
3.71258e-06 2.29258e-04  3.62987e-03 3.68396e-03 
3.99815e-06 2.07667e-04  4.08788e-03 4.11973e-03 
4.28372e-06 2.16325e-04  4.56676e-03 4.60742e-03 
4.56929e-06 2.50451e-04  5.06832e-03 5.14419e-03 
4.85486e-06 2.88303e-04  5.60923e-03 5.72345e-03 
5.14042e-06 3.13360e-04  6.19888e-03 6.33758e-03 
5.42599e-06 3.24623e-04  6.83035e-03 6.98001e-03 
5.71156e-06 3.24351e-04  7.49771e-03 7.64720e-03 
5.99712e-06 3.16061e-04  8.19897e-03 8.33955e-03 
6.28267e-06 3.13546e-04  8.92287e-03 9.06034e-03 
6.56823e-06 3.28549e-04  9.66028e-03 9.81368e-03 
6.85379e-06 3.52195e-04  1.04244e-02 1.06028e-02 
7.13934e-06 3.66724e-04  1.12359e-02 1.14290e-02 
7.42490e-06 3.66293e-04  1.20985e-02 1.22907e-02 
7.71046e-06 3.53383e-04  1.30046e-02 1.31836e-02 
7.99602e-06 3.30723e-04  1.39468e-02 1.41023e-02 
8.28157e-06 3.07367e-04  1.49121e-02 1.50433e-02 
8.56712e-06 2.95707e-04  1.58868e-02 1.60066e-02 
8.85267e-06 2.94537e-04  1.68761e-02 1.69964e-02 
9.13821e-06 2.88557e-04  1.79045e-02 1.80200e-02 
9.42376e-06 2.68368e-04  1.89907e-02 1.90858e-02 
9.70931e-06 2.42050e-04  2.01320e-02 2.01997e-02 
9.99486e-06 2.27015e-04  2.13112e-02 2.13628e-02 
1.02804e-05 2.35288e-04  2.25113e-02 2.25710e-02 
1.05660e-05 2.64611e-04  2.37275e-02 2.38172e-02 
1.08515e-05 3.01552e-04  2.49680e-02 2.50953e-02 
1.11370e-05 3.33977e-04  2.62435e-02 2.64034e-02 
1.14226e-05 3.59037e-04  2.75580e-02 2.77428e-02 
1.17081e-05 3.79422e-04  2.89098e-02 2.91148e-02 
1.19936e-05 3.95830e-04  3.02968e-02 3.05182e-02 
1.22792e-05 4.02716e-04  3.17195e-02 3.19482e-02 
1.25647e-05 3.89636e-04  3.31824e-02 3.33983e-02 
1.28503e-05 3.51485e-04  3.46869e-02 3.48641e-02 
1.31358e-05 2.99709e-04  3.62228e-02 3.63471e-02 
1.34213e-05 2.56398e-04  3.77744e-02 3.78553e-02 
1.37068e-05 2.34338e-04  3.93400e-02 3.93999e-02 
1.39924e-05 2.28582e-04  4.09356e-02 4.09909e-02 
1.42779e-05 2.27462e-04  4.25793e-02 4.26338e-02 
1.45634e-05 2.25156e-04  4.42769e-02 4.43287e-02 
1.48490e-05 2.24975e-04  4.60213e-02 4.60719e-02 
1.51345e-05 2.37152e-04  4.77968e-02 4.78587e-02 
1.54200e-05 2.71722e-04  4.95887e-02 4.96850e-02 
1.57055e-05 3.27668e-04  5.13944e-02 5.15474e-02 
1.59910e-05 3.89312e-04  5.32260e-02 5.34416e-02 
1.62766e-05 4.35486e-04  5.50992e-02 5.53615e-02 
1.65621e-05 4.51245e-04  5.70208e-02 5.72987e-02 
1.68476e-05 4.32387e-04  5.89879e-02 5.92465e-02 
1.71331e-05 3.84632e-04  6.09926e-02 6.12029e-02 
1.74186e-05 3.21534e-04  6.30263e-02 6.31730e-02 
1.77042e-05 2.60489e-04  6.50821e-02 6.51677e-02 
1.79897e-05 2.16138e-04  6.71586e-02 6.72002e-02 
1.82752e-05 1.94481e-04  6.92620e-02 6.92827e-02 
1.85607e-05 1.92742e-04  7.14031e-02 7.14225e-02 
1.88462e-05 2.05465e-04  7.35891e-02 7.36211e-02 
1.91317e-05 2.29739e-04  7.58182e-02 7.58741e-02 
1.94172e-05 2.63675e-04  7.80839e-02 7.81734e-02 
1.97027e-05 3.02433e-04  8.03808e-02 8.05090e-02 
1.99882e-05 3.38756e-04  8.27071e-02 8.28716e-02 
2.02737e-05 3.66542e-04  8.50615e-02 8.52538e-02 
2.05592e-05 3.82590e-04  8.74434e-02 8.76518e-02 
2.08447e-05 3.86525e-04  8.98536e-02 9.00661e-02 
2.11302e-05 3.79751e-04  9.22952e-02 9.25012e-02 
2.14157e-05 3.62767e-04  9.47743e-02 9.49638e-02 
2.17012e-05 3.34369e-04  9.72991e-02 9.74604e-02 
2.19867e-05 2.96795e-04  9.98726e-02 9.99958e-02 
2.22722e-05 2.60981e-04  1.02485e-01 1.02571e-01 
2.25577e-05 2.42137e-04  1.05118e-01 1.05185e-01 
2.28432e-05 2.47660e-04  1.07763e-01 1.07836e-01 
2.31287e-05 2.69850e-04  1.10425e-01 1.10521e-01 
2.34142e-05 2.90720e-04  1.13122e-01 1.13240e-01 
2.36996e-05 2.94642e-04  1.15871e-01 1.15993e-01 
2.39851e-05 2.79239e-04  1.18675e-01 1.18781e-01 
2.42706e-05 2.56737e-04  1.21522e-01 1.21604e-01 
2.45561e-05 2.44807e-04  1.24393e-01 1.24463e-01 
2.48416e-05 2.54290e-04  1.27278e-01 1.27358e-01 
2.51271e-05 2.83514e-04  1.30182e-01 1.30292e-01 
2.54125e-05 3.22173e-04  1.33118e-01 1.33267e-01 
2.56980e-05 3.59097e-04  1.36097e-01 1.36283e-01 
2.59835e-05 3.86518e-04  1.39120e-01 1.39333e-01 
2.62690e-05 3.99241e-04  1.42184e-01 1.42409e-01 
2.65544e-05 3.93389e-04  1.45283e-01 1.45503e-01 
2.68399e-05 3.68438e-04  1.48414e-01 1.48608e-01 
2.71254e-05 3.29856e-04  1.51572e-01 1.51728e-01 
2.74109e-05 2.87597e-04  1.54755e-01 1.54868e-01 
2.76963e-05 2.50925e-04  1.57962e-01 1.58039e-01 
2.79818e-05 2.24488e-04  1.61200e-01 1.61251e-01 
2.82673e-05 2.08397e-04  1.64476e-01 1.64512e-01 
2.85527e-05 2.01183e-04  1.67797e-01 1.67825e-01 
2.88382e-05 2.03087e-04  1.71163e-01 1.71192e-01 
2.91237e-05 2.17249e-04  1.74567e-01 1.74610e-01 
2.94091e-05 2.47417e-04  1.78000e-01 1.78073e-01 
2.96946e-05 2.93653e-04  1.81454e-01 1.81573e-01 
2.99801e-05 3.49475e-04  1.84929e-01 1.85104e-01 
3.02655e-05 4.02293e-04  1.88429e-01 1.88658e-01 
3.05510e-05 4.36774e-04  1.91964e-01 1.92228e-01 
3.08364e-05 4.40375e-04  1.95545e-01 1.95813e-01 
3.11219e-05 4.09687e-04  1.99176e-01 1.99412e-01 
3.14073e-05 3.54083e-04  2.02851e-01 2.03031e-01 
3.16928e-05 2.92732e-04  2.06558e-01 2.06676e-01 
3.19782e-05 2.45101e-04  2.10283e-01 2.10353e-01 
3.22637e-05 2.20793e-04  2.14023e-01 2.14069e-01 
3.25491e-05 2.16140e-04  2.17786e-01 2.17829e-01 
3.28346e-05 2.20047e-04  2.21588e-01 2.21636e-01 
3.31200e-05 2.24077e-04  2.25439e-01 2.25490e-01 
3.34055e-05 2.28519e-04  2.29337e-01 2.29392e-01 
3.36909e-05 2.40136e-04  2.33272e-01 2.33338e-01 
3.39764e-05 2.64511e-04  2.37234e-01 2.37324e-01 
3.42618e-05 3.00113e-04  2.41219e-01 2.41345e-01 
3.45473e-05 3.38908e-04  2.45230e-01 2.45395e-01 
3.48327e-05 3.71739e-04  2.49272e-01 2.49470e-01 
3.51181e-05 3.92465e-04  2.53349e-01 2.53568e-01 
