3.40414e-07 1.15978e-03  -1.03074e-03 0.00000e+00 
6.80799e-07 3.22346e-03  -3.09422e-03 0.00000e+00 
1.02118e-06 6.31997e-03  -6.19086e-03 0.00000e+00 
1.36157e-06 1.04456e-02  -1.03167e-02 0.00000e+00 
1.70195e-06 1.55979e-02  -1.54691e-02 0.00000e+00 
2.04233e-06 2.17779e-02  -2.16491e-02 0.00000e+00 
2.38272e-06 2.89895e-02  -2.88604e-02 0.00000e+00 
2.72310e-06 3.72374e-02  -3.71080e-02 0.00000e+00 
3.06348e-06 4.65274e-02  -4.63976e-02 0.00000e+00 
3.40387e-06 5.68661e-02  -5.67358e-02 0.00000e+00 
3.74425e-06 6.82599e-02  -6.81291e-02 0.00000e+00 
4.08463e-06 8.07108e-02  -8.05797e-02 0.00000e+00 
4.42501e-06 9.42143e-02  -9.40831e-02 0.00000e+00 
4.76539e-06 1.08763e-01  -1.08632e-01 0.00000e+00 
5.10578e-06 1.24355e-01  -1.24224e-01 0.00000e+00 
5.44616e-06 1.41003e-01  -1.40872e-01 0.00000e+00 
5.78654e-06 1.58727e-01  -1.58595e-01 0.00000e+00 
6.12692e-06 1.77545e-01  -1.77412e-01 0.00000e+00 
6.46730e-06 1.97466e-01  -1.97332e-01 0.00000e+00 
6.80768e-06 2.18487e-01  -2.18352e-01 0.00000e+00 
7.14806e-06 2.40600e-01  -2.40465e-01 0.00000e+00 
7.48844e-06 2.63805e-01  -2.63669e-01 0.00000e+00 
7.82882e-06 2.88105e-01  -2.87969e-01 0.00000e+00 
8.16920e-06 3.13507e-01  -3.13371e-01 0.00000e+00 
8.50958e-06 3.40023e-01  -3.39887e-01 0.00000e+00 
8.84996e-06 3.67668e-01  -3.67531e-01 0.00000e+00 
9.19034e-06 3.96464e-01  -3.96325e-01 0.00000e+00 
9.53072e-06 4.26433e-01  -4.26293e-01 0.00000e+00 
9.87110e-06 4.57589e-01  -4.57449e-01 0.00000e+00 
1.02115e-05 4.89926e-01  -4.89785e-01 0.00000e+00 
1.05519e-05 5.23427e-01  -5.23285e-01 0.00000e+00 
1.08922e-05 5.58081e-01  -5.57938e-01 0.00000e+00 
1.12326e-05 5.93898e-01  -5.93755e-01 0.00000e+00 
1.15730e-05 6.30912e-01  -6.30768e-01 0.00000e+00 
1.19134e-05 6.69158e-01  -6.69012e-01 0.00000e+00 
1.22538e-05 7.08662e-01  -7.08515e-01 0.00000e+00 
1.25941e-05 7.49433e-01  -7.49285e-01 0.00000e+00 
1.29345e-05 7.91471e-01  -7.91323e-01 0.00000e+00 
1.32749e-05 8.34776e-01  -8.34627e-01 0.00000e+00 
1.36153e-05 8.79348e-01  -8.79198e-01 0.00000e+00 
1.39556e-05 9.25189e-01  -9.25038e-01 0.00000e+00 
1.42960e-05 9.72305e-01  -9.72152e-01 0.00000e+00 
1.46364e-05 1.02071e+00  -1.02056e+00 0.00000e+00 
1.49768e-05 1.07045e+00  -1.07030e+00 0.00000e+00 
1.53171e-05 1.12157e+00  -1.12141e+00 0.00000e+00 
1.56575e-05 1.17409e+00  -1.17393e+00 0.00000e+00 
1.59979e-05 1.22802e+00  -1.22786e+00 0.00000e+00 
1.63383e-05 1.28335e+00  -1.28318e+00 0.00000e+00 
1.66787e-05 1.34005e+00  -1.33988e+00 0.00000e+00 
1.70190e-05 1.39812e+00  -1.39796e+00 0.00000e+00 
1.73594e-05 1.45759e+00  -1.45743e+00 0.00000e+00 
1.76998e-05 1.51850e+00  -1.51834e+00 0.00000e+00 
1.80402e-05 1.58090e+00  -1.58074e+00 0.00000e+00 
1.83805e-05 1.64482e+00  -1.64465e+00 0.00000e+00 
1.87209e-05 1.71027e+00  -1.71010e+00 0.00000e+00 
1.90613e-05 1.77728e+00  -1.77711e+00 0.00000e+00 
1.94017e-05 1.84584e+00  -1.84566e+00 0.00000e+00 
1.97420e-05 1.91594e+00  -1.91577e+00 0.00000e+00 
2.00824e-05 1.98758e+00  -1.98740e+00 0.00000e+00 
2.04228e-05 2.06076e+00  -2.06059e+00 0.00000e+00 
2.07632e-05 2.13553e+00  -2.13535e+00 0.00000e+00 
2.11035e-05 2.21193e+00  -2.21175e+00 0.00000e+00 
2.14439e-05 2.29004e+00  -2.28985e+00 0.00000e+00 
2.17843e-05 2.36987e+00  -2.36969e+00 0.00000e+00 
2.21246e-05 2.45144e+00  -2.45126e+00 0.00000e+00 
2.24650e-05 2.53473e+00  -2.53454e+00 0.00000e+00 
