5.21083e-07 3.00079e-07  -2.55808e-18 0.00000e+00 
1.04217e-06 1.82360e-06  -1.48599e-06 0.00000e+00 
1.56325e-06 5.25879e-06  -4.77466e-06 0.00000e+00 
2.08433e-06 1.21513e-05  -1.15918e-05 0.00000e+00 
2.60541e-06 2.35976e-05  -2.27449e-05 0.00000e+00 
3.12649e-06 4.50643e-05  -4.35190e-05 0.00000e+00 
3.64757e-06 8.23181e-05  -8.06593e-05 0.00000e+00 
4.16865e-06 1.39319e-04  -1.37090e-04 0.00000e+00 
4.68973e-06 2.23283e-04  -2.20481e-04 0.00000e+00 
5.21081e-06 3.38313e-04  -3.35020e-04 0.00000e+00 
5.73189e-06 4.94605e-04  -4.90324e-04 0.00000e+00 
6.25297e-06 7.01550e-04  -6.96706e-04 0.00000e+00 
6.77404e-06 9.63426e-04  -9.57756e-04 0.00000e+00 
7.29512e-06 1.29404e-03  -1.28732e-03 0.00000e+00 
7.81620e-06 1.70224e-03  -1.69480e-03 0.00000e+00 
8.33727e-06 2.19982e-03  -2.19117e-03 0.00000e+00 
8.85835e-06 2.80474e-03  -2.79493e-03 0.00000e+00 
9.37942e-06 3.52504e-03  -3.51417e-03 0.00000e+00 
9.90050e-06 4.37590e-03  -4.36368e-03 0.00000e+00 
1.04216e-05 5.37092e-03  -5.35760e-03 0.00000e+00 
1.09426e-05 6.52184e-03  -6.50713e-03 0.00000e+00 
1.14637e-05 7.85234e-03  -7.83605e-03 0.00000e+00 
1.19848e-05 9.37825e-03  -9.36056e-03 0.00000e+00 
1.25059e-05 1.11186e-02  -1.10992e-02 0.00000e+00 
1.30269e-05 1.30943e-02  -1.30733e-02 0.00000e+00 
1.35480e-05 1.53156e-02  -1.52930e-02 0.00000e+00 
1.40691e-05 1.78043e-02  -1.77799e-02 0.00000e+00 
1.45902e-05 2.05842e-02  -2.05581e-02 0.00000e+00 
1.51112e-05 2.36802e-02  -2.36520e-02 0.00000e+00 
1.56323e-05 2.71232e-02  -2.70928e-02 0.00000e+00 
1.61534e-05 3.09292e-02  -3.08969e-02 0.00000e+00 
1.66744e-05 3.51142e-02  -3.50799e-02 0.00000e+00 
1.71955e-05 3.97028e-02  -3.96665e-02 0.00000e+00 
1.77166e-05 4.47253e-02  -4.46867e-02 0.00000e+00 
1.82376e-05 5.02227e-02  -5.01815e-02 0.00000e+00 
1.87587e-05 5.62205e-02  -5.61770e-02 0.00000e+00 
1.92798e-05 6.27324e-02  -6.26866e-02 0.00000e+00 
1.98008e-05 6.97828e-02  -6.97346e-02 0.00000e+00 
2.03219e-05 7.74064e-02  -7.73556e-02 0.00000e+00 
2.08430e-05 8.56504e-02  -8.55968e-02 0.00000e+00 
2.13640e-05 9.45529e-02  -9.44964e-02 0.00000e+00 
2.18851e-05 1.04128e-01  -1.04069e-01 0.00000e+00 
2.24062e-05 1.14393e-01  -1.14331e-01 0.00000e+00 
2.29272e-05 1.25382e-01  -1.25318e-01 0.00000e+00 
2.34483e-05 1.37156e-01  -1.37088e-01 0.00000e+00 
2.39694e-05 1.49769e-01  -1.49698e-01 0.00000e+00 
2.44904e-05 1.63246e-01  -1.63172e-01 0.00000e+00 
2.50115e-05 1.77592e-01  -1.77515e-01 0.00000e+00 
2.55326e-05 1.92832e-01  -1.92752e-01 0.00000e+00 
2.60536e-05 2.09023e-01  -2.08940e-01 0.00000e+00 
2.65747e-05 2.26240e-01  -2.26153e-01 0.00000e+00 
2.70957e-05 2.44531e-01  -2.44440e-01 0.00000e+00 
2.76168e-05 2.63911e-01  -2.63817e-01 0.00000e+00 
2.81379e-05 2.84393e-01  -2.84296e-01 0.00000e+00 
2.86589e-05 3.06017e-01  -3.05917e-01 0.00000e+00 
2.91800e-05 3.28855e-01  -3.28751e-01 0.00000e+00 
2.97010e-05 3.52975e-01  -3.52866e-01 0.00000e+00 
3.02221e-05 3.78417e-01  -3.78304e-01 0.00000e+00 
3.07432e-05 4.05203e-01  -4.05086e-01 0.00000e+00 
3.12642e-05 4.33362e-01  -4.33242e-01 0.00000e+00 
3.17853e-05 4.62953e-01  -4.62828e-01 0.00000e+00 
3.23063e-05 4.94048e-01  -4.93919e-01 0.00000e+00 
3.28274e-05 5.26704e-01  -5.26571e-01 0.00000e+00 
3.33484e-05 5.60956e-01  -5.60819e-01 0.00000e+00 
3.38695e-05 5.96834e-01  -5.96693e-01 0.00000e+00 
3.43906e-05 6.34384e-01  -6.34238e-01 0.00000e+00 
3.49116e-05 6.73677e-01  -6.73527e-01 0.00000e+00 
3.54327e-05 7.14794e-01  -7.14639e-01 0.00000e+00 
3.59537e-05 7.57794e-01  -7.57634e-01 0.00000e+00 
3.64748e-05 8.02706e-01  -8.02542e-01 0.00000e+00 
3.69958e-05 8.49551e-01  -8.49383e-01 0.00000e+00 
3.75169e-05 8.98377e-01  -8.98204e-01 0.00000e+00 
3.80379e-05 9.49275e-01  -9.49098e-01 0.00000e+00 
3.85590e-05 1.00235e+00  -1.00217e+00 0.00000e+00 
3.90800e-05 1.05768e+00  -1.05749e+00 0.00000e+00 
3.96011e-05 1.11526e+00  -1.11507e+00 0.00000e+00 
4.01221e-05 1.17511e+00  -1.17491e+00 0.00000e+00 
4.06432e-05 1.23727e+00  -1.23707e+00 0.00000e+00 
4.11642e-05 1.30187e+00  -1.30166e+00 0.00000e+00 
4.16853e-05 1.36904e+00  -1.36883e+00 0.00000e+00 
4.22063e-05 1.43883e+00  -1.43861e+00 0.00000e+00 
4.27274e-05 1.51124e+00  -1.51102e+00 0.00000e+00 
4.32484e-05 1.58627e+00  -1.58604e+00 0.00000e+00 
4.37695e-05 1.66402e+00  -1.66379e+00 0.00000e+00 
4.42905e-05 1.74464e+00  -1.74440e+00 0.00000e+00 
4.48116e-05 1.82822e+00  -1.82797e+00 0.00000e+00 
4.53326e-05 1.91479e+00  -1.91454e+00 0.00000e+00 
4.58537e-05 2.00432e+00  -2.00406e+00 0.00000e+00 
4.63747e-05 2.09689e+00  -2.09662e+00 0.00000e+00 
4.68958e-05 2.19264e+00  -2.19237e+00 0.00000e+00 
4.74168e-05 2.29174e+00  -2.29146e+00 0.00000e+00 
4.79379e-05 2.39422e+00  -2.39394e+00 0.00000e+00 
4.84589e-05 2.50005e+00  -2.49976e+00 0.00000e+00 
4.89799e-05 2.60923e+00  -2.60893e+00 0.00000e+00 
4.95010e-05 2.72189e+00  -2.72159e+00 0.00000e+00 
5.00220e-05 2.83825e+00  -2.83794e+00 0.00000e+00 
5.05431e-05 2.95842e+00  -2.95811e+00 0.00000e+00 
5.10641e-05 3.08241e+00  -3.08209e+00 0.00000e+00 
5.15852e-05 3.21015e+00  -3.20982e+00 0.00000e+00 
5.21062e-05 3.34169e+00  -3.34136e+00 0.00000e+00 
5.26272e-05 3.47723e+00  -3.47689e+00 0.00000e+00 
5.31483e-05 3.61695e+00  -3.61660e+00 0.00000e+00 
5.36693e-05 3.76094e+00  -3.76059e+00 0.00000e+00 
5.41904e-05 3.90920e+00  -3.90884e+00 0.00000e+00 
5.47114e-05 4.06169e+00  -4.06132e+00 0.00000e+00 
5.52325e-05 4.21851e+00  -4.21813e+00 0.00000e+00 
5.57535e-05 4.37984e+00  -4.37946e+00 0.00000e+00 
5.62745e-05 4.54586e+00  -4.54547e+00 0.00000e+00 
5.67956e-05 4.71663e+00  -4.71623e+00 0.00000e+00 
5.73166e-05 4.89211e+00  -4.89171e+00 0.00000e+00 
5.78376e-05 5.07235e+00  -5.07194e+00 0.00000e+00 
5.83587e-05 5.25747e+00  -5.25705e+00 0.00000e+00 
5.88797e-05 5.44768e+00  -5.44725e+00 0.00000e+00 
5.94007e-05 5.64312e+00  -5.64268e+00 0.00000e+00 
5.99218e-05 5.84380e+00  -5.84336e+00 0.00000e+00 
6.04428e-05 6.04969e+00  -6.04924e+00 0.00000e+00 
6.09639e-05 6.26084e+00  -6.26039e+00 0.00000e+00 
6.14849e-05 6.47745e+00  -6.47699e+00 0.00000e+00 
6.20059e-05 6.69977e+00  -6.69930e+00 0.00000e+00 
6.25270e-05 6.92792e+00  -6.92744e+00 0.00000e+00 
6.30480e-05 7.16184e+00  -7.16135e+00 0.00000e+00 
6.35690e-05 7.40147e+00  -7.40097e+00 0.00000e+00 
6.40901e-05 7.64688e+00  -7.64638e+00 0.00000e+00 
6.46111e-05 7.89837e+00  -7.89786e+00 0.00000e+00 
6.51321e-05 8.15622e+00  -8.15570e+00 0.00000e+00 
6.56532e-05 8.42051e+00  -8.41998e+00 0.00000e+00 
6.61742e-05 8.69111e+00  -8.69057e+00 0.00000e+00 
6.66952e-05 8.96796e+00  -8.96741e+00 0.00000e+00 
6.72162e-05 9.25121e+00  -9.25065e+00 0.00000e+00 
6.77373e-05 9.54121e+00  -9.54065e+00 0.00000e+00 
6.82583e-05 9.83822e+00  -9.83764e+00 0.00000e+00 
6.87793e-05 1.01422e+01  -1.01416e+01 0.00000e+00 
6.93004e-05 1.04530e+01  -1.04524e+01 0.00000e+00 
6.98214e-05 1.07707e+01  -1.07701e+01 0.00000e+00 
7.03424e-05 1.10956e+01  -1.10950e+01 0.00000e+00 
7.08634e-05 1.14279e+01  -1.14273e+01 0.00000e+00 
7.13845e-05 1.17679e+01  -1.17672e+01 0.00000e+00 
7.19055e-05 1.21153e+01  -1.21147e+01 0.00000e+00 
7.24265e-05 1.24701e+01  -1.24695e+01 0.00000e+00 
7.29475e-05 1.28325e+01  -1.28319e+01 0.00000e+00 
7.34686e-05 1.32029e+01  -1.32022e+01 0.00000e+00 
7.39896e-05 1.35815e+01  -1.35808e+01 0.00000e+00 
7.45106e-05 1.39683e+01  -1.39676e+01 0.00000e+00 
7.50316e-05 1.43631e+01  -1.43624e+01 0.00000e+00 
7.55527e-05 1.47659e+01  -1.47652e+01 0.00000e+00 
7.60737e-05 1.51771e+01  -1.51764e+01 0.00000e+00 
7.65947e-05 1.55970e+01  -1.55963e+01 0.00000e+00 
7.71157e-05 1.60259e+01  -1.60251e+01 0.00000e+00 
7.76368e-05 1.64636e+01  -1.64628e+01 0.00000e+00 
7.81578e-05 1.69099e+01  -1.69092e+01 0.00000e+00 
7.86788e-05 1.73650e+01  -1.73643e+01 0.00000e+00 
7.91998e-05 1.78292e+01  -1.78284e+01 0.00000e+00 
7.97208e-05 1.83029e+01  -1.83021e+01 0.00000e+00 
8.02419e-05 1.87862e+01  -1.87854e+01 0.00000e+00 
8.07629e-05 1.92790e+01  -1.92782e+01 0.00000e+00 
8.12839e-05 1.97812e+01  -1.97804e+01 0.00000e+00 
8.18049e-05 2.02929e+01  -2.02921e+01 0.00000e+00 
8.23259e-05 2.08145e+01  -2.08137e+01 0.00000e+00 
8.28470e-05 2.13465e+01  -2.13456e+01 0.00000e+00 
8.33680e-05 2.18887e+01  -2.18878e+01 0.00000e+00 
