1.23266e-04 6.00495e+03  5.35941e+04 5.35941e+04 
2.46531e-04 3.16651e+04  1.55701e+05 1.87394e+05 
3.69758e-04 1.96748e+04  3.53251e+05 3.69534e+05 
4.92937e-04 1.21652e+03  6.15701e+05 6.14895e+05 
6.16095e-04 7.23035e+02  9.56017e+05 9.55372e+05 
7.39256e-04 1.40326e+04  1.37884e+06 1.39007e+06 
8.62402e-04 2.61192e+04  1.86322e+06 1.88966e+06 
9.85505e-04 9.23829e+03  2.43677e+06 2.44321e+06 
1.10857e-03 9.96396e+02  3.07167e+06 3.07256e+06 
1.23163e-03 4.24338e+03  3.79364e+06 3.79596e+06 
1.35468e-03 1.85476e+04  4.58253e+06 4.60067e+06 
1.47770e-03 1.78170e+04  5.44786e+06 5.46510e+06 
1.60069e-03 4.68811e+03  6.38860e+06 6.39208e+06 
1.72364e-03 2.08840e+03  7.40000e+06 7.40196e+06 
1.84659e-03 9.07929e+03  8.49199e+06 8.49985e+06 
1.96953e-03 1.81443e+04  9.65076e+06 9.66921e+06 
2.09243e-03 1.10490e+04  1.08887e+07 1.08989e+07 
2.21530e-03 3.39958e+03  1.21960e+07 1.21992e+07 
2.33816e-03 4.48645e+03  1.35801e+07 1.35841e+07 
2.46100e-03 1.26013e+04  1.50369e+07 1.50492e+07 
2.58382e-03 1.47595e+04  1.65655e+07 1.65803e+07 
2.70660e-03 7.08859e+03  1.81690e+07 1.81756e+07 
2.82936e-03 3.81595e+03  1.98432e+07 1.98471e+07 
2.95211e-03 7.53091e+03  2.15935e+07 2.16006e+07 
3.07484e-03 1.34988e+04  2.34138e+07 2.34275e+07 
3.19754e-03 1.09369e+04  2.53081e+07 2.53189e+07 
3.32022e-03 5.44031e+03  2.72739e+07 2.72793e+07 
3.44287e-03 5.28010e+03  2.93126e+07 2.93179e+07 
3.56551e-03 9.97082e+03  3.14242e+07 3.14341e+07 
3.68812e-03 1.22670e+04  3.36065e+07 3.36190e+07 
3.81071e-03 8.14394e+03  3.58618e+07 3.58698e+07 
3.93327e-03 5.30668e+03  3.81878e+07 3.81932e+07 
4.05582e-03 7.19492e+03  4.05869e+07 4.05940e+07 
4.17834e-03 1.09644e+04  4.30567e+07 4.30678e+07 
4.30085e-03 1.02164e+04  4.55982e+07 4.56084e+07 
4.42332e-03 6.69273e+03  4.82107e+07 4.82174e+07 
4.54578e-03 6.08859e+03  5.08945e+07 5.09006e+07 
4.66821e-03 8.81255e+03  5.36498e+07 5.36587e+07 
4.79063e-03 1.05786e+04  5.64755e+07 5.64863e+07 
4.91302e-03 8.41611e+03  5.93723e+07 5.93807e+07 
5.03538e-03 6.34059e+03  6.23393e+07 6.23458e+07 
5.15773e-03 7.26033e+03  6.53775e+07 6.53848e+07 
5.28006e-03 9.59610e+03  6.84859e+07 6.84956e+07 
5.40236e-03 9.47817e+03  7.16644e+07 7.16740e+07 
5.52464e-03 7.32807e+03  7.49132e+07 7.49206e+07 
5.64690e-03 6.71255e+03  7.82319e+07 7.82388e+07 
5.76913e-03 8.29870e+03  8.16209e+07 8.16293e+07 
5.89135e-03 9.50496e+03  8.50795e+07 8.50891e+07 
6.01354e-03 8.35296e+03  8.86077e+07 8.86162e+07 
6.13571e-03 6.96380e+03  9.22054e+07 9.22125e+07 
6.25786e-03 7.41047e+03  9.58728e+07 9.58803e+07 
6.37999e-03 8.84049e+03  9.96094e+07 9.96184e+07 
6.50209e-03 8.89024e+03  1.03415e+08 1.03424e+08 
6.62418e-03 7.59712e+03  1.07290e+08 1.07298e+08 
6.74624e-03 7.12361e+03  1.11234e+08 1.11241e+08 
6.86828e-03 8.05714e+03  1.15246e+08 1.15255e+08 
6.99030e-03 8.82787e+03  1.19328e+08 1.19337e+08 
7.11230e-03 8.18488e+03  1.23478e+08 1.23486e+08 
7.23427e-03 7.30016e+03  1.27696e+08 1.27703e+08 
7.35622e-03 7.53193e+03  1.31983e+08 1.31990e+08 
7.47815e-03 8.40000e+03  1.36338e+08 1.36346e+08 
7.60007e-03 8.45851e+03  1.40761e+08 1.40769e+08 
7.72195e-03 7.67719e+03  1.45252e+08 1.45260e+08 
7.84382e-03 7.36164e+03  1.49811e+08 1.49818e+08 
7.96567e-03 7.92201e+03  1.54438e+08 1.54446e+08 
8.08749e-03 8.38976e+03  1.59132e+08 1.59140e+08 
8.20929e-03 8.00590e+03  1.63894e+08 1.63902e+08 
8.33107e-03 7.45937e+03  1.68723e+08 1.68731e+08 
8.45283e-03 7.59722e+03  1.73619e+08 1.73627e+08 
8.57457e-03 8.11992e+03  1.78583e+08 1.78591e+08 
8.69629e-03 8.14630e+03  1.83614e+08 1.83622e+08 
8.81798e-03 7.66800e+03  1.88712e+08 1.88719e+08 
8.93965e-03 7.47849e+03  1.93876e+08 1.93884e+08 
9.06130e-03 7.82263e+03  1.99107e+08 1.99115e+08 
9.18294e-03 8.09169e+03  2.04405e+08 2.04414e+08 
9.30454e-03 7.84566e+03  2.09770e+08 2.09778e+08 
9.42613e-03 7.51583e+03  2.15200e+08 2.15208e+08 
9.54770e-03 7.61088e+03  2.20697e+08 2.20705e+08 
9.66924e-03 7.92162e+03  2.26260e+08 2.26268e+08 
9.79077e-03 7.91598e+03  2.31889e+08 2.31897e+08 
9.91227e-03 7.61926e+03  2.37584e+08 2.37592e+08 
1.00000e-02 7.48462e+03  2.41738e+08 2.41745e+08 
