1.23266e-04 5.35788e+03  5.51122e+04 5.51122e+04 
2.46531e-04 3.12515e+04  1.63241e+05 1.95275e+05 
3.69761e-04 2.44571e+04  3.64984e+05 3.88093e+05 
4.92942e-04 2.68889e+03  6.43114e+05 6.42896e+05 
6.16097e-04 2.68605e+02  9.91271e+05 9.91197e+05 
7.39252e-04 8.63033e+03  1.43509e+06 1.44063e+06 
8.62399e-04 2.69742e+04  1.93798e+06 1.96628e+06 
9.85510e-04 1.72287e+04  2.53228e+06 2.54823e+06 
1.10858e-03 2.46490e+03  3.19739e+06 3.19866e+06 
1.23163e-03 1.43097e+03  3.94078e+06 3.94169e+06 
1.35467e-03 1.11823e+04  4.76868e+06 4.77842e+06 
1.47770e-03 2.27599e+04  5.66323e+06 5.68726e+06 
1.60069e-03 1.25552e+04  6.64448e+06 6.65607e+06 
1.72365e-03 2.64570e+03  7.69574e+06 7.69806e+06 
1.84659e-03 3.12772e+03  8.82814e+06 8.83075e+06 
1.96952e-03 1.27834e+04  1.00384e+07 1.00508e+07 
2.09244e-03 1.89389e+04  1.13205e+07 1.13405e+07 
2.21531e-03 9.61462e+03  1.26846e+07 1.26936e+07 
2.33816e-03 3.12526e+03  1.41199e+07 1.41231e+07 
2.46099e-03 4.98573e+03  1.56360e+07 1.56406e+07 
2.58381e-03 1.34708e+04  1.72266e+07 1.72404e+07 
2.70661e-03 1.56887e+04  1.88920e+07 1.89085e+07 
2.82937e-03 7.83918e+03  2.06355e+07 2.06431e+07 
2.95211e-03 3.83518e+03  2.24518e+07 2.24559e+07 
3.07483e-03 6.71564e+03  2.43472e+07 2.43538e+07 
3.19754e-03 1.34223e+04  2.63159e+07 2.63299e+07 
3.32022e-03 1.30680e+04  2.83603e+07 2.83739e+07 
3.44288e-03 6.84827e+03  3.04801e+07 3.04870e+07 
3.56550e-03 4.70340e+03  3.26740e+07 3.26790e+07 
3.68812e-03 8.12682e+03  3.49449e+07 3.49532e+07 
3.81071e-03 1.28666e+04  3.72887e+07 3.73023e+07 
3.93328e-03 1.10558e+04  3.97081e+07 3.97196e+07 
4.05582e-03 6.39089e+03  4.22014e+07 4.22080e+07 
4.17834e-03 5.64388e+03  4.47692e+07 4.47751e+07 
4.30084e-03 9.12629e+03  4.74122e+07 4.74216e+07 
4.42333e-03 1.20261e+04  5.01281e+07 5.01408e+07 
4.54578e-03 9.58586e+03  5.29187e+07 5.29287e+07 
4.66821e-03 6.29892e+03  5.57825e+07 5.57891e+07 
4.79062e-03 6.56401e+03  5.87206e+07 5.87274e+07 
4.91302e-03 9.70436e+03  6.17324e+07 6.17425e+07 
5.03539e-03 1.10851e+04  6.48171e+07 6.48288e+07 
5.15773e-03 8.57311e+03  6.79755e+07 6.79844e+07 
5.28006e-03 6.45228e+03  7.12066e+07 7.12134e+07 
5.40236e-03 7.37923e+03  7.45114e+07 7.45191e+07 
5.52464e-03 9.91199e+03  7.78889e+07 7.78993e+07 
5.64690e-03 1.01767e+04  8.13391e+07 8.13498e+07 
5.76914e-03 7.93037e+03  8.48620e+07 8.48703e+07 
5.89135e-03 6.75664e+03  8.84572e+07 8.84643e+07 
6.01354e-03 8.02685e+03  9.21253e+07 9.21337e+07 
6.13571e-03 9.83518e+03  9.58655e+07 9.58758e+07 
6.25786e-03 9.38437e+03  9.96777e+07 9.96876e+07 
6.37999e-03 7.57626e+03  1.03562e+08 1.03570e+08 
6.50209e-03 7.13242e+03  1.07518e+08 1.07526e+08 
6.62418e-03 8.47446e+03  1.11546e+08 1.11555e+08 
6.74624e-03 9.57161e+03  1.15646e+08 1.15656e+08 
6.86828e-03 8.74967e+03  1.19817e+08 1.19826e+08 
6.99030e-03 7.43744e+03  1.24059e+08 1.24067e+08 
7.11229e-03 7.51235e+03  1.28373e+08 1.28381e+08 
7.23427e-03 8.72098e+03  1.32758e+08 1.32767e+08 
7.35623e-03 9.21277e+03  1.37214e+08 1.37224e+08 
7.47816e-03 8.28300e+03  1.41741e+08 1.41750e+08 
7.60007e-03 7.44813e+03  1.46338e+08 1.46346e+08 
7.72195e-03 7.84374e+03  1.51007e+08 1.51015e+08 
7.84382e-03 8.79129e+03  1.55745e+08 1.55755e+08 
7.96567e-03 8.83291e+03  1.60555e+08 1.60564e+08 
8.08749e-03 7.97363e+03  1.65434e+08 1.65442e+08 
8.20929e-03 7.54963e+03  1.70383e+08 1.70391e+08 
8.33107e-03 8.09175e+03  1.75403e+08 1.75411e+08 
8.45283e-03 8.72701e+03  1.80492e+08 1.80502e+08 
8.57457e-03 8.48447e+03  1.85652e+08 1.85661e+08 
8.69629e-03 7.79781e+03  1.90880e+08 1.90889e+08 
8.81798e-03 7.69105e+03  1.96179e+08 1.96187e+08 
8.93965e-03 8.24091e+03  2.01547e+08 2.01555e+08 
9.06131e-03 8.57615e+03  2.06984e+08 2.06993e+08 
9.18294e-03 8.19825e+03  2.12490e+08 2.12499e+08 
9.30455e-03 7.72467e+03  2.18065e+08 2.18073e+08 
9.42613e-03 7.83123e+03  2.23709e+08 2.23718e+08 
9.54770e-03 8.29366e+03  2.29423e+08 2.29431e+08 
9.66925e-03 8.38427e+03  2.35204e+08 2.35213e+08 
9.79077e-03 7.98645e+03  2.41055e+08 2.41063e+08 
9.91227e-03 7.72078e+03  2.46973e+08 2.46981e+08 
1.00000e-02 7.83311e+03  2.51290e+08 2.51298e+08 
