1.23266e-04 7.11741e+05  5.81967e+06 5.81967e+06 
2.46531e-04 4.96199e+06  1.42353e+07 1.96192e+07 
3.69183e-04 7.34647e+06  2.79556e+07 3.58868e+07 
4.91134e-04 7.04368e+06  4.64648e+07 5.41514e+07 
6.13096e-04 5.97929e+06  7.07926e+07 7.75427e+07 
7.35558e-04 4.48393e+06  1.03042e+08 1.07583e+08 
8.57872e-04 4.17328e+06  1.37824e+08 1.42454e+08 
9.79932e-04 2.57141e+06  1.78231e+08 1.80955e+08 
1.10139e-03 9.42188e+05  2.23988e+08 2.24794e+08 
1.22233e-03 1.19653e+06  2.75272e+08 2.76302e+08 
1.34324e-03 3.66197e+06  3.31249e+08 3.35178e+08 
1.46419e-03 6.05154e+06  3.91975e+08 3.98650e+08 
1.58500e-03 6.41817e+06  4.57712e+08 4.64800e+08 
1.70564e-03 5.11110e+06  5.28615e+08 5.34277e+08 
1.82624e-03 3.74804e+06  6.04548e+08 6.08598e+08 
1.94675e-03 3.24598e+06  6.84513e+08 6.88215e+08 
2.06699e-03 2.39385e+06  7.70287e+08 7.72838e+08 
2.18683e-03 2.42931e+06  8.59898e+08 8.62493e+08 
2.30633e-03 3.23353e+06  9.53808e+08 9.57337e+08 
2.42552e-03 4.03059e+06  1.05234e+09 1.05682e+09 
2.54448e-03 4.26556e+06  1.15547e+09 1.16024e+09 
2.66336e-03 3.79678e+06  1.26364e+09 1.26767e+09 
2.78229e-03 4.05652e+06  1.37525e+09 1.37972e+09 
2.90129e-03 4.40533e+06  1.49135e+09 1.49639e+09 
3.02002e-03 3.62221e+06  1.61279e+09 1.61689e+09 
3.13822e-03 2.40797e+06  1.73847e+09 1.74104e+09 
3.25606e-03 2.44588e+06  1.86720e+09 1.86981e+09 
3.37384e-03 3.83488e+06  1.99959e+09 2.00387e+09 
3.49166e-03 4.89238e+06  2.13676e+09 2.14233e+09 
3.60912e-03 4.22335e+06  2.27887e+09 2.28356e+09 
3.72623e-03 2.95894e+06  2.42454e+09 2.42768e+09 
3.84323e-03 2.71480e+06  2.57324e+09 2.57620e+09 
