1.23266e-04 8.48474e+05  5.34691e+06 5.34691e+06 
2.46531e-04 4.64253e+06  1.15655e+07 1.68940e+07 
3.69030e-04 5.47886e+06  2.35030e+07 2.92587e+07 
4.90985e-04 5.10015e+06  3.80336e+07 4.40553e+07 
6.13384e-04 3.87072e+06  6.04612e+07 6.44470e+07 
7.35911e-04 3.40051e+06  8.54840e+07 8.92914e+07 
8.58118e-04 1.95444e+06  1.14728e+08 1.16776e+08 
9.79812e-04 6.26245e+05  1.48459e+08 1.48935e+08 
1.10104e-03 1.22162e+06  1.87172e+08 1.88244e+08 
1.22226e-03 3.51949e+06  2.29469e+08 2.33433e+08 
1.34340e-03 4.82111e+06  2.76055e+08 2.81463e+08 
1.46436e-03 4.36588e+06  3.26756e+08 3.31762e+08 
1.58530e-03 3.19969e+06  3.82201e+08 3.85715e+08 
1.70620e-03 2.63774e+06  4.40824e+08 4.43948e+08 
1.82682e-03 1.79814e+06  5.04518e+08 5.06455e+08 
1.94703e-03 1.93814e+06  5.71435e+08 5.73585e+08 
2.06694e-03 2.64858e+06  6.42301e+08 6.45244e+08 
2.18652e-03 3.24114e+06  7.16684e+08 7.20489e+08 
2.30588e-03 2.95465e+06  7.95802e+08 7.99060e+08 
2.42527e-03 3.01201e+06  8.78277e+08 8.81594e+08 
2.54476e-03 3.47046e+06  9.63957e+08 9.68041e+08 
2.66408e-03 2.82982e+06  1.05428e+09 1.05761e+09 
2.78284e-03 1.74383e+06  1.14863e+09 1.15051e+09 
2.90129e-03 2.10477e+06  1.24567e+09 1.24797e+09 
3.01972e-03 3.50507e+06  1.34571e+09 1.34982e+09 
3.13804e-03 3.63981e+06  1.45023e+09 1.45449e+09 
3.25593e-03 2.47599e+06  1.55873e+09 1.56145e+09 
3.37364e-03 2.04278e+06  1.66991e+09 1.67214e+09 
3.49144e-03 2.60528e+06  1.78434e+09 1.78735e+09 
3.60925e-03 2.88960e+06  1.90281e+09 1.90623e+09 
3.72654e-03 2.51283e+06  2.02501e+09 2.02785e+09 
3.84341e-03 2.70023e+06  2.14966e+09 2.15274e+09 
3.96025e-03 3.32588e+06  2.27740e+09 2.28128e+09 
4.07722e-03 3.19699e+06  2.40924e+09 2.41293e+09 
4.19388e-03 2.31118e+06  2.54440e+09 2.54698e+09 
4.31022e-03 1.87533e+06  2.68204e+09 2.68417e+09 
4.42640e-03 2.10299e+06  2.82286e+09 2.82534e+09 
4.54253e-03 2.40149e+06  2.96771e+09 2.97045e+09 
4.65848e-03 3.02773e+06  3.11535e+09 3.11881e+09 
4.77417e-03 3.82777e+06  3.26522e+09 3.26974e+09 
4.88972e-03 3.73704e+06  3.41857e+09 3.42301e+09 
5.00523e-03 2.55240e+06  3.57591e+09 3.57880e+09 
5.12052e-03 1.56887e+06  3.73575e+09 3.73741e+09 
5.23559e-03 1.58887e+06  3.89757e+09 3.89941e+09 
5.35048e-03 1.84113e+06  4.06277e+09 4.06497e+09 
5.46520e-03 1.91856e+06  4.23193e+09 4.23407e+09 
5.57979e-03 2.66581e+06  4.40361e+09 4.40656e+09 
5.69424e-03 4.15790e+06  4.57691e+09 4.58180e+09 
5.80853e-03 4.69026e+06  4.75330e+09 4.75895e+09 
5.92256e-03 3.36925e+06  4.93373e+09 4.93764e+09 
6.03643e-03 1.74466e+06  5.11682e+09 5.11864e+09 
6.15026e-03 1.34307e+06  5.30141e+09 5.30288e+09 
6.26404e-03 1.58112e+06  5.48871e+09 5.49064e+09 
6.37752e-03 1.42596e+06  5.68001e+09 5.68164e+09 
6.49066e-03 1.59093e+06  5.87411e+09 5.87575e+09 
6.60363e-03 2.98758e+06  6.06942e+09 6.07281e+09 
6.71647e-03 4.52694e+06  6.26667e+09 6.27209e+09 
6.82912e-03 4.48196e+06  6.46760e+09 6.47295e+09 
6.94166e-03 3.10841e+06  6.67196e+09 6.67549e+09 
7.05411e-03 1.98047e+06  6.87811e+09 6.88029e+09 
7.16647e-03 1.57775e+06  7.08611e+09 7.08794e+09 
7.27866e-03 1.36616e+06  7.29718e+09 7.29877e+09 
7.39052e-03 1.32522e+06  7.51114e+09 7.51257e+09 
