1.23266e-04 8.32171e+05  5.81967e+06 5.81967e+06 
2.46531e-04 5.95687e+06  1.29079e+07 1.91675e+07 
3.69183e-04 9.03859e+06  2.41789e+07 3.37172e+07 
4.91158e-04 8.45172e+06  3.96976e+07 4.87104e+07 
6.13225e-04 6.50055e+06  6.04810e+07 6.76919e+07 
7.35731e-04 3.90809e+06  8.91972e+07 9.26762e+07 
8.57913e-04 3.99458e+06  1.17506e+08 1.21858e+08 
9.80006e-04 2.48377e+06  1.51282e+08 1.53917e+08 
1.10161e-03 5.06207e+05  1.90734e+08 1.90942e+08 
1.22270e-03 1.19499e+06  2.35006e+08 2.35988e+08 
1.34390e-03 5.16325e+06  2.83548e+08 2.88645e+08 
1.46525e-03 1.03646e+07  3.33090e+08 3.44527e+08 
1.58639e-03 9.75731e+06  3.89543e+08 4.00132e+08 
1.70728e-03 5.18401e+06  4.51248e+08 4.56665e+08 
1.82828e-03 1.79277e+06  5.16325e+08 5.17926e+08 
1.94944e-03 1.53669e+06  5.84246e+08 5.85715e+08 
2.07053e-03 2.47543e+06  6.55974e+08 6.58928e+08 
2.19088e-03 1.80244e+06  7.34436e+08 7.36163e+08 
2.31052e-03 2.49365e+06  8.15615e+08 8.18016e+08 
2.43001e-03 5.77748e+06  8.99099e+08 9.05264e+08 
2.54974e-03 9.31711e+06  9.86277e+08 9.96505e+08 
2.66962e-03 9.14091e+06  1.07901e+09 1.08905e+09 
2.78935e-03 5.01056e+06  1.17704e+09 1.18220e+09 
2.90893e-03 1.66055e+06  1.27676e+09 1.27834e+09 
3.02848e-03 7.72158e+05  1.37956e+09 1.38029e+09 
3.14794e-03 1.39930e+06  1.48696e+09 1.48854e+09 
3.26696e-03 2.09874e+06  1.59936e+09 1.60156e+09 
3.38538e-03 3.52955e+06  1.71457e+09 1.71815e+09 
3.50345e-03 6.50709e+06  1.83114e+09 1.83822e+09 
3.62161e-03 8.87394e+06  1.95171e+09 1.96149e+09 
3.74000e-03 8.36575e+06  2.07760e+09 2.08678e+09 
3.85845e-03 4.94344e+06  2.20812e+09 2.21331e+09 
3.97677e-03 1.78755e+06  2.34054e+09 2.34225e+09 
4.09490e-03 7.37792e+05  2.47514e+09 2.47590e+09 
4.21285e-03 9.43473e+05  2.61441e+09 2.61543e+09 
4.33047e-03 1.85829e+06  2.75806e+09 2.76000e+09 
4.44762e-03 3.66552e+06  2.90430e+09 2.90810e+09 
4.56444e-03 6.52099e+06  3.05182e+09 3.05891e+09 
4.68123e-03 8.63613e+06  3.20266e+09 3.21221e+09 
4.79818e-03 8.14149e+06  3.35860e+09 3.36754e+09 
4.91525e-03 5.31279e+06  3.51875e+09 3.52442e+09 
5.03223e-03 2.28512e+06  3.68119e+09 3.68348e+09 
5.14903e-03 9.37495e+05  3.84541e+09 3.84636e+09 
