2.72331e-05 2.46976e+02  4.27543e-09 0.00000e+00 
5.44663e-05 3.33726e+03  -2.64079e+03 0.00000e+00 
8.16994e-05 1.42636e+04  -1.30130e+04 0.00000e+00 
1.08932e-04 3.87921e+04  -3.69998e+04 0.00000e+00 
1.36165e-04 8.19080e+04  -7.96725e+04 0.00000e+00 
1.63397e-04 1.46736e+05  -1.44192e+05 0.00000e+00 
1.90629e-04 2.34240e+05  -2.31504e+05 0.00000e+00 
2.17859e-04 3.43743e+05  -3.40870e+05 0.00000e+00 
2.45089e-04 4.74092e+05  -4.71055e+05 0.00000e+00 
2.72316e-04 6.25109e+05  -6.21802e+05 0.00000e+00 
2.99543e-04 7.98947e+05  -7.95211e+05 0.00000e+00 
3.26768e-04 1.00100e+06  -9.96658e+05 0.00000e+00 
3.53991e-04 1.24020e+06  -1.23509e+06 0.00000e+00 
3.81212e-04 1.52867e+06  -1.52266e+06 0.00000e+00 
4.08432e-04 1.88091e+06  -1.87395e+06 0.00000e+00 
4.35651e-04 2.31288e+06  -2.30492e+06 0.00000e+00 
4.62868e-04 2.84103e+06  -2.83206e+06 0.00000e+00 
4.90084e-04 3.48183e+06  -3.47182e+06 0.00000e+00 
5.17300e-04 4.25153e+06  -4.24041e+06 0.00000e+00 
5.44514e-04 5.16643e+06  -5.15408e+06 0.00000e+00 
5.71728e-04 6.24323e+06  -6.22951e+06 0.00000e+00 
5.98941e-04 7.49949e+06  -7.48422e+06 0.00000e+00 
6.26155e-04 8.95375e+06  -8.93676e+06 0.00000e+00 
6.53368e-04 1.06254e+07  -1.06066e+07 0.00000e+00 
6.80580e-04 1.25342e+07  -1.25134e+07 0.00000e+00 
7.07792e-04 1.46997e+07  -1.46769e+07 0.00000e+00 
7.35004e-04 1.71401e+07  -1.71155e+07 0.00000e+00 
7.62216e-04 1.98725e+07  -1.98461e+07 0.00000e+00 
7.89426e-04 2.29118e+07  -2.28837e+07 0.00000e+00 
8.16636e-04 2.62718e+07  -2.62422e+07 0.00000e+00 
8.43845e-04 2.99656e+07  -2.99344e+07 0.00000e+00 
8.71053e-04 3.40065e+07  -3.39737e+07 0.00000e+00 
8.98260e-04 3.84096e+07  -3.83753e+07 0.00000e+00 
9.25465e-04 4.31926e+07  -4.31566e+07 0.00000e+00 
9.52669e-04 4.83769e+07  -4.83390e+07 0.00000e+00 
9.79872e-04 5.39875e+07  -5.39478e+07 0.00000e+00 
1.00707e-03 6.00538e+07  -6.00119e+07 0.00000e+00 
1.03427e-03 6.66083e+07  -6.65642e+07 0.00000e+00 
1.06147e-03 7.36868e+07  -7.36404e+07 0.00000e+00 
1.08867e-03 8.13270e+07  -8.12781e+07 0.00000e+00 
1.11587e-03 8.95682e+07  -8.95167e+07 0.00000e+00 
1.14306e-03 9.84501e+07  -9.83959e+07 0.00000e+00 
1.17026e-03 1.08013e+08  -1.07956e+08 0.00000e+00 
1.19745e-03 1.18296e+08  -1.18236e+08 0.00000e+00 
1.22465e-03 1.29337e+08  -1.29274e+08 0.00000e+00 
1.25184e-03 1.41175e+08  -1.41109e+08 0.00000e+00 
1.27903e-03 1.53844e+08  -1.53774e+08 0.00000e+00 
1.30622e-03 1.67378e+08  -1.67305e+08 0.00000e+00 
1.33341e-03 1.81808e+08  -1.81732e+08 0.00000e+00 
1.36061e-03 1.97163e+08  -1.97083e+08 0.00000e+00 
1.38780e-03 2.13469e+08  -2.13386e+08 0.00000e+00 
1.41499e-03 2.30752e+08  -2.30667e+08 0.00000e+00 
1.44217e-03 2.49038e+08  -2.48949e+08 0.00000e+00 
1.46936e-03 2.68351e+08  -2.68259e+08 0.00000e+00 
1.49655e-03 2.88718e+08  -2.88623e+08 0.00000e+00 
1.52374e-03 3.10170e+08  -3.10072e+08 0.00000e+00 
1.55092e-03 3.32741e+08  -3.32640e+08 0.00000e+00 
1.57810e-03 3.56470e+08  -3.56366e+08 0.00000e+00 
1.60529e-03 3.81400e+08  -3.81293e+08 0.00000e+00 
1.63247e-03 4.07580e+08  -4.07470e+08 0.00000e+00 
1.65965e-03 4.35064e+08  -4.34949e+08 0.00000e+00 
1.68683e-03 4.63906e+08  -4.63788e+08 0.00000e+00 
1.71400e-03 4.94168e+08  -4.94046e+08 0.00000e+00 
1.74118e-03 5.25909e+08  -5.25783e+08 0.00000e+00 
1.76836e-03 5.59190e+08  -5.59060e+08 0.00000e+00 
1.79553e-03 5.94072e+08  -5.93938e+08 0.00000e+00 
1.82271e-03 6.30614e+08  -6.30475e+08 0.00000e+00 
1.84988e-03 6.68872e+08  -6.68729e+08 0.00000e+00 
1.87705e-03 7.08900e+08  -7.08752e+08 0.00000e+00 
1.90423e-03 7.50747e+08  -7.50594e+08 0.00000e+00 
1.93140e-03 7.94460e+08  -7.94302e+08 0.00000e+00 
1.95857e-03 8.40081e+08  -8.39920e+08 0.00000e+00 
1.98574e-03 8.87653e+08  -8.87486e+08 0.00000e+00 
2.01291e-03 9.37212e+08  -9.37041e+08 0.00000e+00 
2.04008e-03 9.88796e+08  -9.88621e+08 0.00000e+00 
2.06725e-03 1.04244e+09  -1.04226e+09 0.00000e+00 
2.09441e-03 1.09819e+09  -1.09801e+09 0.00000e+00 
2.12158e-03 1.15609e+09  -1.15590e+09 0.00000e+00 
