2.72331e-05 1.06151e+02  2.27826e-09 0.00000e+00 
5.44663e-05 1.44235e+03  -1.13909e+03 0.00000e+00 
8.16994e-05 6.27266e+03  -5.70285e+03 0.00000e+00 
1.08932e-04 1.75504e+04  -1.66809e+04 0.00000e+00 
1.36165e-04 3.84215e+04  -3.72547e+04 0.00000e+00 
1.63398e-04 7.17376e+04  -7.03056e+04 0.00000e+00 
1.90630e-04 1.19660e+05  -1.18015e+05 0.00000e+00 
2.17862e-04 1.83411e+05  -1.81616e+05 0.00000e+00 
2.45092e-04 2.63209e+05  -2.61322e+05 0.00000e+00 
2.72322e-04 3.58378e+05  -3.56445e+05 0.00000e+00 
2.99551e-04 4.67625e+05  -4.65671e+05 0.00000e+00 
3.26779e-04 5.89437e+05  -5.87461e+05 0.00000e+00 
3.54005e-04 7.22528e+05  -7.20503e+05 0.00000e+00 
3.81230e-04 8.66289e+05  -8.64166e+05 0.00000e+00 
4.08453e-04 1.02117e+06  -1.01888e+06 0.00000e+00 
4.35674e-04 1.18894e+06  -1.18642e+06 0.00000e+00 
4.62894e-04 1.37285e+06  -1.37002e+06 0.00000e+00 
4.90113e-04 1.57757e+06  -1.57436e+06 0.00000e+00 
5.17329e-04 1.80906e+06  -1.80543e+06 0.00000e+00 
5.44545e-04 2.07431e+06  -2.07023e+06 0.00000e+00 
5.71758e-04 2.38103e+06  -2.37647e+06 0.00000e+00 
5.98971e-04 2.73728e+06  -2.73224e+06 0.00000e+00 
6.26182e-04 3.15120e+06  -3.14570e+06 0.00000e+00 
6.53391e-04 3.63080e+06  -3.62484e+06 0.00000e+00 
6.80600e-04 4.18377e+06  -4.17736e+06 0.00000e+00 
7.07808e-04 4.81751e+06  -4.81064e+06 0.00000e+00 
7.35015e-04 5.53913e+06  -5.53180e+06 0.00000e+00 
7.62222e-04 6.35566e+06  -6.34782e+06 0.00000e+00 
7.89428e-04 7.27414e+06  -7.26575e+06 0.00000e+00 
8.16633e-04 8.30185e+06  -8.29286e+06 0.00000e+00 
8.43838e-04 9.44646e+06  -9.43679e+06 0.00000e+00 
8.71043e-04 1.07161e+07  -1.07056e+07 0.00000e+00 
8.98247e-04 1.21192e+07  -1.21080e+07 0.00000e+00 
9.25452e-04 1.36648e+07  -1.36527e+07 0.00000e+00 
9.52656e-04 1.53620e+07  -1.53491e+07 0.00000e+00 
9.79859e-04 1.72200e+07  -1.72062e+07 0.00000e+00 
1.00706e-03 1.92478e+07  -1.92330e+07 0.00000e+00 
1.03426e-03 2.14539e+07  -2.14382e+07 0.00000e+00 
1.06147e-03 2.38462e+07  -2.38298e+07 0.00000e+00 
1.08867e-03 2.64323e+07  -2.64150e+07 0.00000e+00 
1.11587e-03 2.92186e+07  -2.92006e+07 0.00000e+00 
1.14307e-03 3.22114e+07  -3.21926e+07 0.00000e+00 
1.17027e-03 3.54164e+07  -3.53969e+07 0.00000e+00 
1.19747e-03 3.88391e+07  -3.88189e+07 0.00000e+00 
1.22466e-03 4.24854e+07  -4.24646e+07 0.00000e+00 
1.25186e-03 4.63617e+07  -4.63402e+07 0.00000e+00 
1.27905e-03 5.04751e+07  -5.04529e+07 0.00000e+00 
1.30625e-03 5.48338e+07  -5.48108e+07 0.00000e+00 
1.33344e-03 5.94473e+07  -5.94235e+07 0.00000e+00 
1.36063e-03 6.43263e+07  -6.43016e+07 0.00000e+00 
1.38782e-03 6.94830e+07  -6.94574e+07 0.00000e+00 
1.41500e-03 7.49310e+07  -7.49045e+07 0.00000e+00 
1.44219e-03 8.06849e+07  -8.06574e+07 0.00000e+00 
1.46938e-03 8.67603e+07  -8.67318e+07 0.00000e+00 
1.49656e-03 9.31738e+07  -9.31442e+07 0.00000e+00 
1.52374e-03 9.99425e+07  -9.99118e+07 0.00000e+00 
1.55092e-03 1.07084e+08  -1.07052e+08 0.00000e+00 
1.57811e-03 1.14616e+08  -1.14583e+08 0.00000e+00 
1.60529e-03 1.22556e+08  -1.22521e+08 0.00000e+00 
1.63246e-03 1.30922e+08  -1.30886e+08 0.00000e+00 
1.65964e-03 1.39732e+08  -1.39695e+08 0.00000e+00 
1.68682e-03 1.49003e+08  -1.48965e+08 0.00000e+00 
1.71400e-03 1.58753e+08  -1.58713e+08 0.00000e+00 
1.74118e-03 1.68998e+08  -1.68958e+08 0.00000e+00 
1.76835e-03 1.79756e+08  -1.79714e+08 0.00000e+00 
1.79553e-03 1.91043e+08  -1.90999e+08 0.00000e+00 
1.82270e-03 2.02873e+08  -2.02828e+08 0.00000e+00 
1.84988e-03 2.15263e+08  -2.15216e+08 0.00000e+00 
1.87705e-03 2.28226e+08  -2.28178e+08 0.00000e+00 
1.90423e-03 2.41776e+08  -2.41726e+08 0.00000e+00 
1.93140e-03 2.55926e+08  -2.55875e+08 0.00000e+00 
1.95857e-03 2.70688e+08  -2.70635e+08 0.00000e+00 
1.98574e-03 2.86074e+08  -2.86020e+08 0.00000e+00 
2.01291e-03 3.02095e+08  -3.02039e+08 0.00000e+00 
2.04008e-03 3.18762e+08  -3.18706e+08 0.00000e+00 
2.06725e-03 3.36088e+08  -3.36030e+08 0.00000e+00 
2.09442e-03 3.54083e+08  -3.54024e+08 0.00000e+00 
2.12159e-03 3.72761e+08  -3.72700e+08 0.00000e+00 
2.14875e-03 3.92135e+08  -3.92072e+08 0.00000e+00 
2.17592e-03 4.12219e+08  -4.12155e+08 0.00000e+00 
2.20308e-03 4.33030e+08  -4.32966e+08 0.00000e+00 
2.23024e-03 4.54587e+08  -4.54520e+08 0.00000e+00 
2.25740e-03 4.76907e+08  -4.76839e+08 0.00000e+00 
2.28456e-03 5.00012e+08  -4.99943e+08 0.00000e+00 
2.31172e-03 5.23925e+08  -5.23855e+08 0.00000e+00 
2.33888e-03 5.48670e+08  -5.48597e+08 0.00000e+00 
2.36604e-03 5.74270e+08  -5.74196e+08 0.00000e+00 
2.39319e-03 6.00753e+08  -6.00678e+08 0.00000e+00 
2.42035e-03 6.28145e+08  -6.28068e+08 0.00000e+00 
2.44750e-03 6.56473e+08  -6.56394e+08 0.00000e+00 
2.47465e-03 6.85764e+08  -6.85683e+08 0.00000e+00 
2.50180e-03 7.16045e+08  -7.15962e+08 0.00000e+00 
2.52895e-03 7.47345e+08  -7.47260e+08 0.00000e+00 
2.55610e-03 7.79688e+08  -7.79601e+08 0.00000e+00 
2.58325e-03 8.13102e+08  -8.13013e+08 0.00000e+00 
2.61040e-03 8.47611e+08  -8.47520e+08 0.00000e+00 
2.63755e-03 8.83240e+08  -8.83147e+08 0.00000e+00 
2.66470e-03 9.20013e+08  -9.19918e+08 0.00000e+00 
2.69185e-03 9.57951e+08  -9.57854e+08 0.00000e+00 
2.71899e-03 9.97075e+08  -9.96976e+08 0.00000e+00 
2.74614e-03 1.03741e+09  -1.03731e+09 0.00000e+00 
2.77328e-03 1.07897e+09  -1.07886e+09 0.00000e+00 
2.80043e-03 1.12177e+09  -1.12166e+09 0.00000e+00 
2.82757e-03 1.16583e+09  -1.16573e+09 0.00000e+00 
2.85471e-03 1.21118e+09  -1.21107e+09 0.00000e+00 
2.88186e-03 1.25782e+09  -1.25771e+09 0.00000e+00 
2.90900e-03 1.30578e+09  -1.30566e+09 0.00000e+00 
2.93614e-03 1.35506e+09  -1.35495e+09 0.00000e+00 
2.96328e-03 1.40570e+09  -1.40558e+09 0.00000e+00 
2.99041e-03 1.45770e+09  -1.45758e+09 0.00000e+00 
3.01755e-03 1.51109e+09  -1.51097e+09 0.00000e+00 
3.04469e-03 1.56589e+09  -1.56576e+09 0.00000e+00 
3.07182e-03 1.62212e+09  -1.62199e+09 0.00000e+00 
3.09896e-03 1.67980e+09  -1.67968e+09 0.00000e+00 
3.12609e-03 1.73897e+09  -1.73884e+09 0.00000e+00 
