1.23266e-04 4.51301e+04  3.43020e+04 3.43020e+04 
2.46531e-04 6.46687e+04  1.06958e+05 1.27241e+05 
3.69766e-04 5.55608e+04  2.55274e+05 2.65718e+05 
4.92962e-04 4.14932e+04  4.59743e+05 4.59233e+05 
6.16142e-04 4.11103e+04  7.28590e+05 7.28183e+05 
7.39324e-04 5.12254e+04  1.06485e+06 1.07201e+06 
8.62493e-04 6.04743e+04  1.45502e+06 1.47197e+06 
9.85628e-04 4.76498e+04  1.91682e+06 1.92100e+06 
1.10873e-03 4.13286e+04  2.43245e+06 2.43302e+06 
1.23183e-03 4.37697e+04  3.01828e+06 3.01976e+06 
1.35493e-03 5.46525e+04  3.66155e+06 3.67313e+06 
1.47800e-03 5.42182e+04  4.36814e+06 4.37927e+06 
1.60104e-03 4.41965e+04  5.13760e+06 5.13988e+06 
1.72406e-03 4.21511e+04  5.96670e+06 5.96796e+06 
1.84707e-03 4.74079e+04  6.86191e+06 6.86688e+06 
1.97007e-03 5.43974e+04  7.81433e+06 7.82616e+06 
2.09305e-03 4.91175e+04  8.83184e+06 8.83849e+06 
2.21600e-03 4.32033e+04  9.90827e+06 9.91038e+06 
2.33893e-03 4.39383e+04  1.10482e+07 1.10507e+07 
2.46186e-03 5.00798e+04  1.22492e+07 1.22570e+07 
2.58477e-03 5.19160e+04  1.35105e+07 1.35201e+07 
2.70765e-03 4.61081e+04  1.48343e+07 1.48386e+07 
2.83051e-03 4.34887e+04  1.62176e+07 1.62201e+07 
2.95336e-03 4.62053e+04  1.76640e+07 1.76685e+07 
3.07619e-03 5.08299e+04  1.91697e+07 1.91785e+07 
3.19901e-03 4.90793e+04  2.07371e+07 2.07442e+07 
3.32180e-03 4.48215e+04  2.23646e+07 2.23681e+07 
3.44457e-03 4.45495e+04  2.40531e+07 2.40565e+07 
3.56733e-03 4.80554e+04  2.58027e+07 2.58089e+07 
3.69008e-03 5.00048e+04  2.76118e+07 2.76199e+07 
3.81280e-03 4.69682e+04  2.94820e+07 2.94873e+07 
3.93550e-03 4.46647e+04  3.14118e+07 3.14153e+07 
4.05819e-03 4.59539e+04  3.34027e+07 3.34071e+07 
4.18086e-03 4.88799e+04  3.54531e+07 3.54602e+07 
4.30352e-03 4.85354e+04  3.75636e+07 3.75704e+07 
4.42615e-03 4.58272e+04  3.97340e+07 3.97385e+07 
4.54876e-03 4.51919e+04  4.19642e+07 4.19682e+07 
4.67136e-03 4.71787e+04  4.42546e+07 4.42602e+07 
4.79394e-03 4.86999e+04  4.66041e+07 4.66111e+07 
4.91651e-03 4.71955e+04  4.90134e+07 4.90190e+07 
5.03905e-03 4.54928e+04  5.14820e+07 5.14862e+07 
5.16158e-03 4.60284e+04  5.40102e+07 5.40149e+07 
5.28409e-03 4.78377e+04  5.65977e+07 5.66039e+07 
5.40658e-03 4.79600e+04  5.92442e+07 5.92505e+07 
5.52906e-03 4.63385e+04  6.19499e+07 6.19548e+07 
5.65151e-03 4.57012e+04  6.47146e+07 6.47190e+07 
5.77395e-03 4.68116e+04  6.75384e+07 6.75437e+07 
5.89637e-03 4.78729e+04  7.04209e+07 7.04271e+07 
6.01878e-03 4.71447e+04  7.33621e+07 7.33677e+07 
6.14116e-03 4.59965e+04  7.63620e+07 7.63666e+07 
6.26353e-03 4.61772e+04  7.94205e+07 7.94253e+07 
6.38588e-03 4.72785e+04  8.25376e+07 8.25433e+07 
6.50822e-03 4.74983e+04  8.57130e+07 8.57189e+07 
6.63053e-03 4.65510e+04  8.89467e+07 8.89518e+07 
6.75283e-03 4.60456e+04  9.22386e+07 9.22433e+07 
6.87511e-03 4.66618e+04  9.55888e+07 9.55940e+07 
6.99737e-03 4.73600e+04  9.89969e+07 9.90028e+07 
7.11962e-03 4.70056e+04  1.02463e+08 1.02469e+08 
7.24185e-03 4.62689e+04  1.05987e+08 1.05992e+08 
7.36406e-03 4.63055e+04  1.09569e+08 1.09574e+08 
7.48625e-03 4.69692e+04  1.13208e+08 1.13214e+08 
7.60843e-03 4.71615e+04  1.16905e+08 1.16911e+08 
7.73058e-03 4.66089e+04  1.20660e+08 1.20665e+08 
7.85272e-03 4.62516e+04  1.24472e+08 1.24477e+08 
7.97485e-03 4.65959e+04  1.28342e+08 1.28347e+08 
8.09695e-03 4.70383e+04  1.32268e+08 1.32274e+08 
8.21904e-03 4.68582e+04  1.36252e+08 1.36258e+08 
8.34111e-03 4.63974e+04  1.40293e+08 1.40298e+08 
8.46316e-03 4.63879e+04  1.44392e+08 1.44396e+08 
8.58520e-03 4.67862e+04  1.48547e+08 1.48552e+08 
8.70722e-03 4.69223e+04  1.52758e+08 1.52764e+08 
8.82922e-03 4.65953e+04  1.57027e+08 1.57032e+08 
8.95120e-03 4.63592e+04  1.61352e+08 1.61357e+08 
9.07317e-03 4.65559e+04  1.65734e+08 1.65739e+08 
9.19512e-03 4.68282e+04  1.70173e+08 1.70178e+08 
9.31705e-03 4.67283e+04  1.74668e+08 1.74673e+08 
9.43897e-03 4.64433e+04  1.79219e+08 1.79224e+08 
9.56086e-03 4.64267e+04  1.83826e+08 1.83831e+08 
9.68274e-03 4.66656e+04  1.88490e+08 1.88495e+08 
9.80461e-03 4.67504e+04  1.93210e+08 1.93215e+08 
9.92645e-03 4.65520e+04  1.97986e+08 1.97991e+08 
1.00000e-02 4.64148e+04  2.00897e+08 2.00902e+08 
