1.23266e-04 3.51102e+04  2.70139e+04 2.70139e+04 
2.46531e-04 5.18278e+04  7.78157e+04 9.80990e+04 
3.69766e-04 4.40349e+04  1.89743e+05 2.00187e+05 
4.92962e-04 3.19985e+04  3.43323e+05 3.42813e+05 
6.16142e-04 3.16708e+04  5.46802e+05 5.46395e+05 
7.39324e-04 4.03254e+04  8.03222e+05 8.10389e+05 
8.62493e-04 4.82390e+04  1.09913e+06 1.11608e+06 
9.85628e-04 3.72661e+04  1.45226e+06 1.45644e+06 
1.10873e-03 3.18576e+04  1.84487e+06 1.84544e+06 
1.23183e-03 3.39463e+04  2.29332e+06 2.29479e+06 
1.35493e-03 4.32577e+04  2.78486e+06 2.79644e+06 
1.47800e-03 4.28862e+04  3.32543e+06 3.33656e+06 
1.60104e-03 3.43114e+04  3.91463e+06 3.91690e+06 
1.72406e-03 3.25614e+04  4.54921e+06 4.55047e+06 
1.84707e-03 3.70591e+04  5.23568e+06 5.24065e+06 
1.97007e-03 4.30395e+04  5.96513e+06 5.97696e+06 
2.09305e-03 3.85219e+04  6.74553e+06 6.75219e+06 
2.21600e-03 3.34616e+04  7.57074e+06 7.57284e+06 
2.33893e-03 3.40906e+04  8.44531e+06 8.44786e+06 
2.46186e-03 3.93453e+04  9.36686e+06 9.37468e+06 
2.58477e-03 4.09163e+04  1.03346e+07 1.03442e+07 
2.70765e-03 3.59471e+04  1.13508e+07 1.13552e+07 
2.83051e-03 3.37059e+04  1.24126e+07 1.24151e+07 
2.95336e-03 3.60302e+04  1.35234e+07 1.35279e+07 
3.07619e-03 3.99871e+04  1.46796e+07 1.46883e+07 
3.19901e-03 3.84892e+04  1.58835e+07 1.58906e+07 
3.32180e-03 3.48462e+04  1.71337e+07 1.71372e+07 
3.44457e-03 3.46135e+04  1.84309e+07 1.84342e+07 
3.56733e-03 3.76132e+04  1.97753e+07 1.97816e+07 
3.69008e-03 3.92811e+04  2.11655e+07 2.11736e+07 
3.81280e-03 3.66830e+04  2.26029e+07 2.26082e+07 
3.93550e-03 3.47120e+04  2.40861e+07 2.40896e+07 
4.05819e-03 3.58151e+04  2.56166e+07 2.56211e+07 
4.18086e-03 3.83187e+04  2.71930e+07 2.72001e+07 
4.30352e-03 3.80239e+04  2.88158e+07 2.88225e+07 
4.42615e-03 3.57067e+04  3.04847e+07 3.04891e+07 
4.54876e-03 3.51631e+04  3.21997e+07 3.22037e+07 
4.67136e-03 3.68630e+04  3.39613e+07 3.39669e+07 
4.79394e-03 3.81646e+04  3.57684e+07 3.57754e+07 
4.91651e-03 3.68774e+04  3.76218e+07 3.76274e+07 
5.03905e-03 3.54206e+04  3.95208e+07 3.95250e+07 
5.16158e-03 3.58789e+04  4.14659e+07 4.14706e+07 
5.28409e-03 3.74269e+04  4.34568e+07 4.34630e+07 
5.40658e-03 3.75315e+04  4.54932e+07 4.54995e+07 
5.52906e-03 3.61442e+04  4.75753e+07 4.75802e+07 
5.65151e-03 3.55989e+04  4.97029e+07 4.97073e+07 
5.77395e-03 3.65489e+04  5.18763e+07 5.18816e+07 
5.89637e-03 3.74570e+04  5.40949e+07 5.41012e+07 
6.01878e-03 3.68339e+04  5.63590e+07 5.63646e+07 
6.14116e-03 3.58516e+04  5.86683e+07 5.86729e+07 
6.26353e-03 3.60062e+04  6.10230e+07 6.10277e+07 
6.38588e-03 3.69485e+04  6.34228e+07 6.34286e+07 
6.50822e-03 3.71365e+04  6.58677e+07 6.58737e+07 
6.63053e-03 3.63260e+04  6.83577e+07 6.83628e+07 
6.75283e-03 3.58935e+04  7.08927e+07 7.08974e+07 
6.87511e-03 3.64208e+04  7.34727e+07 7.34779e+07 
6.99737e-03 3.70182e+04  7.60975e+07 7.61033e+07 
7.11962e-03 3.67149e+04  7.87671e+07 7.87726e+07 
7.24185e-03 3.60846e+04  8.14814e+07 8.14862e+07 
7.36406e-03 3.61159e+04  8.42404e+07 8.42453e+07 
7.48625e-03 3.66838e+04  8.70441e+07 8.70496e+07 
7.60843e-03 3.68483e+04  8.98923e+07 8.98979e+07 
7.73058e-03 3.63756e+04  9.27850e+07 9.27901e+07 
7.85272e-03 3.60698e+04  9.57221e+07 9.57269e+07 
7.97485e-03 3.63644e+04  9.87036e+07 9.87087e+07 
8.09695e-03 3.67429e+04  1.01729e+08 1.01735e+08 
8.21904e-03 3.65888e+04  1.04799e+08 1.04805e+08 
8.34111e-03 3.61946e+04  1.07914e+08 1.07919e+08 
8.46316e-03 3.61864e+04  1.11072e+08 1.11077e+08 
8.58520e-03 3.65272e+04  1.14274e+08 1.14280e+08 
8.70722e-03 3.66437e+04  1.17521e+08 1.17526e+08 
8.82922e-03 3.63639e+04  1.20811e+08 1.20816e+08 
8.95120e-03 3.61619e+04  1.24145e+08 1.24150e+08 
9.07317e-03 3.63302e+04  1.27523e+08 1.27528e+08 
9.19512e-03 3.65632e+04  1.30945e+08 1.30950e+08 
9.31705e-03 3.64777e+04  1.34410e+08 1.34416e+08 
9.43897e-03 3.62338e+04  1.37919e+08 1.37924e+08 
9.56086e-03 3.62197e+04  1.41472e+08 1.41477e+08 
9.68274e-03 3.64240e+04  1.45068e+08 1.45073e+08 
9.80461e-03 3.64966e+04  1.48708e+08 1.48713e+08 
9.92645e-03 3.63268e+04  1.52391e+08 1.52396e+08 
1.00000e-02 3.62094e+04  1.54636e+08 1.54641e+08 
