1.23266e-04 3.35506e+04  2.61219e+04 2.61219e+04 
2.46531e-04 4.76168e+04  8.28934e+04 9.83391e+04 
3.69773e-04 5.07274e+04  1.86490e+05 2.05635e+05 
4.92976e-04 3.71377e+04  3.43603e+05 3.47678e+05 
6.16150e-04 3.15289e+04  5.36745e+05 5.36823e+05 
7.39316e-04 3.20391e+04  7.82725e+05 7.82854e+05 
8.62481e-04 3.93528e+04  1.07519e+06 1.08214e+06 
9.85632e-04 4.75197e+04  1.40666e+06 1.42297e+06 
1.10875e-03 4.14791e+04  1.79009e+06 1.79952e+06 
1.23184e-03 3.34461e+04  2.21611e+06 2.21774e+06 
1.35492e-03 3.20729e+04  2.68657e+06 2.68739e+06 
1.47798e-03 3.53407e+04  3.20718e+06 3.21054e+06 
1.60104e-03 4.26612e+04  3.76870e+06 3.77993e+06 
1.72407e-03 4.29602e+04  4.37644e+06 4.38802e+06 
1.84708e-03 3.62512e+04  5.03101e+06 5.03549e+06 
1.97006e-03 3.28959e+04  5.72792e+06 5.72957e+06 
2.09303e-03 3.38914e+04  6.47270e+06 6.47511e+06 
2.21600e-03 3.87481e+04  7.26201e+06 7.26922e+06 
2.33894e-03 4.20000e+04  8.09448e+06 8.10528e+06 
2.46186e-03 3.84949e+04  8.97372e+06 8.98072e+06 
2.58476e-03 3.43301e+04  9.89650e+06 9.89948e+06 
2.70764e-03 3.37112e+04  1.08643e+07 1.08668e+07 
2.83051e-03 3.64001e+04  1.18781e+07 1.18830e+07 
2.95336e-03 4.00404e+04  1.29348e+07 1.29436e+07 
3.07619e-03 3.94513e+04  1.40367e+07 1.40448e+07 
3.19900e-03 3.59178e+04  1.51831e+07 1.51877e+07 
3.32179e-03 3.41943e+04  1.63734e+07 1.63763e+07 
3.44457e-03 3.52964e+04  1.76090e+07 1.76130e+07 
3.56733e-03 3.81772e+04  1.88884e+07 1.88953e+07 
3.69007e-03 3.92813e+04  2.02116e+07 2.02197e+07 
3.81280e-03 3.71466e+04  2.15795e+07 2.15853e+07 
3.93550e-03 3.50080e+04  2.29909e+07 2.29947e+07 
4.05818e-03 3.49864e+04  2.44467e+07 2.44505e+07 
4.18085e-03 3.68544e+04  2.59467e+07 2.59523e+07 
4.30351e-03 3.85247e+04  2.74900e+07 2.74974e+07 
4.42614e-03 3.77731e+04  2.90774e+07 2.90839e+07 
4.54876e-03 3.58665e+04  3.07084e+07 3.07130e+07 
4.67135e-03 3.51364e+04  3.23830e+07 3.23869e+07 
4.79393e-03 3.60973e+04  3.41016e+07 3.41064e+07 
4.91650e-03 3.76578e+04  3.58634e+07 3.58699e+07 
5.03905e-03 3.78551e+04  3.76687e+07 3.76753e+07 
5.16157e-03 3.65470e+04  3.95174e+07 3.95227e+07 
5.28408e-03 3.55123e+04  4.14094e+07 4.14137e+07 
5.40657e-03 3.57767e+04  4.33448e+07 4.33494e+07 
5.52905e-03 3.69422e+04  4.53235e+07 4.53292e+07 
5.65151e-03 3.76006e+04  4.73451e+07 4.73515e+07 
5.77394e-03 3.69467e+04  4.94099e+07 4.94156e+07 
5.89636e-03 3.59399e+04  5.15176e+07 5.15224e+07 
6.01877e-03 3.57425e+04  5.36684e+07 5.36729e+07 
6.14115e-03 3.64598e+04  5.58621e+07 5.58674e+07 
6.26352e-03 3.72187e+04  5.80986e+07 5.81046e+07 
6.38587e-03 3.70796e+04  6.03778e+07 6.03837e+07 
6.50821e-03 3.63018e+04  6.26997e+07 6.27047e+07 
6.63052e-03 3.58660e+04  6.50642e+07 6.50688e+07 
6.75282e-03 3.61943e+04  6.74713e+07 6.74763e+07 
6.87510e-03 3.68501e+04  6.99210e+07 6.99266e+07 
6.99736e-03 3.70244e+04  7.24130e+07 7.24188e+07 
7.11961e-03 3.65413e+04  7.49474e+07 7.49527e+07 
7.24183e-03 3.60477e+04  7.75241e+07 7.75290e+07 
7.36404e-03 3.60913e+04  8.01431e+07 8.01480e+07 
7.48624e-03 3.65617e+04  8.28044e+07 8.28097e+07 
7.60841e-03 3.68716e+04  8.55077e+07 8.55133e+07 
7.73057e-03 3.66533e+04  8.82530e+07 8.82585e+07 
7.85271e-03 3.62206e+04  9.10403e+07 9.10454e+07 
7.97483e-03 3.60908e+04  9.38696e+07 9.38745e+07 
8.09694e-03 3.63691e+04  9.67409e+07 9.67460e+07 
8.21903e-03 3.66925e+04  9.96539e+07 9.96594e+07 
8.34110e-03 3.66645e+04  1.02609e+08 1.02614e+08 
8.46315e-03 3.63484e+04  1.05605e+08 1.05610e+08 
8.58519e-03 3.61413e+04  1.08643e+08 1.08648e+08 
8.70720e-03 3.62600e+04  1.11723e+08 1.11728e+08 
8.82921e-03 3.65298e+04  1.14844e+08 1.14849e+08 
8.95119e-03 3.66121e+04  1.18006e+08 1.18012e+08 
9.07316e-03 3.64202e+04  1.21210e+08 1.21216e+08 
9.19511e-03 3.62051e+04  1.24456e+08 1.24461e+08 
9.31704e-03 3.62113e+04  1.27742e+08 1.27747e+08 
9.43895e-03 3.64021e+04  1.31070e+08 1.31075e+08 
9.56085e-03 3.65298e+04  1.34439e+08 1.34444e+08 
9.68273e-03 3.64416e+04  1.37849e+08 1.37854e+08 
9.80459e-03 3.62590e+04  1.41300e+08 1.41305e+08 
9.92644e-03 3.61994e+04  1.44792e+08 1.44797e+08 
1.00000e-02 3.62536e+04  1.46921e+08 1.46926e+08 
