1.23266e-04 4.87500e+04  1.46094e+04 1.46094e+04 
2.46531e-04 4.87500e+04  5.84376e+04 5.84376e+04 
3.69797e-04 4.87500e+04  1.31485e+05 1.31485e+05 
4.93062e-04 4.87500e+04  2.33750e+05 2.33750e+05 
6.16328e-04 4.87500e+04  3.65235e+05 3.65235e+05 
7.39593e-04 4.87500e+04  5.25939e+05 5.25939e+05 
8.62859e-04 4.87500e+04  7.15862e+05 7.15862e+05 
9.86124e-04 4.87500e+04  9.35003e+05 9.35003e+05 
1.10939e-03 4.87500e+04  1.18336e+06 1.18336e+06 
1.23266e-03 4.87500e+04  1.46094e+06 1.46094e+06 
1.35592e-03 4.87500e+04  1.76774e+06 1.76774e+06 
1.47919e-03 4.87500e+04  2.10376e+06 2.10376e+06 
1.60245e-03 4.87500e+04  2.46900e+06 2.46900e+06 
1.72572e-03 4.87500e+04  2.86346e+06 2.86346e+06 
1.84898e-03 4.87500e+04  3.28714e+06 3.28714e+06 
1.97225e-03 4.87500e+04  3.74004e+06 3.74004e+06 
2.09551e-03 4.87500e+04  4.22216e+06 4.22216e+06 
2.21878e-03 4.87500e+04  4.73351e+06 4.73351e+06 
2.34204e-03 4.87500e+04  5.27407e+06 5.27407e+06 
2.46531e-03 4.87500e+04  5.84385e+06 5.84385e+06 
2.58858e-03 4.87500e+04  6.44286e+06 6.44286e+06 
2.71184e-03 4.87500e+04  7.07109e+06 7.07109e+06 
2.83511e-03 4.87500e+04  7.72854e+06 7.72854e+06 
2.95837e-03 4.87500e+04  8.41522e+06 8.41522e+06 
3.08164e-03 4.87500e+04  9.13112e+06 9.13112e+06 
3.20490e-03 4.87500e+04  9.87624e+06 9.87624e+06 
3.32817e-03 4.87500e+04  1.06506e+07 1.06506e+07 
3.45143e-03 4.87500e+04  1.14542e+07 1.14542e+07 
3.57470e-03 4.87500e+04  1.22870e+07 1.22870e+07 
3.69797e-03 4.87500e+04  1.31490e+07 1.31490e+07 
3.82123e-03 4.87500e+04  1.40402e+07 1.40402e+07 
3.94450e-03 4.87500e+04  1.49607e+07 1.49607e+07 
4.06776e-03 4.87500e+04  1.59104e+07 1.59104e+07 
4.19103e-03 4.87500e+04  1.68893e+07 1.68893e+07 
4.31429e-03 4.87500e+04  1.78975e+07 1.78975e+07 
4.43756e-03 4.87500e+04  1.89349e+07 1.89349e+07 
4.56082e-03 4.87500e+04  2.00015e+07 2.00015e+07 
4.68409e-03 4.87500e+04  2.10973e+07 2.10973e+07 
4.80735e-03 4.87500e+04  2.22224e+07 2.22224e+07 
4.93062e-03 4.87500e+04  2.33767e+07 2.33767e+07 
5.05389e-03 4.87500e+04  2.45603e+07 2.45603e+07 
5.17715e-03 4.87500e+04  2.57730e+07 2.57730e+07 
5.30042e-03 4.87500e+04  2.70150e+07 2.70150e+07 
5.42368e-03 4.87500e+04  2.82863e+07 2.82863e+07 
5.54695e-03 4.87500e+04  2.95867e+07 2.95867e+07 
5.67021e-03 4.87500e+04  3.09165e+07 3.09165e+07 
5.79348e-03 4.87500e+04  3.22754e+07 3.22754e+07 
5.91674e-03 4.87500e+04  3.36636e+07 3.36636e+07 
6.04001e-03 4.87500e+04  3.50810e+07 3.50810e+07 
6.16328e-03 4.87500e+04  3.65277e+07 3.65277e+07 
6.28654e-03 4.87500e+04  3.80036e+07 3.80036e+07 
6.40981e-03 4.87500e+04  3.95087e+07 3.95087e+07 
6.53307e-03 4.87500e+04  4.10431e+07 4.10431e+07 
6.65634e-03 4.87500e+04  4.26067e+07 4.26067e+07 
6.77960e-03 4.87500e+04  4.41996e+07 4.41996e+07 
6.90287e-03 4.87500e+04  4.58217e+07 4.58217e+07 
7.02613e-03 4.87500e+04  4.74730e+07 4.74730e+07 
7.14940e-03 4.87500e+04  4.91536e+07 4.91536e+07 
7.27266e-03 4.87500e+04  5.08635e+07 5.08635e+07 
7.39593e-03 4.87500e+04  5.26026e+07 5.26026e+07 
7.51920e-03 4.87500e+04  5.43709e+07 5.43709e+07 
7.64246e-03 4.87500e+04  5.61685e+07 5.61685e+07 
7.76573e-03 4.87500e+04  5.79954e+07 5.79954e+07 
7.88899e-03 4.87500e+04  5.98515e+07 5.98515e+07 
8.01226e-03 4.87500e+04  6.17368e+07 6.17368e+07 
8.13552e-03 4.87500e+04  6.36514e+07 6.36514e+07 
8.25879e-03 4.87500e+04  6.55953e+07 6.55953e+07 
8.38205e-03 4.87500e+04  6.75684e+07 6.75684e+07 
8.50532e-03 4.87500e+04  6.95708e+07 6.95708e+07 
8.62859e-03 4.87500e+04  7.16024e+07 7.16024e+07 
8.75185e-03 4.87500e+04  7.36633e+07 7.36633e+07 
8.87512e-03 4.87500e+04  7.57534e+07 7.57534e+07 
8.99838e-03 4.87500e+04  7.78729e+07 7.78729e+07 
9.12165e-03 4.87500e+04  8.00215e+07 8.00215e+07 
9.24491e-03 4.87500e+04  8.21995e+07 8.21995e+07 
9.36818e-03 4.87500e+04  8.44067e+07 8.44067e+07 
9.49144e-03 4.87500e+04  8.66432e+07 8.66432e+07 
9.61471e-03 4.87500e+04  8.89089e+07 8.89089e+07 
9.73798e-03 4.87500e+04  9.12039e+07 9.12039e+07 
9.86124e-03 4.87500e+04  9.35282e+07 9.35282e+07 
9.98451e-03 4.87500e+04  9.58818e+07 9.58818e+07 
1.00000e-02 4.87500e+04  9.61797e+07 9.61797e+07 
