1.23266e-04 4.75748e+03  3.43020e+04 3.43020e+04 
2.46531e-04 2.97953e+04  7.45593e+04 1.07714e+05 
3.69736e-04 4.12590e+04  1.50352e+05 1.87690e+05 
4.92900e-04 3.63831e+04  2.48013e+05 2.86712e+05 
6.16098e-04 3.04810e+04  3.93204e+05 4.21059e+05 
7.39296e-04 1.93602e+04  5.60088e+05 5.81589e+05 
8.62472e-04 8.47052e+03  7.51286e+05 7.62539e+05 
9.85615e-04 4.01400e+03  9.76913e+05 9.80304e+05 
1.10873e-03 1.29647e+04  1.23489e+06 1.24608e+06 
1.23182e-03 2.87736e+04  1.52049e+06 1.54760e+06 
1.35491e-03 3.50567e+04  1.83581e+06 1.86987e+06 
1.47799e-03 3.13083e+04  2.18145e+06 2.21300e+06 
1.60107e-03 2.42258e+04  2.55854e+06 2.58266e+06 
1.72414e-03 1.83315e+04  2.96120e+06 2.98093e+06 
1.84718e-03 1.11777e+04  3.40030e+06 3.41149e+06 
1.97019e-03 1.47191e+04  3.86361e+06 3.87890e+06 
2.09318e-03 2.34523e+04  4.35677e+06 4.37989e+06 
2.21614e-03 2.64453e+04  4.88104e+06 4.90675e+06 
2.33909e-03 2.03239e+04  5.44001e+06 5.45926e+06 
2.46204e-03 2.09321e+04  6.02051e+06 6.04270e+06 
2.58499e-03 2.28002e+04  6.63056e+06 6.65696e+06 
2.70792e-03 1.86596e+04  7.27791e+06 7.29825e+06 
2.83081e-03 1.63868e+04  7.95340e+06 7.96861e+06 
2.95366e-03 2.20751e+04  8.65081e+06 8.67281e+06 
3.07652e-03 2.65567e+04  9.38056e+06 9.40809e+06 
3.19937e-03 2.15449e+04  1.01465e+07 1.01677e+07 
3.32219e-03 1.57589e+04  1.09380e+07 1.09529e+07 
3.44499e-03 1.58550e+04  1.17544e+07 1.17717e+07 
3.56780e-03 1.87741e+04  1.26045e+07 1.26263e+07 
3.69058e-03 2.33182e+04  1.34856e+07 1.35104e+07 
3.81332e-03 2.65964e+04  1.43926e+07 1.44190e+07 
3.93604e-03 2.44602e+04  1.53289e+07 1.53535e+07 
4.05878e-03 1.83048e+04  1.62985e+07 1.63168e+07 
4.18151e-03 1.42984e+04  1.72946e+07 1.73092e+07 
4.30420e-03 1.43706e+04  1.83169e+07 1.83327e+07 
4.42686e-03 1.63327e+04  1.93731e+07 1.93907e+07 
4.54953e-03 2.26100e+04  2.04602e+07 2.04825e+07 
4.67216e-03 3.23291e+04  2.15699e+07 2.16017e+07 
4.79478e-03 3.31349e+04  2.27091e+07 2.27427e+07 
4.91740e-03 2.04020e+04  2.38854e+07 2.39059e+07 
5.04003e-03 8.75254e+03  2.50881e+07 2.50971e+07 
5.16261e-03 8.31707e+03  2.63126e+07 2.63225e+07 
5.28517e-03 1.38729e+04  2.75700e+07 2.75851e+07 
5.40770e-03 2.12765e+04  2.88618e+07 2.88823e+07 
5.53023e-03 3.06212e+04  3.01781e+07 3.02076e+07 
5.65274e-03 3.53259e+04  3.15200e+07 3.15551e+07 
5.77526e-03 2.86648e+04  3.28951e+07 3.29241e+07 
5.89777e-03 1.57216e+04  3.43014e+07 3.43182e+07 
6.02025e-03 7.41922e+03  3.57336e+07 3.57430e+07 
6.14270e-03 8.62636e+03  3.71929e+07 3.72028e+07 
6.26513e-03 1.64817e+04  3.86823e+07 3.86984e+07 
6.38753e-03 2.57835e+04  4.02008e+07 4.02257e+07 
6.50992e-03 3.03476e+04  4.17486e+07 4.17787e+07 
6.63232e-03 2.76500e+04  4.33264e+07 4.33541e+07 
6.75471e-03 2.24040e+04  4.49305e+07 4.49532e+07 
6.87708e-03 1.76518e+04  4.65613e+07 4.65807e+07 
6.99941e-03 1.27094e+04  4.82255e+07 4.82403e+07 
7.12173e-03 1.25393e+04  4.99202e+07 4.99327e+07 
7.24402e-03 2.09886e+04  5.16359e+07 5.16561e+07 
7.36629e-03 2.80673e+04  5.33794e+07 5.34076e+07 
7.48856e-03 2.46021e+04  5.51604e+07 5.51850e+07 
7.61085e-03 1.84986e+04  5.69697e+07 5.69879e+07 
7.73312e-03 1.80386e+04  5.87986e+07 5.88181e+07 
7.85536e-03 1.82283e+04  6.06582e+07 6.06788e+07 
7.97757e-03 1.69971e+04  6.25539e+07 6.25715e+07 
8.09976e-03 2.09513e+04  6.44745e+07 6.44946e+07 
8.22193e-03 2.81552e+04  6.64167e+07 6.64444e+07 
8.34409e-03 2.77698e+04  6.83912e+07 6.84186e+07 
8.46625e-03 1.85551e+04  7.04004e+07 7.04180e+07 
8.58842e-03 1.11975e+04  7.24344e+07 7.24460e+07 
8.71057e-03 1.22271e+04  7.44915e+07 7.45063e+07 
8.83268e-03 1.79425e+04  7.65799e+07 7.65998e+07 
8.95476e-03 2.42262e+04  7.87000e+07 7.87242e+07 
9.07681e-03 2.96871e+04  8.08455e+07 8.08745e+07 
9.19885e-03 3.01477e+04  8.30175e+07 8.30470e+07 
9.32088e-03 2.29592e+04  8.52193e+07 8.52417e+07 
9.44291e-03 1.33147e+04  8.74492e+07 8.74633e+07 
9.56495e-03 7.96094e+03  8.97079e+07 8.97177e+07 
9.68694e-03 1.02341e+04  9.19961e+07 9.20071e+07 
9.80890e-03 2.04979e+04  9.43092e+07 9.43298e+07 
9.93084e-03 3.15392e+04  9.66479e+07 9.66800e+07 
1.00000e-02 3.40093e+04  9.79887e+07 9.80233e+07 
