2.46531e-04 5.18278e+04  6.53676e+04 8.56508e+04 
3.69766e-04 4.40349e+04  1.91834e+05 2.02279e+05 
4.92962e-04 3.19985e+04  3.59926e+05 3.59415e+05 
6.16142e-04 3.16708e+04  5.77889e+05 5.77482e+05 
7.39324e-04 4.03254e+04  8.48773e+05 8.55940e+05 
8.62493e-04 4.82390e+04  1.15912e+06 1.17607e+06 
9.85628e-04 3.72661e+04  1.52667e+06 1.53085e+06 
1.10873e-03 3.18576e+04  1.93366e+06 1.93424e+06 
1.23183e-03 3.39463e+04  2.39648e+06 2.39795e+06 
1.35493e-03 4.32577e+04  2.90236e+06 2.91394e+06 
1.47800e-03 4.28862e+04  3.45725e+06 3.46838e+06 
1.60104e-03 3.43114e+04  4.06074e+06 4.06301e+06 
1.72406e-03 3.25614e+04  4.70958e+06 4.71084e+06 
1.84707e-03 3.70591e+04  5.41029e+06 5.41526e+06 
1.97007e-03 4.30395e+04  6.15397e+06 6.16580e+06 
2.09305e-03 3.85219e+04  6.94857e+06 6.95522e+06 
2.21600e-03 3.34616e+04  7.78794e+06 7.79005e+06 
2.33893e-03 3.40906e+04  8.67666e+06 8.67921e+06 
2.46186e-03 3.93453e+04  9.61234e+06 9.62016e+06 
2.58477e-03 4.09163e+04  1.05942e+07 1.06038e+07 
2.70765e-03 3.59471e+04  1.16245e+07 1.16288e+07 
2.83051e-03 3.37059e+04  1.27003e+07 1.27028e+07 
2.95336e-03 3.60302e+04  1.38252e+07 1.38297e+07 
3.07619e-03 3.99871e+04  1.49953e+07 1.50041e+07 
3.19901e-03 3.84892e+04  1.62132e+07 1.62203e+07 
3.32180e-03 3.48462e+04  1.74773e+07 1.74809e+07 
3.44457e-03 3.46135e+04  1.87885e+07 1.87918e+07 
3.56733e-03 3.76132e+04  2.01468e+07 2.01531e+07 
3.69008e-03 3.92811e+04  2.15509e+07 2.15590e+07 
3.81280e-03 3.66830e+04  2.30022e+07 2.30075e+07 
3.93550e-03 3.47120e+04  2.44992e+07 2.45027e+07 
4.05819e-03 3.58151e+04  2.60436e+07 2.60481e+07 
4.18086e-03 3.83187e+04  2.76337e+07 2.76408e+07 
4.30352e-03 3.80239e+04  2.92703e+07 2.92770e+07 
4.42615e-03 3.57067e+04  3.09529e+07 3.09574e+07 
4.54876e-03 3.51631e+04  3.26817e+07 3.26857e+07 
4.67136e-03 3.68630e+04  3.44570e+07 3.44625e+07 
4.79394e-03 3.81646e+04  3.62778e+07 3.62848e+07 
4.91651e-03 3.68774e+04  3.81448e+07 3.81504e+07 
5.03905e-03 3.54206e+04  4.00574e+07 4.00616e+07 
5.16158e-03 3.58789e+04  4.20162e+07 4.20208e+07 
5.28409e-03 3.74269e+04  4.40206e+07 4.40268e+07 
5.40658e-03 3.75315e+04  4.60706e+07 4.60769e+07 
5.52906e-03 3.61442e+04  4.81662e+07 4.81712e+07 
5.65151e-03 3.55989e+04  5.03074e+07 5.03118e+07 
5.77395e-03 3.65489e+04  5.24943e+07 5.24996e+07 
5.89637e-03 3.74570e+04  5.47264e+07 5.47326e+07 
6.01878e-03 3.68339e+04  5.70039e+07 5.70095e+07 
6.14116e-03 3.58516e+04  5.93266e+07 5.93313e+07 
6.26353e-03 3.60062e+04  6.16947e+07 6.16995e+07 
6.38588e-03 3.69485e+04  6.41080e+07 6.41137e+07 
6.50822e-03 3.71365e+04  6.65662e+07 6.65722e+07 
6.63053e-03 3.63260e+04  6.90695e+07 6.90747e+07 
6.75283e-03 3.58935e+04  7.16178e+07 7.16225e+07 
6.87511e-03 3.64208e+04  7.42111e+07 7.42163e+07 
6.99737e-03 3.70182e+04  7.68492e+07 7.68550e+07 
7.11962e-03 3.67149e+04  7.95321e+07 7.95376e+07 
7.24185e-03 3.60846e+04  8.22596e+07 8.22645e+07 
7.36406e-03 3.61159e+04  8.50319e+07 8.50368e+07 
7.48625e-03 3.66838e+04  8.78487e+07 8.78542e+07 
7.60843e-03 3.68483e+04  9.07101e+07 9.07157e+07 
7.73058e-03 3.63756e+04  9.36159e+07 9.36211e+07 
7.85272e-03 3.60698e+04  9.65661e+07 9.65710e+07 
7.97485e-03 3.63644e+04  9.95607e+07 9.95659e+07 
8.09695e-03 3.67429e+04  1.02600e+08 1.02605e+08 
8.21904e-03 3.65888e+04  1.05683e+08 1.05688e+08 
8.34111e-03 3.61946e+04  1.08810e+08 1.08815e+08 
8.46316e-03 3.61864e+04  1.11981e+08 1.11986e+08 
8.58520e-03 3.65272e+04  1.15197e+08 1.15202e+08 
8.70722e-03 3.66437e+04  1.18456e+08 1.18461e+08 
8.82922e-03 3.63639e+04  1.21759e+08 1.21764e+08 
8.95120e-03 3.61619e+04  1.25106e+08 1.25111e+08 
9.07317e-03 3.63302e+04  1.28497e+08 1.28502e+08 
9.19512e-03 3.65632e+04  1.31932e+08 1.31937e+08 
9.31705e-03 3.64777e+04  1.35410e+08 1.35415e+08 
9.43897e-03 3.62338e+04  1.38932e+08 1.38937e+08 
9.56086e-03 3.62197e+04  1.42498e+08 1.42503e+08 
9.68274e-03 3.64240e+04  1.46106e+08 1.46112e+08 
9.80461e-03 3.64966e+04  1.49759e+08 1.49764e+08 
9.92645e-03 3.63268e+04  1.53454e+08 1.53460e+08 
1.00000e-02 3.62094e+04  1.55706e+08 1.55711e+08 
