1.70207e-04 8.53367e+04  0.00000e+00 0.00000e+00 
3.40414e-04 6.93391e+05  -5.76933e+05 0.00000e+00 
5.10621e-04 2.78337e+06  -2.49157e+06 0.00000e+00 
6.80729e-04 9.11346e+06  -8.43143e+06 0.00000e+00 
8.50823e-04 2.21738e+07  -2.13889e+07 0.00000e+00 
1.02093e-03 4.43553e+07  -4.31919e+07 0.00000e+00 
1.19094e-03 8.27642e+07  -8.08807e+07 0.00000e+00 
1.36092e-03 1.41675e+08  -1.39588e+08 0.00000e+00 
1.53092e-03 2.23630e+08  -2.21019e+08 0.00000e+00 
1.70084e-03 3.41237e+08  -3.37568e+08 0.00000e+00 
1.87071e-03 5.01021e+08  -4.97006e+08 0.00000e+00 
2.04061e-03 7.03879e+08  -6.99248e+08 0.00000e+00 
2.21042e-03 9.68661e+08  -9.62640e+08 0.00000e+00 
2.38019e-03 1.30541e+09  -1.29885e+09 0.00000e+00 
2.54998e-03 1.71140e+09  -1.70418e+09 0.00000e+00 
2.71970e-03 2.21181e+09  -2.20289e+09 0.00000e+00 
2.88936e-03 2.82217e+09  -2.81247e+09 0.00000e+00 
3.05904e-03 3.53423e+09  -3.52385e+09 0.00000e+00 
3.22867e-03 4.37886e+09  -4.36649e+09 0.00000e+00 
3.39822e-03 5.37951e+09  -5.36608e+09 0.00000e+00 
3.56780e-03 6.52085e+09  -6.50674e+09 0.00000e+00 
3.73733e-03 7.83809e+09  -7.82174e+09 0.00000e+00 
3.90677e-03 9.36531e+09  -9.34758e+09 0.00000e+00 
4.07625e-03 1.10790e+10  -1.10606e+10 0.00000e+00 
4.24568e-03 1.30167e+10  -1.29959e+10 0.00000e+00 
4.41502e-03 1.52259e+10  -1.52034e+10 0.00000e+00 
4.58439e-03 1.76744e+10  -1.76512e+10 0.00000e+00 
4.75373e-03 2.03997e+10  -2.03738e+10 0.00000e+00 
4.92297e-03 2.34651e+10  -2.34371e+10 0.00000e+00 
5.09223e-03 2.68297e+10  -2.68011e+10 0.00000e+00 
5.26146e-03 3.05283e+10  -3.04969e+10 0.00000e+00 
5.43061e-03 3.46426e+10  -3.46087e+10 0.00000e+00 
5.59976e-03 3.91232e+10  -3.90886e+10 0.00000e+00 
5.76890e-03 4.39995e+10  -4.39620e+10 0.00000e+00 
5.93794e-03 4.93733e+10  -4.93330e+10 0.00000e+00 
6.10699e-03 5.51878e+10  -5.51468e+10 0.00000e+00 
6.27603e-03 6.14642e+10  -6.14202e+10 0.00000e+00 
6.44497e-03 6.83260e+10  -6.82788e+10 0.00000e+00 
6.61392e-03 7.57099e+10  -7.56620e+10 0.00000e+00 
6.78286e-03 8.36265e+10  -8.35754e+10 0.00000e+00 
6.95170e-03 9.22223e+10  -9.21676e+10 0.00000e+00 
7.12054e-03 1.01428e+11  -1.01373e+11 0.00000e+00 
7.28939e-03 1.11243e+11  -1.11184e+11 0.00000e+00 
7.45813e-03 1.21835e+11  -1.21773e+11 0.00000e+00 
7.62687e-03 1.33133e+11  -1.33070e+11 0.00000e+00 
7.79561e-03 1.45120e+11  -1.45053e+11 0.00000e+00 
7.96426e-03 1.57989e+11  -1.57918e+11 0.00000e+00 
8.13289e-03 1.71665e+11  -1.71594e+11 0.00000e+00 
8.30154e-03 1.86114e+11  -1.86039e+11 0.00000e+00 
8.47009e-03 2.01558e+11  -2.01478e+11 0.00000e+00 
8.63862e-03 2.17914e+11  -2.17833e+11 0.00000e+00 
8.80716e-03 2.35133e+11  -2.35049e+11 0.00000e+00 
8.97561e-03 2.53463e+11  -2.53374e+11 0.00000e+00 
9.14404e-03 2.72818e+11  -2.72728e+11 0.00000e+00 
9.31249e-03 2.93130e+11  -2.93036e+11 0.00000e+00 
9.48084e-03 3.14674e+11  -3.14575e+11 0.00000e+00 
9.64917e-03 3.37361e+11  -3.37261e+11 0.00000e+00 
9.81752e-03 3.61105e+11  -3.61001e+11 0.00000e+00 
9.98578e-03 3.86209e+11  -3.86099e+11 0.00000e+00 
