2.72331e-05 1.62551e+02  2.13436e-09 0.00000e+00 
5.44663e-05 2.24436e+03  -1.76467e+03 0.00000e+00 
8.16994e-05 9.81516e+03  -8.92421e+03 0.00000e+00 
1.08932e-04 2.72743e+04  -2.59533e+04 0.00000e+00 
1.36165e-04 5.88341e+04  -5.71255e+04 0.00000e+00 
1.63397e-04 1.07729e+05  -1.05708e+05 0.00000e+00 
1.90629e-04 1.75870e+05  -1.73613e+05 0.00000e+00 
2.17860e-04 2.64027e+05  -2.61579e+05 0.00000e+00 
2.45089e-04 3.72466e+05  -3.69824e+05 0.00000e+00 
2.72317e-04 5.01858e+05  -4.98964e+05 0.00000e+00 
2.99544e-04 6.54216e+05  -6.50973e+05 0.00000e+00 
3.26769e-04 8.33634e+05  -8.29923e+05 0.00000e+00 
3.53992e-04 1.04666e+06  -1.04236e+06 0.00000e+00 
3.81214e-04 1.30228e+06  -1.29729e+06 0.00000e+00 
4.08434e-04 1.61150e+06  -1.60575e+06 0.00000e+00 
4.35653e-04 1.98687e+06  -1.98030e+06 0.00000e+00 
4.62870e-04 2.44184e+06  -2.43442e+06 0.00000e+00 
4.90086e-04 2.99043e+06  -2.98210e+06 0.00000e+00 
5.17301e-04 3.64696e+06  -3.63764e+06 0.00000e+00 
5.44515e-04 4.42616e+06  -4.41576e+06 0.00000e+00 
5.71729e-04 5.34334e+06  -5.33172e+06 0.00000e+00 
5.98943e-04 6.41457e+06  -6.40157e+06 0.00000e+00 
6.26156e-04 7.65671e+06  -7.64219e+06 0.00000e+00 
6.53368e-04 9.08725e+06  -9.07109e+06 0.00000e+00 
6.80581e-04 1.07238e+07  -1.07060e+07 0.00000e+00 
7.07793e-04 1.25837e+07  -1.25641e+07 0.00000e+00 
7.35006e-04 1.46830e+07  -1.46618e+07 0.00000e+00 
7.62217e-04 1.70363e+07  -1.70134e+07 0.00000e+00 
7.89428e-04 1.96563e+07  -1.96319e+07 0.00000e+00 
8.16639e-04 2.25541e+07  -2.25284e+07 0.00000e+00 
8.43848e-04 2.57400e+07  -2.57129e+07 0.00000e+00 
8.71056e-04 2.92239e+07  -2.91956e+07 0.00000e+00 
8.98263e-04 3.30170e+07  -3.29874e+07 0.00000e+00 
9.25469e-04 3.71326e+07  -3.71016e+07 0.00000e+00 
9.52674e-04 4.15870e+07  -4.15546e+07 0.00000e+00 
9.79876e-04 4.64003e+07  -4.63664e+07 0.00000e+00 
1.00708e-03 5.15965e+07  -5.15609e+07 0.00000e+00 
1.03428e-03 5.72033e+07  -5.71658e+07 0.00000e+00 
1.06148e-03 6.32517e+07  -6.32122e+07 0.00000e+00 
1.08867e-03 6.97753e+07  -6.97338e+07 0.00000e+00 
1.11587e-03 7.68097e+07  -7.67659e+07 0.00000e+00 
1.14307e-03 8.43915e+07  -8.43454e+07 0.00000e+00 
1.17026e-03 9.25578e+07  -9.25092e+07 0.00000e+00 
1.19745e-03 1.01345e+08  -1.01294e+08 0.00000e+00 
1.22465e-03 1.10790e+08  -1.10736e+08 0.00000e+00 
1.25184e-03 1.20927e+08  -1.20870e+08 0.00000e+00 
1.27903e-03 1.31787e+08  -1.31728e+08 0.00000e+00 
1.30623e-03 1.43402e+08  -1.43339e+08 0.00000e+00 
1.33342e-03 1.55798e+08  -1.55732e+08 0.00000e+00 
1.36061e-03 1.68999e+08  -1.68931e+08 0.00000e+00 
1.38780e-03 1.83027e+08  -1.82956e+08 0.00000e+00 
1.41499e-03 1.97900e+08  -1.97826e+08 0.00000e+00 
1.44218e-03 2.13636e+08  -2.13559e+08 0.00000e+00 
1.46937e-03 2.30252e+08  -2.30173e+08 0.00000e+00 
1.49656e-03 2.47766e+08  -2.47685e+08 0.00000e+00 
1.52374e-03 2.66201e+08  -2.66117e+08 0.00000e+00 
1.55093e-03 2.85580e+08  -2.85493e+08 0.00000e+00 
1.57811e-03 3.05933e+08  -3.05844e+08 0.00000e+00 
1.60529e-03 3.27298e+08  -3.27206e+08 0.00000e+00 
1.63247e-03 3.49713e+08  -3.49619e+08 0.00000e+00 
1.65965e-03 3.73228e+08  -3.73130e+08 0.00000e+00 
1.68683e-03 3.97892e+08  -3.97791e+08 0.00000e+00 
1.71401e-03 4.23762e+08  -4.23658e+08 0.00000e+00 
1.74119e-03 4.50894e+08  -4.50787e+08 0.00000e+00 
1.76836e-03 4.79348e+08  -4.79237e+08 0.00000e+00 
1.79554e-03 5.09181e+08  -5.09066e+08 0.00000e+00 
1.82271e-03 5.40450e+08  -5.40332e+08 0.00000e+00 
1.84989e-03 5.73210e+08  -5.73087e+08 0.00000e+00 
1.87706e-03 6.07509e+08  -6.07383e+08 0.00000e+00 
1.90423e-03 6.43394e+08  -6.43263e+08 0.00000e+00 
1.93140e-03 6.80906e+08  -6.80770e+08 0.00000e+00 
1.95857e-03 7.20079e+08  -7.19940e+08 0.00000e+00 
1.98574e-03 7.60945e+08  -7.60802e+08 0.00000e+00 
2.01291e-03 8.03533e+08  -8.03386e+08 0.00000e+00 
2.04008e-03 8.47867e+08  -8.47716e+08 0.00000e+00 
2.06725e-03 8.93971e+08  -8.93816e+08 0.00000e+00 
2.09442e-03 9.41871e+08  -9.41712e+08 0.00000e+00 
2.12159e-03 9.91593e+08  -9.91432e+08 0.00000e+00 
2.14875e-03 1.04317e+09  -1.04301e+09 0.00000e+00 
2.17592e-03 1.09664e+09  -1.09647e+09 0.00000e+00 
2.20308e-03 1.15205e+09  -1.15188e+09 0.00000e+00 
2.23024e-03 1.20945e+09  -1.20927e+09 0.00000e+00 
2.25740e-03 1.26889e+09  -1.26871e+09 0.00000e+00 
2.28456e-03 1.33045e+09  -1.33027e+09 0.00000e+00 
2.31172e-03 1.39420e+09  -1.39401e+09 0.00000e+00 
2.33888e-03 1.46020e+09  -1.46001e+09 0.00000e+00 
2.36604e-03 1.52855e+09  -1.52835e+09 0.00000e+00 
2.39319e-03 1.59931e+09  -1.59911e+09 0.00000e+00 
2.42035e-03 1.67256e+09  -1.67236e+09 0.00000e+00 
2.44750e-03 1.74839e+09  -1.74817e+09 0.00000e+00 
2.47466e-03 1.82685e+09  -1.82663e+09 0.00000e+00 
2.50181e-03 1.90801e+09  -1.90779e+09 0.00000e+00 
2.52896e-03 1.99193e+09  -1.99170e+09 0.00000e+00 
2.55611e-03 2.07866e+09  -2.07843e+09 0.00000e+00 
2.58326e-03 2.16824e+09  -2.16801e+09 0.00000e+00 
2.61041e-03 2.26072e+09  -2.26048e+09 0.00000e+00 
2.63756e-03 2.35613e+09  -2.35588e+09 0.00000e+00 
2.66471e-03 2.45450e+09  -2.45424e+09 0.00000e+00 
2.69186e-03 2.55586e+09  -2.55560e+09 0.00000e+00 
2.71901e-03 2.66025e+09  -2.65999e+09 0.00000e+00 
2.74615e-03 2.76771e+09  -2.76744e+09 0.00000e+00 
2.77330e-03 2.87828e+09  -2.87801e+09 0.00000e+00 
2.80044e-03 2.99202e+09  -2.99174e+09 0.00000e+00 
2.82759e-03 3.10898e+09  -3.10870e+09 0.00000e+00 
2.85473e-03 3.22923e+09  -3.22894e+09 0.00000e+00 
2.88187e-03 3.35284e+09  -3.35255e+09 0.00000e+00 
2.90901e-03 3.47991e+09  -3.47961e+09 0.00000e+00 
2.93615e-03 3.61052e+09  -3.61021e+09 0.00000e+00 
2.96329e-03 3.74476e+09  -3.74445e+09 0.00000e+00 
2.99042e-03 3.88272e+09  -3.88241e+09 0.00000e+00 
3.01756e-03 4.02452e+09  -4.02420e+09 0.00000e+00 
3.04469e-03 4.17023e+09  -4.16990e+09 0.00000e+00 
3.07183e-03 4.31994e+09  -4.31961e+09 0.00000e+00 
3.09896e-03 4.47375e+09  -4.47341e+09 0.00000e+00 
3.12609e-03 4.63172e+09  -4.63137e+09 0.00000e+00 
3.15323e-03 4.79393e+09  -4.79357e+09 0.00000e+00 
3.18036e-03 4.96043e+09  -4.96007e+09 0.00000e+00 
3.20749e-03 5.13127e+09  -5.13091e+09 0.00000e+00 
3.23462e-03 5.30652e+09  -5.30615e+09 0.00000e+00 
3.26175e-03 5.48621e+09  -5.48583e+09 0.00000e+00 
3.28888e-03 5.67039e+09  -5.67000e+09 0.00000e+00 
3.31601e-03 5.85909e+09  -5.85870e+09 0.00000e+00 
3.34313e-03 6.05237e+09  -6.05197e+09 0.00000e+00 
3.37026e-03 6.25027e+09  -6.24987e+09 0.00000e+00 
3.39738e-03 6.45286e+09  -6.45245e+09 0.00000e+00 
3.42451e-03 6.66020e+09  -6.65979e+09 0.00000e+00 
3.45163e-03 6.87236e+09  -6.87194e+09 0.00000e+00 
3.47875e-03 7.08943e+09  -7.08900e+09 0.00000e+00 
3.50587e-03 7.31150e+09  -7.31107e+09 0.00000e+00 
3.53299e-03 7.53867e+09  -7.53823e+09 0.00000e+00 
3.56011e-03 7.77104e+09  -7.77060e+09 0.00000e+00 
3.58723e-03 8.00873e+09  -8.00828e+09 0.00000e+00 
3.61435e-03 8.25184e+09  -8.25138e+09 0.00000e+00 
3.64146e-03 8.50049e+09  -8.50003e+09 0.00000e+00 
3.66858e-03 8.75478e+09  -8.75431e+09 0.00000e+00 
3.69569e-03 9.01481e+09  -9.01433e+09 0.00000e+00 
3.72281e-03 9.28068e+09  -9.28019e+09 0.00000e+00 
3.74992e-03 9.55248e+09  -9.55198e+09 0.00000e+00 
3.77703e-03 9.83028e+09  -9.82977e+09 0.00000e+00 
3.80414e-03 1.01142e+10  -1.01136e+10 0.00000e+00 
3.83125e-03 1.04042e+10  -1.04036e+10 0.00000e+00 
3.85836e-03 1.07004e+10  -1.06999e+10 0.00000e+00 
3.88547e-03 1.10029e+10  -1.10023e+10 0.00000e+00 
3.91258e-03 1.13116e+10  -1.13111e+10 0.00000e+00 
3.93969e-03 1.16268e+10  -1.16262e+10 0.00000e+00 
3.96679e-03 1.19483e+10  -1.19478e+10 0.00000e+00 
3.99390e-03 1.22764e+10  -1.22758e+10 0.00000e+00 
4.02100e-03 1.26110e+10  -1.26105e+10 0.00000e+00 
4.04811e-03 1.29523e+10  -1.29517e+10 0.00000e+00 
4.07521e-03 1.33003e+10  -1.32997e+10 0.00000e+00 
4.10231e-03 1.36551e+10  -1.36545e+10 0.00000e+00 
4.12941e-03 1.40169e+10  -1.40163e+10 0.00000e+00 
4.15651e-03 1.43857e+10  -1.43851e+10 0.00000e+00 
4.18361e-03 1.47617e+10  -1.47611e+10 0.00000e+00 
4.21071e-03 1.51450e+10  -1.51444e+10 0.00000e+00 
4.23781e-03 1.55357e+10  -1.55351e+10 0.00000e+00 
4.26490e-03 1.59339e+10  -1.59333e+10 0.00000e+00 
4.29200e-03 1.63399e+10  -1.63392e+10 0.00000e+00 
4.31909e-03 1.67535e+10  -1.67529e+10 0.00000e+00 
4.34619e-03 1.71751e+10  -1.71744e+10 0.00000e+00 
4.37328e-03 1.76046e+10  -1.76039e+10 0.00000e+00 
4.40037e-03 1.80422e+10  -1.80415e+10 0.00000e+00 
4.42746e-03 1.84879e+10  -1.84872e+10 0.00000e+00 
4.45455e-03 1.89419e+10  -1.89412e+10 0.00000e+00 
4.48164e-03 1.94041e+10  -1.94034e+10 0.00000e+00 
4.50873e-03 1.98747e+10  -1.98740e+10 0.00000e+00 
4.53582e-03 2.03538e+10  -2.03531e+10 0.00000e+00 
4.56291e-03 2.08413e+10  -2.08406e+10 0.00000e+00 
4.59000e-03 2.13374e+10  -2.13367e+10 0.00000e+00 
4.61708e-03 2.18422e+10  -2.18415e+10 0.00000e+00 
4.64417e-03 2.23557e+10  -2.23549e+10 0.00000e+00 
