2.72331e-05 1.03178e+02  1.81454e-09 0.00000e+00 
5.44663e-05 1.61219e+03  -1.21865e+03 0.00000e+00 
8.16994e-05 7.84818e+03  -7.02973e+03 0.00000e+00 
1.08932e-04 2.34982e+04  -2.21927e+04 0.00000e+00 
1.36165e-04 5.35900e+04  -5.18090e+04 0.00000e+00 
1.63398e-04 1.02484e+05  -1.00295e+05 0.00000e+00 
1.90630e-04 1.73159e+05  -1.70655e+05 0.00000e+00 
2.17861e-04 2.67005e+05  -2.64270e+05 0.00000e+00 
2.45091e-04 3.84167e+05  -3.81244e+05 0.00000e+00 
2.72320e-04 5.24375e+05  -5.21247e+05 0.00000e+00 
2.99547e-04 6.88028e+05  -6.84623e+05 0.00000e+00 
3.26772e-04 8.77271e+05  -8.73471e+05 0.00000e+00 
3.53996e-04 1.09680e+06  -1.09246e+06 0.00000e+00 
3.81218e-04 1.35418e+06  -1.34920e+06 0.00000e+00 
4.08439e-04 1.65978e+06  -1.65404e+06 0.00000e+00 
4.35657e-04 2.02614e+06  -2.01958e+06 0.00000e+00 
4.62874e-04 2.46730e+06  -2.45989e+06 0.00000e+00 
4.90090e-04 2.99807e+06  -2.98980e+06 0.00000e+00 
5.17305e-04 3.63363e+06  -3.62445e+06 0.00000e+00 
5.44519e-04 4.38935e+06  -4.37918e+06 0.00000e+00 
5.71732e-04 5.28110e+06  -5.26979e+06 0.00000e+00 
5.98945e-04 6.32560e+06  -6.31297e+06 0.00000e+00 
6.26158e-04 7.54081e+06  -7.52665e+06 0.00000e+00 
6.53370e-04 8.94605e+06  -8.93014e+06 0.00000e+00 
6.80583e-04 1.05616e+07  -1.05438e+07 0.00000e+00 
7.07795e-04 1.24081e+07  -1.23883e+07 0.00000e+00 
7.35008e-04 1.45050e+07  -1.44832e+07 0.00000e+00 
7.62220e-04 1.68699e+07  -1.68462e+07 0.00000e+00 
7.89432e-04 1.95170e+07  -1.94916e+07 0.00000e+00 
8.16644e-04 2.24570e+07  -2.24301e+07 0.00000e+00 
8.43854e-04 2.56970e+07  -2.56689e+07 0.00000e+00 
8.71064e-04 2.92418e+07  -2.92125e+07 0.00000e+00 
8.98272e-04 3.30953e+07  -3.30649e+07 0.00000e+00 
9.25479e-04 3.72625e+07  -3.72310e+07 0.00000e+00 
9.52685e-04 4.17518e+07  -4.17191e+07 0.00000e+00 
9.79888e-04 4.65764e+07  -4.65425e+07 0.00000e+00 
1.00709e-03 5.17558e+07  -5.17203e+07 0.00000e+00 
1.03429e-03 5.73153e+07  -5.72782e+07 0.00000e+00 
1.06149e-03 6.32868e+07  -6.32479e+07 0.00000e+00 
1.08869e-03 6.97070e+07  -6.96661e+07 0.00000e+00 
1.11588e-03 7.66165e+07  -7.65735e+07 0.00000e+00 
1.14307e-03 8.40586e+07  -8.40135e+07 0.00000e+00 
1.17027e-03 9.20784e+07  -9.20308e+07 0.00000e+00 
1.19746e-03 1.00721e+08  -1.00671e+08 0.00000e+00 
1.22465e-03 1.10032e+08  -1.09979e+08 0.00000e+00 
1.25185e-03 1.20055e+08  -1.19998e+08 0.00000e+00 
1.27904e-03 1.30831e+08  -1.30772e+08 0.00000e+00 
1.30623e-03 1.42401e+08  -1.42338e+08 0.00000e+00 
1.33342e-03 1.54798e+08  -1.54731e+08 0.00000e+00 
1.36061e-03 1.68050e+08  -1.67980e+08 0.00000e+00 
1.38781e-03 1.82180e+08  -1.82106e+08 0.00000e+00 
1.41500e-03 1.97201e+08  -1.97124e+08 0.00000e+00 
1.44219e-03 2.13121e+08  -2.13042e+08 0.00000e+00 
1.46938e-03 2.29942e+08  -2.29860e+08 0.00000e+00 
1.49657e-03 2.47663e+08  -2.47579e+08 0.00000e+00 
1.52376e-03 2.66283e+08  -2.66198e+08 0.00000e+00 
1.55094e-03 2.85805e+08  -2.85718e+08 0.00000e+00 
1.57813e-03 3.06239e+08  -3.06150e+08 0.00000e+00 
1.60531e-03 3.27606e+08  -3.27514e+08 0.00000e+00 
1.63249e-03 3.49937e+08  -3.49843e+08 0.00000e+00 
1.65967e-03 3.73276e+08  -3.73180e+08 0.00000e+00 
1.68685e-03 3.97683e+08  -3.97584e+08 0.00000e+00 
1.71403e-03 4.23223e+08  -4.23121e+08 0.00000e+00 
1.74120e-03 4.49973e+08  -4.49868e+08 0.00000e+00 
1.76838e-03 4.78015e+08  -4.77907e+08 0.00000e+00 
1.79555e-03 5.07434e+08  -5.07321e+08 0.00000e+00 
1.82272e-03 5.38312e+08  -5.38196e+08 0.00000e+00 
1.84989e-03 5.70733e+08  -5.70612e+08 0.00000e+00 
1.87707e-03 6.04770e+08  -6.04644e+08 0.00000e+00 
1.90424e-03 6.40491e+08  -6.40360e+08 0.00000e+00 
1.93141e-03 6.77954e+08  -6.77818e+08 0.00000e+00 
1.95858e-03 7.17203e+08  -7.17061e+08 0.00000e+00 
1.98575e-03 7.58269e+08  -7.58123e+08 0.00000e+00 
2.01292e-03 8.01172e+08  -8.01021e+08 0.00000e+00 
2.04010e-03 8.45914e+08  -8.45759e+08 0.00000e+00 
2.06727e-03 8.92490e+08  -8.92331e+08 0.00000e+00 
2.09444e-03 9.40884e+08  -9.40722e+08 0.00000e+00 
2.12161e-03 9.91081e+08  -9.90915e+08 0.00000e+00 
2.14877e-03 1.04306e+09  -1.04290e+09 0.00000e+00 
2.17594e-03 1.09683e+09  -1.09666e+09 0.00000e+00 
2.20311e-03 1.15238e+09  -1.15220e+09 0.00000e+00 
2.23027e-03 1.20974e+09  -1.20956e+09 0.00000e+00 
2.25743e-03 1.26896e+09  -1.26878e+09 0.00000e+00 
2.28459e-03 1.33011e+09  -1.32992e+09 0.00000e+00 
2.31175e-03 1.39327e+09  -1.39308e+09 0.00000e+00 
2.33890e-03 1.45855e+09  -1.45836e+09 0.00000e+00 
2.36606e-03 1.52608e+09  -1.52588e+09 0.00000e+00 
2.39321e-03 1.59598e+09  -1.59578e+09 0.00000e+00 
2.42037e-03 1.66839e+09  -1.66818e+09 0.00000e+00 
2.44752e-03 1.74344e+09  -1.74323e+09 0.00000e+00 
2.47467e-03 1.82125e+09  -1.82104e+09 0.00000e+00 
