2.72331e-05 1.04248e+00  -2.80830e-21 0.00000e+00 
5.44663e-05 1.40234e+01  -1.11168e+01 0.00000e+00 
8.16994e-05 6.02948e+01  -5.49095e+01 0.00000e+00 
1.08932e-04 1.67228e+02  -1.59063e+02 0.00000e+00 
1.36166e-04 3.64060e+02  -3.53074e+02 0.00000e+00 
1.63399e-04 6.78561e+02  -6.64874e+02 0.00000e+00 
1.90632e-04 1.13537e+03  -1.11914e+03 0.00000e+00 
2.17864e-04 1.75626e+03  -1.73759e+03 0.00000e+00 
2.45097e-04 2.56221e+03  -2.54103e+03 0.00000e+00 
2.72330e-04 3.57658e+03  -3.55266e+03 0.00000e+00 
2.99562e-04 4.82869e+03  -4.80162e+03 0.00000e+00 
3.26795e-04 6.35708e+03  -6.32632e+03 0.00000e+00 
3.54027e-04 8.21176e+03  -8.17671e+03 0.00000e+00 
3.81259e-04 1.04555e+04  -1.04155e+04 0.00000e+00 
4.08491e-04 1.31638e+04  -1.31181e+04 0.00000e+00 
4.35722e-04 1.64245e+04  -1.63725e+04 0.00000e+00 
4.62954e-04 2.03369e+04  -2.02778e+04 0.00000e+00 
4.90185e-04 2.50108e+04  -2.49437e+04 0.00000e+00 
5.17417e-04 3.05657e+04  -3.04897e+04 0.00000e+00 
5.44648e-04 3.71305e+04  -3.70445e+04 0.00000e+00 
5.71879e-04 4.48418e+04  -4.47447e+04 0.00000e+00 
5.99110e-04 5.38432e+04  -5.37340e+04 0.00000e+00 
6.26341e-04 6.42822e+04  -6.41601e+04 0.00000e+00 
6.53572e-04 7.63079e+04  -7.61721e+04 0.00000e+00 
6.80803e-04 9.00662e+04  -8.99165e+04 0.00000e+00 
7.08034e-04 1.05697e+05  -1.05533e+05 0.00000e+00 
7.35265e-04 1.23330e+05  -1.23153e+05 0.00000e+00 
7.62496e-04 1.43085e+05  -1.42894e+05 0.00000e+00 
7.89727e-04 1.65068e+05  -1.64865e+05 0.00000e+00 
8.16958e-04 1.89379e+05  -1.89164e+05 0.00000e+00 
8.44189e-04 2.16110e+05  -2.15884e+05 0.00000e+00 
8.71420e-04 2.45359e+05  -2.45121e+05 0.00000e+00 
8.98650e-04 2.77229e+05  -2.76980e+05 0.00000e+00 
9.25881e-04 3.11840e+05  -3.11579e+05 0.00000e+00 
9.53111e-04 3.49334e+05  -3.49061e+05 0.00000e+00 
9.80341e-04 3.89878e+05  -3.89593e+05 0.00000e+00 
1.00757e-03 4.33670e+05  -4.33371e+05 0.00000e+00 
1.03480e-03 4.80937e+05  -4.80623e+05 0.00000e+00 
1.06203e-03 5.31932e+05  -5.31601e+05 0.00000e+00 
1.08926e-03 5.86934e+05  -5.86585e+05 0.00000e+00 
1.11649e-03 6.46240e+05  -6.45872e+05 0.00000e+00 
1.14372e-03 7.10160e+05  -7.09772e+05 0.00000e+00 
1.17095e-03 7.79012e+05  -7.78602e+05 0.00000e+00 
1.19818e-03 8.53113e+05  -8.52680e+05 0.00000e+00 
1.22541e-03 9.32771e+05  -9.32315e+05 0.00000e+00 
1.25264e-03 1.01828e+06  -1.01780e+06 0.00000e+00 
1.27986e-03 1.10993e+06  -1.10942e+06 0.00000e+00 
1.30709e-03 1.20795e+06  -1.20742e+06 0.00000e+00 
1.33432e-03 1.31259e+06  -1.31204e+06 0.00000e+00 
1.36155e-03 1.42405e+06  -1.42347e+06 0.00000e+00 
1.38878e-03 1.54250e+06  -1.54189e+06 0.00000e+00 
1.41601e-03 1.66811e+06  -1.66748e+06 0.00000e+00 
1.44324e-03 1.80103e+06  -1.80038e+06 0.00000e+00 
1.47047e-03 1.94141e+06  -1.94074e+06 0.00000e+00 
1.49769e-03 2.08943e+06  -2.08874e+06 0.00000e+00 
