2.72331e-05 4.06589e+03  1.06780e-08 0.00000e+00 
5.44663e-05 5.38973e+04  -4.29114e+04 0.00000e+00 
8.16994e-05 2.22100e+05  -2.03899e+05 0.00000e+00 
1.08931e-04 5.75159e+05  -5.51399e+05 0.00000e+00 
1.36161e-04 1.15044e+06  -1.12304e+06 0.00000e+00 
1.63386e-04 1.95805e+06  -1.92770e+06 0.00000e+00 
1.90606e-04 3.00499e+06  -2.97050e+06 0.00000e+00 
2.17818e-04 4.32742e+06  -4.28618e+06 0.00000e+00 
2.45022e-04 6.01474e+06  -5.96374e+06 0.00000e+00 
2.72218e-04 8.21518e+06  -8.15200e+06 0.00000e+00 
2.99406e-04 1.11242e+07  -1.10473e+07 0.00000e+00 
3.26586e-04 1.49658e+07  -1.48740e+07 0.00000e+00 
3.53761e-04 1.99771e+07  -1.98690e+07 0.00000e+00 
3.80931e-04 2.64033e+07  -2.62767e+07 0.00000e+00 
4.08098e-04 3.45012e+07  -3.43528e+07 0.00000e+00 
4.35262e-04 4.45429e+07  -4.43694e+07 0.00000e+00 
4.62425e-04 5.68136e+07  -5.66126e+07 0.00000e+00 
4.89587e-04 7.15991e+07  -7.13699e+07 0.00000e+00 
5.16747e-04 8.91679e+07  -8.89113e+07 0.00000e+00 
5.43905e-04 1.09757e+08  -1.09475e+08 0.00000e+00 
5.71060e-04 1.33568e+08  -1.33263e+08 0.00000e+00 
5.98211e-04 1.60788e+08  -1.60461e+08 0.00000e+00 
6.25356e-04 1.91612e+08  -1.91262e+08 0.00000e+00 
6.52496e-04 2.26277e+08  -2.25903e+08 0.00000e+00 
6.79629e-04 2.65090e+08  -2.64690e+08 0.00000e+00 
7.06754e-04 3.08439e+08  -3.08010e+08 0.00000e+00 
7.33874e-04 3.56791e+08  -3.56329e+08 0.00000e+00 
7.60987e-04 4.10672e+08  -4.10176e+08 0.00000e+00 
7.88094e-04 4.70651e+08  -4.70116e+08 0.00000e+00 
8.15197e-04 5.37311e+08  -5.36735e+08 0.00000e+00 
8.42297e-04 6.11233e+08  -6.10612e+08 0.00000e+00 
8.69393e-04 6.92973e+08  -6.92307e+08 0.00000e+00 
8.96487e-04 7.83050e+08  -7.82336e+08 0.00000e+00 
9.23579e-04 8.81929e+08  -8.81167e+08 0.00000e+00 
9.50668e-04 9.90019e+08  -9.89212e+08 0.00000e+00 
9.77754e-04 1.10768e+09  -1.10683e+09 0.00000e+00 
1.00484e-03 1.23524e+09  -1.23435e+09 0.00000e+00 
1.03192e-03 1.37304e+09  -1.37210e+09 0.00000e+00 
1.05899e-03 1.52143e+09  -1.52045e+09 0.00000e+00 
1.08606e-03 1.68086e+09  -1.67984e+09 0.00000e+00 
1.11312e-03 1.85187e+09  -1.85081e+09 0.00000e+00 
1.14018e-03 2.03511e+09  -2.03400e+09 0.00000e+00 
1.16723e-03 2.23132e+09  -2.23016e+09 0.00000e+00 
1.19427e-03 2.44132e+09  -2.44010e+09 0.00000e+00 
1.22131e-03 2.66597e+09  -2.66470e+09 0.00000e+00 
1.24835e-03 2.90615e+09  -2.90482e+09 0.00000e+00 
1.27538e-03 3.16270e+09  -3.16130e+09 0.00000e+00 
1.30241e-03 3.43640e+09  -3.43494e+09 0.00000e+00 
1.32943e-03 3.72796e+09  -3.72643e+09 0.00000e+00 
1.35646e-03 4.03799e+09  -4.03641e+09 0.00000e+00 
1.38348e-03 4.36706e+09  -4.36541e+09 0.00000e+00 
1.41049e-03 4.71564e+09  -4.71393e+09 0.00000e+00 
1.43750e-03 5.08421e+09  -5.08244e+09 0.00000e+00 
1.46451e-03 5.47326e+09  -5.47143e+09 0.00000e+00 
1.49152e-03 5.88334e+09  -5.88144e+09 0.00000e+00 
1.51851e-03 6.31509e+09  -6.31314e+09 0.00000e+00 
1.54551e-03 6.76930e+09  -6.76729e+09 0.00000e+00 
1.57250e-03 7.24685e+09  -7.24477e+09 0.00000e+00 
1.59948e-03 7.74873e+09  -7.74658e+09 0.00000e+00 
1.62646e-03 8.27601e+09  -8.27379e+09 0.00000e+00 
1.65343e-03 8.82980e+09  -8.82751e+09 0.00000e+00 
1.68040e-03 9.41119e+09  -9.40882e+09 0.00000e+00 
1.70736e-03 1.00212e+10  -1.00188e+10 0.00000e+00 
1.73432e-03 1.06609e+10  -1.06583e+10 0.00000e+00 
1.76128e-03 1.13310e+10  -1.13284e+10 0.00000e+00 
1.78824e-03 1.20323e+10  -1.20296e+10 0.00000e+00 
1.81519e-03 1.27656e+10  -1.27628e+10 0.00000e+00 
1.84213e-03 1.35315e+10  -1.35286e+10 0.00000e+00 
1.86908e-03 1.43305e+10  -1.43276e+10 0.00000e+00 
1.89602e-03 1.51635e+10  -1.51605e+10 0.00000e+00 
1.92295e-03 1.60310e+10  -1.60280e+10 0.00000e+00 
1.94988e-03 1.69341e+10  -1.69310e+10 0.00000e+00 
1.97680e-03 1.78737e+10  -1.78705e+10 0.00000e+00 
2.00372e-03 1.88509e+10  -1.88475e+10 0.00000e+00 
2.03064e-03 1.98668e+10  -1.98634e+10 0.00000e+00 
2.05755e-03 2.09228e+10  -2.09194e+10 0.00000e+00 
2.08446e-03 2.20202e+10  -2.20167e+10 0.00000e+00 
2.11136e-03 2.31602e+10  -2.31566e+10 0.00000e+00 
2.13826e-03 2.43441e+10  -2.43403e+10 0.00000e+00 
2.16515e-03 2.55728e+10  -2.55689e+10 0.00000e+00 
2.19204e-03 2.68475e+10  -2.68435e+10 0.00000e+00 
2.21893e-03 2.81689e+10  -2.81649e+10 0.00000e+00 
2.24581e-03 2.95381e+10  -2.95340e+10 0.00000e+00 
2.27269e-03 3.09558e+10  -3.09516e+10 0.00000e+00 
2.29957e-03 3.24228e+10  -3.24184e+10 0.00000e+00 
2.32644e-03 3.39399e+10  -3.39355e+10 0.00000e+00 
2.35330e-03 3.55082e+10  -3.55037e+10 0.00000e+00 
2.38017e-03 3.71288e+10  -3.71241e+10 0.00000e+00 
2.40702e-03 3.88027e+10  -3.87980e+10 0.00000e+00 
2.43388e-03 4.05313e+10  -4.05265e+10 0.00000e+00 
2.46073e-03 4.23161e+10  -4.23112e+10 0.00000e+00 
