2.61133e-05 3.12171e+04  2.18061e+03 2.18061e+03 
5.22267e-05 3.14111e+04  8.02855e+03 8.20034e+03 
7.83400e-05 3.20251e+04  1.66637e+04 1.74259e+04 
1.04453e-04 3.32853e+04  2.76082e+04 2.96123e+04 
1.30566e-04 3.53139e+04  4.04821e+04 4.45064e+04 
1.56679e-04 3.80667e+04  5.50956e+04 6.18765e+04 
1.82791e-04 4.13150e+04  7.14891e+04 8.15328e+04 
2.08902e-04 4.46785e+04  8.99102e+04 1.03339e+05 
2.35012e-04 4.76982e+04  1.10739e+05 1.27209e+05 
2.61121e-04 4.99329e+04  1.34382e+05 1.53105e+05 
2.87229e-04 5.10521e+04  1.61168e+05 1.81020e+05 
3.13335e-04 5.09051e+04  1.91264e+05 2.10967e+05 
3.39440e-04 4.95471e+04  2.24644e+05 2.42979e+05 
3.65543e-04 4.72203e+04  2.61107e+05 2.77099e+05 
3.91645e-04 4.42950e+04  3.00339e+05 3.13388e+05 
4.17745e-04 4.11876e+04  3.42003e+05 3.51931e+05 
4.43844e-04 3.82764e+04  3.85830e+05 3.92841e+05 
4.69942e-04 3.58352e+04  4.31686e+05 4.36258e+05 
4.96038e-04 3.39990e+04  4.79600e+05 4.82346e+05 
5.22134e-04 3.27676e+04  5.29750e+05 5.31280e+05 
5.48229e-04 3.20405e+04  5.82406e+05 5.83226e+05 
5.74324e-04 3.16730e+04  6.37857e+05 6.38322e+05 
6.00418e-04 3.15335e+04  6.96329e+05 6.96661e+05 
6.26512e-04 3.15488e+04  7.57930e+05 7.58278e+05 
6.52606e-04 3.17226e+04  8.22628e+05 8.23142e+05 
6.78700e-04 3.21264e+04  8.90259e+05 8.91164e+05 
7.04793e-04 3.28652e+04  9.60579e+05 9.62210e+05 
7.30887e-04 3.40300e+04  1.03333e+06 1.03611e+06 
7.56979e-04 3.56518e+04  1.10830e+06 1.11270e+06 
7.83072e-04 3.76701e+04  1.18539e+06 1.19182e+06 
8.09163e-04 3.99255e+04  1.26462e+06 1.27331e+06 
8.35254e-04 4.21799e+04  1.34612e+06 1.35708e+06 
8.61344e-04 4.41580e+04  1.43010e+06 1.44304e+06 
8.87433e-04 4.56005e+04  1.51677e+06 1.53117e+06 
9.13520e-04 4.63165e+04  1.60631e+06 1.62143e+06 
9.39607e-04 4.62202e+04  1.69882e+06 1.71384e+06 
9.65692e-04 4.53461e+04  1.79428e+06 1.80841e+06 
9.91775e-04 4.38377e+04  1.89257e+06 1.90520e+06 
1.01786e-03 4.19145e+04  1.99355e+06 2.00424e+06 
1.04394e-03 3.98269e+04  2.09702e+06 2.10561e+06 
1.07002e-03 3.78078e+04  2.20284e+06 2.20942e+06 
1.09610e-03 3.60360e+04  2.31095e+06 2.31575e+06 
1.12218e-03 3.46148e+04  2.42136e+06 2.42474e+06 
1.14825e-03 3.35724e+04  2.53416e+06 2.53651e+06 
1.17433e-03 3.28790e+04  2.64950e+06 2.65116e+06 
1.20040e-03 3.24754e+04  2.76753e+06 2.76880e+06 
1.22648e-03 3.23030e+04  2.88838e+06 2.88948e+06 
1.25255e-03 3.23269e+04  3.01209e+06 3.01322e+06 
1.27863e-03 3.25460e+04  3.13865e+06 3.13999e+06 
1.30470e-03 3.29881e+04  3.26797e+06 3.26974e+06 
1.33078e-03 3.36921e+04  3.39991e+06 3.40238e+06 
1.35685e-03 3.46837e+04  3.53433e+06 3.53779e+06 
1.38292e-03 3.59523e+04  3.67112e+06 3.67584e+06 
1.40899e-03 3.74366e+04  3.81022e+06 3.81643e+06 
1.43507e-03 3.90223e+04  3.95165e+06 3.95945e+06 
1.46114e-03 4.05558e+04  4.09548e+06 4.10482e+06 
1.48721e-03 4.18678e+04  4.24182e+06 4.25248e+06 
1.51328e-03 4.28041e+04  4.39079e+06 4.40239e+06 
1.53934e-03 4.32541e+04  4.54248e+06 4.55453e+06 
1.56541e-03 4.31708e+04  4.69693e+06 4.70890e+06 
1.59148e-03 4.25787e+04  4.85415e+06 4.86552e+06 
1.61754e-03 4.15665e+04  5.01407e+06 5.02443e+06 
1.64360e-03 4.02685e+04  5.17660e+06 5.18566e+06 
1.66966e-03 3.88387e+04  5.34166e+06 5.34928e+06 
1.69572e-03 3.74238e+04  5.50915e+06 5.51536e+06 
1.72178e-03 3.61414e+04  5.67905e+06 5.68398e+06 
1.74784e-03 3.50685e+04  5.85137e+06 5.85523e+06 
1.77390e-03 3.42396e+04  6.02617e+06 6.02920e+06 
1.79996e-03 3.36555e+04  6.20351e+06 6.20596e+06 
1.82602e-03 3.32974e+04  6.38348e+06 6.38558e+06 
1.85207e-03 3.31426e+04  6.56615e+06 6.56809e+06 
1.87813e-03 3.31757e+04  6.75153e+06 6.75351e+06 
1.90418e-03 3.33939e+04  6.93962e+06 6.94181e+06 
