2.28492e-05 3.12111e+04  1.47631e+03 1.47631e+03 
4.56984e-05 3.13368e+04  6.09400e+03 6.20563e+03 
6.85475e-05 3.17349e+04  1.29571e+04 1.34509e+04 
9.13966e-05 3.25668e+04  2.17461e+04 2.30577e+04 
1.14246e-04 3.39517e+04  3.21675e+04 3.48544e+04 
1.37094e-04 3.59271e+04  4.40101e+04 4.86692e+04 
1.59943e-04 3.84252e+04  5.71841e+04 6.43452e+04 
1.82791e-04 4.12726e+04  7.17332e+04 8.17517e+04 
2.05638e-04 4.42108e+04  8.78200e+04 1.00790e+05 
2.28484e-04 4.69349e+04  1.05688e+05 1.21398e+05 
2.51330e-04 4.91424e+04  1.25610e+05 1.43540e+05 
2.74174e-04 5.05827e+04  1.47832e+05 1.67211e+05 
2.97018e-04 5.10968e+04  1.72524e+05 1.92421e+05 
3.19860e-04 5.06420e+04  1.99755e+05 2.19194e+05 
3.42701e-04 4.92953e+04  2.29479e+05 2.47563e+05 
3.65541e-04 4.72364e+04  2.61552e+05 2.77567e+05 
3.88380e-04 4.47155e+04  2.95768e+05 3.09250e+05 
4.11218e-04 4.20104e+04  3.31901e+05 3.42669e+05 
4.34054e-04 3.93833e+04  3.69756e+05 3.77891e+05 
4.56890e-04 3.70439e+04  4.09203e+05 4.14997e+05 
4.79725e-04 3.51261e+04  4.50202e+05 4.54082e+05 
5.02559e-04 3.36807e+04  4.92808e+05 4.95252e+05 
5.25393e-04 3.26846e+04  5.37156e+05 5.38614e+05 
5.48226e-04 3.20631e+04  5.83427e+05 5.84275e+05 
5.71059e-04 3.17186e+04  6.31813e+05 6.32325e+05 
5.93891e-04 3.15610e+04  6.82473e+05 6.82832e+05 
6.16724e-04 3.15308e+04  7.35504e+05 7.35834e+05 
6.39556e-04 3.16127e+04  7.90923e+05 7.91333e+05 
6.62388e-04 3.18353e+04  8.48667e+05 8.49293e+05 
6.85220e-04 3.22590e+04  9.08605e+05 9.09646e+05 
7.08051e-04 3.29551e+04  9.70571e+05 9.72300e+05 
7.30883e-04 3.39806e+04  1.03439e+06 1.03714e+06 
7.53714e-04 3.53552e+04  1.09993e+06 1.10405e+06 
7.76545e-04 3.70454e+04  1.16711e+06 1.17292e+06 
7.99375e-04 3.89595e+04  1.23591e+06 1.24364e+06 
8.22204e-04 4.09546e+04  1.30640e+06 1.31613e+06 
8.45033e-04 4.28547e+04  1.37868e+06 1.39031e+06 
8.67862e-04 4.44756e+04  1.45290e+06 1.46616e+06 
8.90689e-04 4.56533e+04  1.52920e+06 1.54365e+06 
