2.72331e-05 1.62532e+00  1.62300e-10 0.00000e+00 
5.44663e-05 2.24403e+01  -1.76442e+01 0.00000e+00 
8.16994e-05 9.81360e+01  -8.92279e+01 0.00000e+00 
1.08932e-04 2.72708e+02  -2.59499e+02 0.00000e+00 
1.36166e-04 5.88315e+02  -5.71226e+02 0.00000e+00 
1.63399e-04 1.07739e+03  -1.05718e+03 0.00000e+00 
1.90632e-04 1.75923e+03  -1.73664e+03 0.00000e+00 
2.17864e-04 2.64178e+03  -2.61725e+03 0.00000e+00 
2.45097e-04 3.72795e+03  -3.70147e+03 0.00000e+00 
2.72330e-04 5.02477e+03  -4.99576e+03 0.00000e+00 
2.99562e-04 6.55265e+03  -6.52012e+03 0.00000e+00 
3.26795e-04 8.35276e+03  -8.31553e+03 0.00000e+00 
3.54027e-04 1.04908e+04  -1.04477e+04 0.00000e+00 
3.81259e-04 1.30569e+04  -1.30069e+04 0.00000e+00 
4.08491e-04 1.61616e+04  -1.61039e+04 0.00000e+00 
4.35722e-04 1.99308e+04  -1.98649e+04 0.00000e+00 
4.62954e-04 2.44999e+04  -2.44253e+04 0.00000e+00 
4.90185e-04 3.00096e+04  -2.99259e+04 0.00000e+00 
5.17417e-04 3.66045e+04  -3.65109e+04 0.00000e+00 
5.44648e-04 4.44329e+04  -4.43283e+04 0.00000e+00 
5.71879e-04 5.36493e+04  -5.35324e+04 0.00000e+00 
5.99110e-04 6.44156e+04  -6.42849e+04 0.00000e+00 
6.26341e-04 7.69021e+04  -7.67560e+04 0.00000e+00 
6.53572e-04 9.12852e+04  -9.11226e+04 0.00000e+00 
6.80803e-04 1.07743e+05  -1.07563e+05 0.00000e+00 
7.08034e-04 1.26450e+05  -1.26253e+05 0.00000e+00 
7.35265e-04 1.47571e+05  -1.47357e+05 0.00000e+00 
7.62496e-04 1.71252e+05  -1.71022e+05 0.00000e+00 
7.89727e-04 1.97625e+05  -1.97380e+05 0.00000e+00 
8.16958e-04 2.26804e+05  -2.26545e+05 0.00000e+00 
8.44189e-04 2.58894e+05  -2.58622e+05 0.00000e+00 
8.71420e-04 2.93999e+05  -2.93713e+05 0.00000e+00 
8.98650e-04 3.32232e+05  -3.31933e+05 0.00000e+00 
9.25881e-04 3.73730e+05  -3.73417e+05 0.00000e+00 
9.53111e-04 4.18658e+05  -4.18331e+05 0.00000e+00 
9.80341e-04 4.67220e+05  -4.66877e+05 0.00000e+00 
1.00757e-03 5.19658e+05  -5.19297e+05 0.00000e+00 
1.03480e-03 5.76251e+05  -5.75872e+05 0.00000e+00 
1.06203e-03 6.37314e+05  -6.36915e+05 0.00000e+00 
1.08926e-03 7.03186e+05  -7.02766e+05 0.00000e+00 
1.11649e-03 7.74227e+05  -7.73785e+05 0.00000e+00 
1.14372e-03 8.50809e+05  -8.50343e+05 0.00000e+00 
1.17095e-03 9.33309e+05  -9.32817e+05 0.00000e+00 
1.19818e-03 1.02210e+06  -1.02158e+06 0.00000e+00 
1.22541e-03 1.11755e+06  -1.11700e+06 0.00000e+00 
1.25264e-03 1.22001e+06  -1.21943e+06 0.00000e+00 
1.27986e-03 1.32981e+06  -1.32920e+06 0.00000e+00 
1.30709e-03 1.44726e+06  -1.44662e+06 0.00000e+00 
1.33432e-03 1.57264e+06  -1.57198e+06 0.00000e+00 
1.36155e-03 1.70621e+06  -1.70551e+06 0.00000e+00 
1.38878e-03 1.84817e+06  -1.84745e+06 0.00000e+00 
1.41601e-03 1.99874e+06  -1.99799e+06 0.00000e+00 
1.44324e-03 2.15810e+06  -2.15732e+06 0.00000e+00 
1.47047e-03 2.32642e+06  -2.32562e+06 0.00000e+00 
1.49769e-03 2.50391e+06  -2.50308e+06 0.00000e+00 
1.52492e-03 2.69078e+06  -2.68992e+06 0.00000e+00 
1.55215e-03 2.88728e+06  -2.88640e+06 0.00000e+00 
1.57938e-03 3.09372e+06  -3.09282e+06 0.00000e+00 
1.60661e-03 3.31047e+06  -3.30954e+06 0.00000e+00 
1.63384e-03 3.53794e+06  -3.53698e+06 0.00000e+00 
1.66106e-03 3.77660e+06  -3.77561e+06 0.00000e+00 
1.68829e-03 4.02699e+06  -4.02597e+06 0.00000e+00 
1.71552e-03 4.28965e+06  -4.28859e+06 0.00000e+00 
1.74275e-03 4.56518e+06  -4.56409e+06 0.00000e+00 
1.76997e-03 4.85417e+06  -4.85304e+06 0.00000e+00 
1.79720e-03 5.15723e+06  -5.15606e+06 0.00000e+00 
1.82443e-03 5.47493e+06  -5.47372e+06 0.00000e+00 
1.85166e-03 5.80783e+06  -5.80658e+06 0.00000e+00 
1.87888e-03 6.15645e+06  -6.15516e+06 0.00000e+00 
1.90611e-03 6.52127e+06  -6.51993e+06 0.00000e+00 
1.93334e-03 6.90271e+06  -6.90133e+06 0.00000e+00 
1.96056e-03 7.30116e+06  -7.29974e+06 0.00000e+00 
1.98779e-03 7.71696e+06  -7.71549e+06 0.00000e+00 
2.01502e-03 8.15039e+06  -8.14889e+06 0.00000e+00 
2.04224e-03 8.60174e+06  -8.60020e+06 0.00000e+00 
2.06947e-03 9.07127e+06  -9.06969e+06 0.00000e+00 
2.09670e-03 9.55924e+06  -9.55762e+06 0.00000e+00 
2.12392e-03 1.00659e+07  -1.00643e+07 0.00000e+00 
2.15115e-03 1.05917e+07  -1.05900e+07 0.00000e+00 
2.17838e-03 1.11369e+07  -1.11352e+07 0.00000e+00 
2.20560e-03 1.17021e+07  -1.17003e+07 0.00000e+00 
2.23283e-03 1.22876e+07  -1.22858e+07 0.00000e+00 
2.26005e-03 1.28942e+07  -1.28923e+07 0.00000e+00 
2.28728e-03 1.35225e+07  -1.35206e+07 0.00000e+00 
2.31451e-03 1.41731e+07  -1.41712e+07 0.00000e+00 
2.34173e-03 1.48470e+07  -1.48451e+07 0.00000e+00 
2.36896e-03 1.55449e+07  -1.55429e+07 0.00000e+00 
2.39618e-03 1.62676e+07  -1.62655e+07 0.00000e+00 
2.42341e-03 1.70159e+07  -1.70137e+07 0.00000e+00 
2.45063e-03 1.77905e+07  -1.77883e+07 0.00000e+00 
2.47786e-03 1.85922e+07  -1.85900e+07 0.00000e+00 
2.50508e-03 1.94218e+07  -1.94195e+07 0.00000e+00 
2.53231e-03 2.02797e+07  -2.02773e+07 0.00000e+00 
2.55953e-03 2.11665e+07  -2.11641e+07 0.00000e+00 
2.58676e-03 2.20828e+07  -2.20804e+07 0.00000e+00 
2.61398e-03 2.30290e+07  -2.30265e+07 0.00000e+00 
2.64121e-03 2.40054e+07  -2.40029e+07 0.00000e+00 
2.66843e-03 2.50125e+07  -2.50099e+07 0.00000e+00 
2.69566e-03 2.60506e+07  -2.60479e+07 0.00000e+00 
2.72288e-03 2.71200e+07  -2.71173e+07 0.00000e+00 
2.75010e-03 2.82211e+07  -2.82184e+07 0.00000e+00 
2.77733e-03 2.93545e+07  -2.93517e+07 0.00000e+00 
2.80455e-03 3.05207e+07  -3.05178e+07 0.00000e+00 
2.83178e-03 3.17201e+07  -3.17172e+07 0.00000e+00 
2.85900e-03 3.29537e+07  -3.29507e+07 0.00000e+00 
2.88622e-03 3.42220e+07  -3.42190e+07 0.00000e+00 
2.91345e-03 3.55260e+07  -3.55229e+07 0.00000e+00 
2.94067e-03 3.68665e+07  -3.68634e+07 0.00000e+00 
2.96790e-03 3.82446e+07  -3.82414e+07 0.00000e+00 
2.99512e-03 3.96612e+07  -3.96579e+07 0.00000e+00 
3.02234e-03 4.11173e+07  -4.11140e+07 0.00000e+00 
3.04957e-03 4.26139e+07  -4.26105e+07 0.00000e+00 
3.07679e-03 4.41519e+07  -4.41485e+07 0.00000e+00 
3.10401e-03 4.57323e+07  -4.57288e+07 0.00000e+00 
3.13124e-03 4.73558e+07  -4.73523e+07 0.00000e+00 
3.15846e-03 4.90233e+07  -4.90196e+07 0.00000e+00 
3.18568e-03 5.07353e+07  -5.07316e+07 0.00000e+00 
3.21290e-03 5.24926e+07  -5.24888e+07 0.00000e+00 
3.24013e-03 5.42956e+07  -5.42917e+07 0.00000e+00 
3.26735e-03 5.61448e+07  -5.61409e+07 0.00000e+00 
3.29457e-03 5.80409e+07  -5.80369e+07 0.00000e+00 
3.32179e-03 5.99841e+07  -5.99800e+07 0.00000e+00 
3.34902e-03 6.19750e+07  -6.19709e+07 0.00000e+00 
3.37624e-03 6.40142e+07  -6.40101e+07 0.00000e+00 
3.40346e-03 6.61022e+07  -6.60980e+07 0.00000e+00 
3.43068e-03 6.82398e+07  -6.82355e+07 0.00000e+00 
