2.72331e-05 3.34528e+02  4.33227e-09 0.00000e+00 
5.44663e-05 4.93334e+03  -3.79767e+03 0.00000e+00 
8.17023e-05 2.31238e+04  -2.08005e+04 0.00000e+00 
1.08941e-04 6.84969e+04  -6.47061e+04 0.00000e+00 
1.36183e-04 1.57460e+05  -1.52026e+05 0.00000e+00 
1.63428e-04 3.07869e+05  -3.00704e+05 0.00000e+00 
1.90676e-04 5.38023e+05  -5.29092e+05 0.00000e+00 
2.17927e-04 8.66163e+05  -8.55457e+05 0.00000e+00 
2.45181e-04 1.31057e+06  -1.29807e+06 0.00000e+00 
2.72438e-04 1.89017e+06  -1.87581e+06 0.00000e+00 
2.99698e-04 2.62554e+06  -2.60922e+06 0.00000e+00 
3.26961e-04 3.54019e+06  -3.52172e+06 0.00000e+00 
3.54226e-04 4.66178e+06  -4.64092e+06 0.00000e+00 
3.81495e-04 6.02340e+06  -5.99982e+06 0.00000e+00 
4.08767e-04 7.66455e+06  -7.63784e+06 0.00000e+00 
4.36042e-04 9.63192e+06  -9.60163e+06 0.00000e+00 
4.63319e-04 1.19799e+07  -1.19455e+07 0.00000e+00 
4.90600e-04 1.47708e+07  -1.47316e+07 0.00000e+00 
5.17883e-04 1.80744e+07  -1.80299e+07 0.00000e+00 
5.45170e-04 2.19678e+07  -2.19172e+07 0.00000e+00 
5.72460e-04 2.65339e+07  -2.64767e+07 0.00000e+00 
5.99752e-04 3.18602e+07  -3.17957e+07 0.00000e+00 
6.27048e-04 3.80369e+07  -3.79648e+07 0.00000e+00 
6.54346e-04 4.51547e+07  -4.50745e+07 0.00000e+00 
6.81647e-04 5.33026e+07  -5.32141e+07 0.00000e+00 
7.08952e-04 6.25658e+07  -6.24690e+07 0.00000e+00 
7.36259e-04 7.30243e+07  -7.29192e+07 0.00000e+00 
7.63570e-04 8.47519e+07  -8.46389e+07 0.00000e+00 
7.90883e-04 9.78166e+07  -9.76959e+07 0.00000e+00 
8.18199e-04 1.12282e+08  -1.12154e+08 0.00000e+00 
8.45519e-04 1.28208e+08  -1.28072e+08 0.00000e+00 
8.72841e-04 1.45655e+08  -1.45513e+08 0.00000e+00 
9.00166e-04 1.64690e+08  -1.64541e+08 0.00000e+00 
9.27494e-04 1.85383e+08  -1.85227e+08 0.00000e+00 
9.54825e-04 2.07819e+08  -2.07656e+08 0.00000e+00 
9.82160e-04 2.32095e+08  -2.31924e+08 0.00000e+00 
1.00950e-03 2.58324e+08  -2.58144e+08 0.00000e+00 
1.03684e-03 2.86636e+08  -2.86448e+08 0.00000e+00 
1.06418e-03 3.17180e+08  -3.16983e+08 0.00000e+00 
1.09153e-03 3.50118e+08  -3.49910e+08 0.00000e+00 
1.11888e-03 3.85626e+08  -3.85407e+08 0.00000e+00 
1.14623e-03 4.23890e+08  -4.23658e+08 0.00000e+00 
1.17358e-03 4.65100e+08  -4.64855e+08 0.00000e+00 
1.20094e-03 5.09450e+08  -5.09191e+08 0.00000e+00 
1.22830e-03 5.57129e+08  -5.56856e+08 0.00000e+00 
1.25566e-03 6.08317e+08  -6.08030e+08 0.00000e+00 
1.28303e-03 6.63186e+08  -6.62884e+08 0.00000e+00 
1.31040e-03 7.21891e+08  -7.21574e+08 0.00000e+00 
1.33777e-03 7.84574e+08  -7.84241e+08 0.00000e+00 
1.36515e-03 8.51358e+08  -8.51011e+08 0.00000e+00 
1.39253e-03 9.22357e+08  -9.21995e+08 0.00000e+00 
1.41991e-03 9.97670e+08  -9.97295e+08 0.00000e+00 
1.44730e-03 1.07740e+09  -1.07701e+09 0.00000e+00 
1.47468e-03 1.16163e+09  -1.16122e+09 0.00000e+00 
1.50207e-03 1.25047e+09  -1.25005e+09 0.00000e+00 
1.52947e-03 1.34403e+09  -1.34360e+09 0.00000e+00 
1.55687e-03 1.44245e+09  -1.44201e+09 0.00000e+00 
1.58426e-03 1.54587e+09  -1.54542e+09 0.00000e+00 
1.61167e-03 1.65449e+09  -1.65403e+09 0.00000e+00 
1.63907e-03 1.76852e+09  -1.76804e+09 0.00000e+00 
1.66648e-03 1.88818e+09  -1.88769e+09 0.00000e+00 
1.69389e-03 2.01374e+09  -2.01323e+09 0.00000e+00 
1.72131e-03 2.14549e+09  -2.14496e+09 0.00000e+00 
1.74873e-03 2.28370e+09  -2.28316e+09 0.00000e+00 
1.77615e-03 2.42870e+09  -2.42814e+09 0.00000e+00 
1.80357e-03 2.58078e+09  -2.58020e+09 0.00000e+00 
1.83100e-03 2.74024e+09  -2.73963e+09 0.00000e+00 
1.85843e-03 2.90735e+09  -2.90673e+09 0.00000e+00 
1.88586e-03 3.08239e+09  -3.08174e+09 0.00000e+00 
1.91329e-03 3.26558e+09  -3.26491e+09 0.00000e+00 
1.94073e-03 3.45714e+09  -3.45645e+09 0.00000e+00 
1.96817e-03 3.65726e+09  -3.65655e+09 0.00000e+00 
1.99562e-03 3.86609e+09  -3.86536e+09 0.00000e+00 
2.02307e-03 4.08380e+09  -4.08305e+09 0.00000e+00 
2.05052e-03 4.31051e+09  -4.30974e+09 0.00000e+00 
2.07797e-03 4.54635e+09  -4.54556e+09 0.00000e+00 
2.10543e-03 4.79147e+09  -4.79066e+09 0.00000e+00 
2.13289e-03 5.04602e+09  -5.04519e+09 0.00000e+00 
2.16035e-03 5.31018e+09  -5.30933e+09 0.00000e+00 
2.18781e-03 5.58414e+09  -5.58328e+09 0.00000e+00 
2.21528e-03 5.86816e+09  -5.86728e+09 0.00000e+00 
2.24275e-03 6.16251e+09  -6.16161e+09 0.00000e+00 
2.27023e-03 6.46750e+09  -6.46658e+09 0.00000e+00 
2.29771e-03 6.78349e+09  -6.78254e+09 0.00000e+00 
2.32519e-03 7.11084e+09  -7.10987e+09 0.00000e+00 
2.35267e-03 7.44996e+09  -7.44897e+09 0.00000e+00 
2.38016e-03 7.80125e+09  -7.80023e+09 0.00000e+00 
2.40765e-03 8.16512e+09  -8.16408e+09 0.00000e+00 
2.43514e-03 8.54197e+09  -8.54090e+09 0.00000e+00 
2.46263e-03 8.93219e+09  -8.93109e+09 0.00000e+00 
2.49013e-03 9.33613e+09  -9.33501e+09 0.00000e+00 
2.51763e-03 9.75413e+09  -9.75298e+09 0.00000e+00 
2.54514e-03 1.01865e+10  -1.01853e+10 0.00000e+00 
2.57265e-03 1.06334e+10  -1.06322e+10 0.00000e+00 
2.60016e-03 1.10952e+10  -1.10940e+10 0.00000e+00 
2.62767e-03 1.15721e+10  -1.15708e+10 0.00000e+00 
2.65519e-03 1.20641e+10  -1.20629e+10 0.00000e+00 
2.68270e-03 1.25716e+10  -1.25703e+10 0.00000e+00 
2.71023e-03 1.30947e+10  -1.30934e+10 0.00000e+00 
2.73775e-03 1.36336e+10  -1.36323e+10 0.00000e+00 
2.76528e-03 1.41885e+10  -1.41871e+10 0.00000e+00 
2.79281e-03 1.47597e+10  -1.47583e+10 0.00000e+00 
2.82035e-03 1.53475e+10  -1.53460e+10 0.00000e+00 
