2.72331e-05 3.52447e+02  1.91451e-10 0.00000e+00 
5.44663e-05 4.90085e+03  -3.84675e+03 0.00000e+00 
8.16994e-05 2.08701e+04  -1.91049e+04 0.00000e+00 
1.08932e-04 5.42158e+04  -5.20606e+04 0.00000e+00 
1.36165e-04 1.05299e+05  -1.03238e+05 0.00000e+00 
1.63397e-04 1.67126e+05  -1.65577e+05 0.00000e+00 
1.90627e-04 2.27065e+05  -2.26192e+05 0.00000e+00 
2.17857e-04 2.71270e+05  -2.70930e+05 0.00000e+00 
2.45085e-04 2.89776e+05  -2.89607e+05 0.00000e+00 
2.72312e-04 2.79982e+05  -2.79591e+05 0.00000e+00 
2.99538e-04 2.47126e+05  -2.46275e+05 0.00000e+00 
3.26763e-04 2.01749e+05  -2.00450e+05 0.00000e+00 
3.53989e-04 1.55471e+05  -1.53961e+05 0.00000e+00 
3.81215e-04 1.17020e+05  -1.15632e+05 0.00000e+00 
4.08443e-04 9.01248e+04  -8.91232e+04 0.00000e+00 
4.35672e-04 7.38885e+04  -7.33493e+04 0.00000e+00 
4.62903e-04 6.50841e+04  -6.48728e+04 0.00000e+00 
4.90136e-04 6.09522e+04  -6.08034e+04 0.00000e+00 
5.17369e-04 6.10178e+04  -6.06718e+04 0.00000e+00 
5.44603e-04 6.70919e+04  -6.64162e+04 0.00000e+00 
5.71836e-04 8.16275e+04  -8.06688e+04 0.00000e+00 
5.99069e-04 1.05453e+05  -1.04398e+05 0.00000e+00 
6.26302e-04 1.36172e+05  -1.35244e+05 0.00000e+00 
6.53535e-04 1.68142e+05  -1.67489e+05 0.00000e+00 
6.80768e-04 1.94118e+05  -1.93744e+05 0.00000e+00 
7.08001e-04 2.07785e+05  -2.07563e+05 0.00000e+00 
7.35234e-04 2.06008e+05  -2.05753e+05 0.00000e+00 
7.62468e-04 1.89800e+05  -1.89365e+05 0.00000e+00 
7.89699e-04 1.63641e+05  -1.62989e+05 0.00000e+00 
8.16929e-04 1.33587e+05  -1.32801e+05 0.00000e+00 
8.44157e-04 1.05093e+05  -1.04325e+05 0.00000e+00 
8.71386e-04 8.15170e+04  -8.09111e+04 0.00000e+00 
8.98615e-04 6.38266e+04  -6.34463e+04 0.00000e+00 
9.25845e-04 5.13985e+04  -5.12003e+04 0.00000e+00 
9.53076e-04 4.33315e+04  -4.31935e+04 0.00000e+00 
9.80309e-04 3.94772e+04  -3.92649e+04 0.00000e+00 
1.00754e-03 4.06322e+04  -4.02669e+04 0.00000e+00 
1.03478e-03 4.78556e+04  -4.73498e+04 0.00000e+00 
1.06201e-03 6.13556e+04  -6.08006e+04 0.00000e+00 
1.08924e-03 7.96318e+04  -7.91455e+04 0.00000e+00 
1.11648e-03 9.94176e+04  -9.90816e+04 0.00000e+00 
1.14371e-03 1.16542e+05  -1.16360e+05 0.00000e+00 
1.17094e-03 1.27346e+05  -1.27244e+05 0.00000e+00 
1.19817e-03 1.30030e+05  -1.29894e+05 0.00000e+00 
1.22540e-03 1.25308e+05  -1.25044e+05 0.00000e+00 
1.25262e-03 1.16080e+05  -1.15659e+05 0.00000e+00 
1.27985e-03 1.06287e+05  -1.05756e+05 0.00000e+00 
1.30707e-03 9.94895e+04  -9.89502e+04 0.00000e+00 
1.33429e-03 9.77948e+04  -9.73474e+04 0.00000e+00 
1.36151e-03 1.01523e+05  -1.01221e+05 0.00000e+00 
1.38874e-03 1.09630e+05  -1.09459e+05 0.00000e+00 
1.41596e-03 1.20543e+05  -1.20432e+05 0.00000e+00 
1.44319e-03 1.32916e+05  -1.32776e+05 0.00000e+00 
1.47042e-03 1.45924e+05  -1.45693e+05 0.00000e+00 
1.49765e-03 1.59034e+05  -1.58704e+05 0.00000e+00 
1.52488e-03 1.71471e+05  -1.71081e+05 0.00000e+00 
1.55212e-03 1.81787e+05  -1.81400e+05 0.00000e+00 
1.57935e-03 1.87864e+05  -1.87526e+05 0.00000e+00 
1.60658e-03 1.87443e+05  -1.87159e+05 0.00000e+00 
1.63382e-03 1.78958e+05  -1.78690e+05 0.00000e+00 
1.66105e-03 1.62286e+05  -1.61977e+05 0.00000e+00 
1.68828e-03 1.39047e+05  -1.38655e+05 0.00000e+00 
1.71552e-03 1.12273e+05  -1.11797e+05 0.00000e+00 
1.74275e-03 8.55893e+04  -8.50720e+04 0.00000e+00 
1.76998e-03 6.22495e+04  -6.17594e+04 0.00000e+00 
1.79721e-03 4.44498e+04  -4.40451e+04 0.00000e+00 
1.82445e-03 3.31556e+04  -3.28538e+04 0.00000e+00 
1.85168e-03 2.84340e+04  -2.82021e+04 0.00000e+00 
1.87890e-03 3.00131e+04  -2.97838e+04 0.00000e+00 
1.90613e-03 3.76983e+04  -3.74045e+04 0.00000e+00 
1.93335e-03 5.13861e+04  -5.09957e+04 0.00000e+00 
1.96058e-03 7.06607e+04  -7.01952e+04 0.00000e+00 
1.98781e-03 9.42212e+04  -9.37461e+04 0.00000e+00 
2.01503e-03 1.19513e+05  -1.19105e+05 0.00000e+00 
2.04226e-03 1.42870e+05  -1.42581e+05 0.00000e+00 
2.06949e-03 1.60272e+05  -1.60094e+05 0.00000e+00 
2.09672e-03 1.68462e+05  -1.68334e+05 0.00000e+00 
2.12395e-03 1.65995e+05  -1.65825e+05 0.00000e+00 
2.15119e-03 1.53742e+05  -1.53453e+05 0.00000e+00 
2.17842e-03 1.34646e+05  -1.34214e+05 0.00000e+00 
2.20565e-03 1.12799e+05  -1.12264e+05 0.00000e+00 
2.23289e-03 9.22222e+04  -9.16725e+04 0.00000e+00 
2.26011e-03 7.58358e+04  -7.53691e+04 0.00000e+00 
2.28734e-03 6.50081e+04  -6.46869e+04 0.00000e+00 
2.31457e-03 5.97754e+04  -5.95979e+04 0.00000e+00 
2.34180e-03 5.95413e+04  -5.94418e+04 0.00000e+00 
2.36902e-03 6.38534e+04  -6.37310e+04 0.00000e+00 
2.39625e-03 7.28402e+04  -7.26041e+04 0.00000e+00 
2.42347e-03 8.70762e+04  -8.66869e+04 0.00000e+00 
2.45070e-03 1.06939e+05  -1.06427e+05 0.00000e+00 
2.47792e-03 1.31788e+05  -1.31238e+05 0.00000e+00 
2.50515e-03 1.59397e+05  -1.58915e+05 0.00000e+00 
2.53238e-03 1.85997e+05  -1.85661e+05 0.00000e+00 
2.55961e-03 2.06999e+05  -2.06827e+05 0.00000e+00 
2.58685e-03 2.18192e+05  -2.18132e+05 0.00000e+00 
2.61408e-03 2.16965e+05  -2.16918e+05 0.00000e+00 
2.64131e-03 2.03108e+05  -2.02971e+05 0.00000e+00 
2.66855e-03 1.78891e+05  -1.78597e+05 0.00000e+00 
2.69578e-03 1.48400e+05  -1.47944e+05 0.00000e+00 
2.72301e-03 1.16404e+05  -1.15842e+05 0.00000e+00 
2.75024e-03 8.71567e+04  -8.65797e+04 0.00000e+00 
2.77748e-03 6.35457e+04  -6.30464e+04 0.00000e+00 
2.80471e-03 4.68218e+04  -4.64572e+04 0.00000e+00 
2.83194e-03 3.68810e+04  -3.66562e+04 0.00000e+00 
2.85918e-03 3.28766e+04  -3.27498e+04 0.00000e+00 
2.88641e-03 3.38440e+04  -3.37489e+04 0.00000e+00 
2.91364e-03 3.90768e+04  -3.89511e+04 0.00000e+00 
2.94088e-03 4.81491e+04  -4.79576e+04 0.00000e+00 
2.96811e-03 6.06598e+04  -6.04027e+04 0.00000e+00 
2.99534e-03 7.58911e+04  -7.55971e+04 0.00000e+00 
3.02257e-03 9.25907e+04  -9.22999e+04 0.00000e+00 
3.04980e-03 1.09007e+05  -1.08753e+05 0.00000e+00 
3.07703e-03 1.23182e+05  -1.22978e+05 0.00000e+00 
3.10425e-03 1.33384e+05  -1.33223e+05 0.00000e+00 
3.13148e-03 1.38509e+05  -1.38370e+05 0.00000e+00 
3.15871e-03 1.38321e+05  -1.38178e+05 0.00000e+00 
3.18593e-03 1.33458e+05  -1.33292e+05 0.00000e+00 
3.21316e-03 1.25251e+05  -1.25054e+05 0.00000e+00 
