1.72237e-06 1.28863e-05  6.17121e-16 0.00000e+00 
3.44475e-06 1.36960e-04  -1.15392e-04 0.00000e+00 
5.16712e-06 4.06828e-04  -3.83881e-04 0.00000e+00 
6.88949e-06 8.09544e-04  -7.74508e-04 0.00000e+00 
8.61184e-06 1.50383e-03  -1.45617e-03 0.00000e+00 
1.03342e-05 2.73611e-03  -2.67313e-03 0.00000e+00 
1.20565e-05 4.80605e-03  -4.71203e-03 0.00000e+00 
1.37789e-05 8.13172e-03  -7.99957e-03 0.00000e+00 
1.55012e-05 1.31383e-02  -1.29654e-02 0.00000e+00 
1.72235e-05 2.02012e-02  -1.99861e-02 0.00000e+00 
1.89458e-05 2.96627e-02  -2.94148e-02 0.00000e+00 
2.06681e-05 4.18075e-02  -4.15305e-02 0.00000e+00 
2.23905e-05 5.70159e-02  -5.66984e-02 0.00000e+00 
2.41128e-05 7.59508e-02  -7.55827e-02 0.00000e+00 
2.58350e-05 9.94938e-02  -9.90635e-02 0.00000e+00 
2.75573e-05 1.28610e-01  -1.28102e-01 0.00000e+00 
2.92796e-05 1.64216e-01  -1.63629e-01 0.00000e+00 
3.10019e-05 2.06981e-01  -2.06325e-01 0.00000e+00 
3.27242e-05 2.57306e-01  -2.56590e-01 0.00000e+00 
3.44465e-05 3.15590e-01  -3.14816e-01 0.00000e+00 
3.61687e-05 3.82548e-01  -3.81709e-01 0.00000e+00 
3.78910e-05 4.59391e-01  -4.58468e-01 0.00000e+00 
3.96132e-05 5.47725e-01  -5.46702e-01 0.00000e+00 
4.13355e-05 6.49180e-01  -6.48046e-01 0.00000e+00 
4.30577e-05 7.65015e-01  -7.63770e-01 0.00000e+00 
4.47800e-05 8.95981e-01  -8.94637e-01 0.00000e+00 
4.65022e-05 1.04250e+00  -1.04107e+00 0.00000e+00 
4.82244e-05 1.20515e+00  -1.20363e+00 0.00000e+00 
4.99467e-05 1.38509e+00  -1.38348e+00 0.00000e+00 
5.16689e-05 1.58423e+00  -1.58249e+00 0.00000e+00 
5.33911e-05 1.80483e+00  -1.80297e+00 0.00000e+00 
5.51133e-05 2.04905e+00  -2.04704e+00 0.00000e+00 
5.68355e-05 2.31841e+00  -2.31626e+00 0.00000e+00 
5.85577e-05 2.61376e+00  -2.61148e+00 0.00000e+00 
6.02799e-05 2.93564e+00  -2.93324e+00 0.00000e+00 
6.20021e-05 3.28487e+00  -3.28236e+00 0.00000e+00 
6.37243e-05 3.66312e+00  -3.66048e+00 0.00000e+00 
6.54464e-05 4.07289e+00  -4.07010e+00 0.00000e+00 
6.71686e-05 4.51709e+00  -4.51413e+00 0.00000e+00 
6.88908e-05 4.99832e+00  -4.99519e+00 0.00000e+00 
7.06129e-05 5.51837e+00  -5.51506e+00 0.00000e+00 
7.23351e-05 6.07820e+00  -6.07474e+00 0.00000e+00 
7.40572e-05 6.67848e+00  -6.67488e+00 0.00000e+00 
7.57794e-05 7.32039e+00  -7.31663e+00 0.00000e+00 
7.75015e-05 8.00608e+00  -8.00216e+00 0.00000e+00 
7.92237e-05 8.73871e+00  -8.73461e+00 0.00000e+00 
8.09458e-05 9.52173e+00  -9.51743e+00 0.00000e+00 
8.26679e-05 1.03581e+01  -1.03536e+01 0.00000e+00 
8.43900e-05 1.12499e+01  -1.12452e+01 0.00000e+00 
8.61121e-05 1.21982e+01  -1.21933e+01 0.00000e+00 
