2.12171e-05 1.62991e+02  8.77170e-10 0.00000e+00 
4.24342e-05 2.29706e+03  -1.79492e+03 0.00000e+00 
6.36513e-05 1.01100e+04  -9.19282e+03 0.00000e+00 
8.48684e-05 2.77915e+04  -2.64848e+04 0.00000e+00 
1.06085e-04 5.86743e+04  -5.70599e+04 0.00000e+00 
1.27302e-04 1.04590e+05  -1.02745e+05 0.00000e+00 
1.48519e-04 1.66150e+05  -1.64098e+05 0.00000e+00 
1.69735e-04 2.43693e+05  -2.41400e+05 0.00000e+00 
1.90950e-04 3.38340e+05  -3.35738e+05 0.00000e+00 
2.12165e-04 4.52582e+05  -4.49618e+05 0.00000e+00 
2.33379e-04 5.90132e+05  -5.86803e+05 0.00000e+00 
2.54592e-04 7.55179e+05  -7.51540e+05 0.00000e+00 
2.75804e-04 9.51517e+05  -9.47646e+05 0.00000e+00 
2.97016e-04 1.18206e+06  -1.17802e+06 0.00000e+00 
3.18226e-04 1.44907e+06  -1.44486e+06 0.00000e+00 
3.39436e-04 1.75502e+06  -1.75055e+06 0.00000e+00 
3.60645e-04 2.10368e+06  -2.09882e+06 0.00000e+00 
3.81853e-04 2.50100e+06  -2.49560e+06 0.00000e+00 
4.03061e-04 2.95523e+06  -2.94916e+06 0.00000e+00 
4.24267e-04 3.47650e+06  -3.46971e+06 0.00000e+00 
4.45472e-04 4.07594e+06  -4.06842e+06 0.00000e+00 
4.66675e-04 4.76486e+06  -4.75662e+06 0.00000e+00 
4.87878e-04 5.55441e+06  -5.54545e+06 0.00000e+00 
5.09079e-04 6.45586e+06  -6.44613e+06 0.00000e+00 
5.30280e-04 7.48127e+06  -7.47066e+06 0.00000e+00 
5.51481e-04 8.64425e+06  -8.63260e+06 0.00000e+00 
5.72681e-04 9.96028e+06  -9.94744e+06 0.00000e+00 
5.93882e-04 1.14465e+07  -1.14324e+07 0.00000e+00 
6.15082e-04 1.31212e+07  -1.31057e+07 0.00000e+00 
6.36283e-04 1.50024e+07  -1.49855e+07 0.00000e+00 
6.57484e-04 1.71077e+07  -1.70894e+07 0.00000e+00 
6.78685e-04 1.94535e+07  -1.94337e+07 0.00000e+00 
6.99886e-04 2.20550e+07  -2.20338e+07 0.00000e+00 
7.21086e-04 2.49267e+07  -2.49039e+07 0.00000e+00 
7.42286e-04 2.80823e+07  -2.80579e+07 0.00000e+00 
7.63486e-04 3.15344e+07  -3.15085e+07 0.00000e+00 
7.84686e-04 3.52946e+07  -3.52672e+07 0.00000e+00 
8.05885e-04 3.93726e+07  -3.93439e+07 0.00000e+00 
8.27084e-04 4.37762e+07  -4.37462e+07 0.00000e+00 
8.48283e-04 4.85113e+07  -4.84802e+07 0.00000e+00 
8.69481e-04 5.35833e+07  -5.35512e+07 0.00000e+00 
8.90678e-04 5.89976e+07  -5.89645e+07 0.00000e+00 
9.11875e-04 6.47615e+07  -6.47273e+07 0.00000e+00 
9.33070e-04 7.08846e+07  -7.08493e+07 0.00000e+00 
9.54265e-04 7.73799e+07  -7.73435e+07 0.00000e+00 
9.75459e-04 8.42634e+07  -8.42257e+07 0.00000e+00 
9.96651e-04 9.15541e+07  -9.15151e+07 0.00000e+00 
1.01784e-03 9.92737e+07  -9.92334e+07 0.00000e+00 
1.03903e-03 1.07447e+08  -1.07405e+08 0.00000e+00 
1.06022e-03 1.16100e+08  -1.16057e+08 0.00000e+00 
1.08141e-03 1.25264e+08  -1.25219e+08 0.00000e+00 
1.10260e-03 1.34971e+08  -1.34924e+08 0.00000e+00 
1.12379e-03 1.45255e+08  -1.45206e+08 0.00000e+00 
1.14498e-03 1.56153e+08  -1.56102e+08 0.00000e+00 
1.16616e-03 1.67702e+08  -1.67649e+08 0.00000e+00 
1.18735e-03 1.79938e+08  -1.79883e+08 0.00000e+00 
1.20853e-03 1.92898e+08  -1.92840e+08 0.00000e+00 
1.22972e-03 2.06615e+08  -2.06555e+08 0.00000e+00 
