2.61133e-05 1.57060e+04  3.64927e+03 3.64927e+03 
5.22267e-05 1.70090e+04  1.26072e+04 1.37287e+04 
7.83400e-05 2.11914e+04  2.35214e+04 2.87003e+04 
1.04453e-04 2.88124e+04  3.43067e+04 4.71193e+04 
1.30566e-04 3.83828e+04  4.49818e+04 6.74895e+04 
1.56678e-04 4.69832e+04  5.72959e+04 8.85366e+04 
1.82790e-04 5.19677e+04  7.31565e+04 1.09425e+05 
2.08900e-04 5.24893e+04  9.31559e+04 1.29883e+05 
2.35008e-04 4.97729e+04  1.16306e+05 1.50216e+05 
2.61116e-04 4.60366e+04  1.41082e+05 1.71212e+05 
2.87222e-04 4.29505e+04  1.66850e+05 1.93953e+05 
3.13327e-04 4.07783e+04  1.94516e+05 2.19567e+05 
3.39431e-04 3.87291e+04  2.25888e+05 2.48982e+05 
3.65533e-04 3.60884e+04  2.62283e+05 2.82729e+05 
3.91635e-04 3.31339e+04  3.03462e+05 3.20853e+05 
4.17734e-04 3.10846e+04  3.47716e+05 3.62937e+05 
4.43832e-04 3.11407e+04  3.93019e+05 4.08239e+05 
4.69927e-04 3.33970e+04  4.38376e+05 4.55898e+05 
4.96022e-04 3.65060e+04  4.84400e+05 5.05140e+05 
5.22115e-04 3.83839e+04  5.32746e+05 5.55459e+05 
5.48208e-04 3.74689e+04  5.84899e+05 6.06719e+05 
5.74301e-04 3.36458e+04  6.41234e+05 6.59181e+05 
6.00394e-04 2.82283e+04  7.00986e+05 7.13445e+05 
6.26488e-04 2.30829e+04  7.63050e+05 7.70335e+05 
6.52581e-04 1.95743e+04  8.26923e+05 8.30736e+05 
6.78674e-04 1.80573e+04  8.93053e+05 8.95417e+05 
7.04767e-04 1.81618e+04  9.62367e+05 9.64878e+05 
7.30860e-04 1.95008e+04  1.03541e+06 1.03924e+06 
7.56952e-04 2.21530e+04  1.11179e+06 1.11821e+06 
7.83043e-04 2.65201e+04  1.19042e+06 1.20114e+06 
8.09135e-04 3.27032e+04  1.27024e+06 1.28713e+06 
8.35225e-04 3.99458e+04  1.35103e+06 1.37521e+06 
8.61315e-04 4.66491e+04  1.43355e+06 1.46452e+06 
8.87404e-04 5.10258e+04  1.51904e+06 1.55444e+06 
9.13491e-04 5.19728e+04  1.60835e+06 1.64469e+06 
9.39577e-04 4.95802e+04  1.70149e+06 1.73540e+06 
9.65661e-04 4.49630e+04  1.79775e+06 1.82698e+06 
9.91744e-04 3.95801e+04  1.89630e+06 1.92014e+06 
1.01783e-03 3.45342e+04  1.99684e+06 2.01565e+06 
1.04391e-03 3.02937e+04  2.09965e+06 2.11427e+06 
1.06999e-03 2.69160e+04  2.20531e+06 2.21657e+06 
1.09606e-03 2.44745e+04  2.31404e+06 2.32284e+06 
1.12214e-03 2.32775e+04  2.42552e+06 2.43308e+06 
1.14822e-03 2.36858e+04  2.53910e+06 2.54704e+06 
1.17429e-03 2.56940e+04  2.65429e+06 2.66425e+06 
1.20036e-03 2.86499e+04  2.77123e+06 2.78419e+06 
1.22644e-03 3.13935e+04  2.89063e+06 2.90638e+06 
1.25251e-03 3.27816e+04  3.01333e+06 3.03050e+06 
1.27858e-03 3.22695e+04  3.13978e+06 3.15643e+06 
1.30465e-03 3.01726e+04  3.26975e+06 3.28425e+06 
1.33073e-03 2.74521e+04  3.40253e+06 3.41428e+06 
1.35680e-03 2.51909e+04  3.53745e+06 3.54692e+06 
1.38287e-03 2.41103e+04  3.67421e+06 3.68262e+06 
1.40895e-03 2.44032e+04  3.81302e+06 3.82175e+06 
1.43502e-03 2.59033e+04  3.95426e+06 3.96451e+06 
1.46109e-03 2.83715e+04  4.09820e+06 4.11090e+06 
1.48716e-03 3.16388e+04  4.24474e+06 4.26070e+06 
1.51323e-03 3.55097e+04  4.39365e+06 4.41347e+06 
1.53930e-03 3.95533e+04  4.54481e+06 4.56869e+06 
1.56536e-03 4.30179e+04  4.69844e+06 4.72581e+06 
1.59143e-03 4.50112e+04  4.85497e+06 4.88436e+06 
1.61749e-03 4.48769e+04  5.01479e+06 5.04405e+06 
1.64355e-03 4.25333e+04  5.17792e+06 5.20482e+06 
1.66961e-03 3.85475e+04  5.34395e+06 5.36682e+06 
1.69567e-03 3.38920e+04  5.51227e+06 5.53046e+06 
1.72173e-03 2.95346e+04  5.68242e+06 5.69626e+06 
1.74779e-03 2.61091e+04  5.85437e+06 5.86480e+06 
1.77384e-03 2.38300e+04  6.02845e+06 6.03663e+06 
1.79990e-03 2.26358e+04  6.20513e+06 6.21214e+06 
1.82595e-03 2.23982e+04  6.38474e+06 6.39151e+06 
1.85201e-03 2.30263e+04  6.56730e+06 6.57469e+06 
1.87806e-03 2.44129e+04  6.75265e+06 6.76142e+06 
1.90411e-03 2.63138e+04  6.94064e+06 6.95130e+06 
1.93017e-03 2.83064e+04  7.13124e+06 7.14391e+06 
1.95622e-03 2.99053e+04  7.32455e+06 7.33882e+06 
1.98227e-03 3.07786e+04  7.52062e+06 7.53576e+06 
2.00832e-03 3.09172e+04  7.71933e+06 7.73459e+06 
2.03437e-03 3.06326e+04  7.92040e+06 7.93536e+06 
2.06043e-03 3.03776e+04  8.12355e+06 8.13825e+06 
2.08648e-03 3.05038e+04  8.32871e+06 8.34355e+06 
2.11253e-03 3.11106e+04  8.53606e+06 8.55153e+06 
2.13858e-03 3.20637e+04  8.74601e+06 8.76246e+06 
2.16462e-03 3.31424e+04  8.95891e+06 8.97644e+06 
2.19067e-03 3.41904e+04  9.17489e+06 9.19346e+06 
2.21672e-03 3.51606e+04  9.39383e+06 9.41336e+06 
2.24276e-03 3.60409e+04  9.61545e+06 9.63584e+06 
2.26880e-03 3.67388e+04  9.83949e+06 9.86057e+06 
2.29484e-03 3.70359e+04  1.00658e+07 1.00872e+07 
2.32088e-03 3.66612e+04  1.02945e+07 1.03155e+07 
2.34692e-03 3.54396e+04  1.05256e+07 1.05454e+07 
2.37296e-03 3.34142e+04  1.07592e+07 1.07770e+07 
2.39900e-03 3.08577e+04  1.09953e+07 1.10105e+07 
2.42503e-03 2.81697e+04  1.12338e+07 1.12463e+07 
2.45107e-03 2.57303e+04  1.14747e+07 1.14848e+07 
2.47710e-03 2.38029e+04  1.17183e+07 1.17265e+07 
2.50314e-03 2.25293e+04  1.19647e+07 1.19717e+07 
2.52917e-03 2.19884e+04  1.22140e+07 1.22204e+07 
2.55521e-03 2.22471e+04  1.24662e+07 1.24728e+07 
2.58124e-03 2.33465e+04  1.27209e+07 1.27287e+07 
2.60727e-03 2.52327e+04  1.29781e+07 1.29876e+07 
2.63330e-03 2.76905e+04  1.32374e+07 1.32494e+07 
2.65933e-03 3.03476e+04  1.34989e+07 1.35136e+07 
2.68536e-03 3.27689e+04  1.37628e+07 1.37800e+07 
2.71140e-03 3.45948e+04  1.40293e+07 1.40482e+07 
2.73743e-03 3.56493e+04  1.42983e+07 1.43183e+07 
2.76346e-03 3.59596e+04  1.45700e+07 1.45903e+07 
2.78949e-03 3.56888e+04  1.48442e+07 1.48643e+07 
2.81551e-03 3.50368e+04  1.51210e+07 1.51404e+07 
2.84154e-03 3.41693e+04  1.54005e+07 1.54190e+07 
2.86756e-03 3.32074e+04  1.56826e+07 1.57002e+07 
2.89358e-03 3.22558e+04  1.59674e+07 1.59840e+07 
2.91960e-03 3.14239e+04  1.62548e+07 1.62706e+07 
2.94563e-03 3.08079e+04  1.65447e+07 1.65599e+07 
2.97164e-03 3.04410e+04  1.68369e+07 1.68517e+07 
2.99766e-03 3.02519e+04  1.71313e+07 1.71460e+07 
3.02368e-03 3.00729e+04  1.74281e+07 1.74425e+07 
3.04970e-03 2.97060e+04  1.77273e+07 1.77414e+07 
3.07572e-03 2.90157e+04  1.80291e+07 1.80425e+07 
3.10173e-03 2.79969e+04  1.83336e+07 1.83460e+07 
3.12775e-03 2.67837e+04  1.86409e+07 1.86520e+07 
3.15376e-03 2.56003e+04  1.89509e+07 1.89608e+07 
3.17978e-03 2.46888e+04  1.92635e+07 1.92726e+07 
3.20579e-03 2.42505e+04  1.95788e+07 1.95874e+07 
3.23181e-03 2.44210e+04  1.98966e+07 1.99054e+07 
3.25782e-03 2.52660e+04  2.02169e+07 2.02265e+07 
3.28383e-03 2.67766e+04  2.05395e+07 2.05506e+07 
3.30984e-03 2.88486e+04  2.08644e+07 2.08776e+07 
3.33585e-03 3.12617e+04  2.11915e+07 2.12071e+07 
3.36186e-03 3.36832e+04  2.15209e+07 2.15389e+07 
3.38787e-03 3.57200e+04  2.18527e+07 2.18728e+07 
3.41388e-03 3.70113e+04  2.21872e+07 2.22086e+07 
3.43989e-03 3.73291e+04  2.25245e+07 2.25462e+07 
3.46590e-03 3.66430e+04  2.28646e+07 2.28856e+07 
3.49190e-03 3.51212e+04  2.32075e+07 2.32270e+07 
3.51791e-03 3.30728e+04  2.35530e+07 2.35704e+07 
3.54391e-03 3.08600e+04  2.39009e+07 2.39161e+07 
3.56991e-03 2.88171e+04  2.42512e+07 2.42644e+07 
3.59591e-03 2.71978e+04  2.46038e+07 2.46154e+07 
3.62191e-03 2.61521e+04  2.49588e+07 2.49693e+07 
3.64791e-03 2.57221e+04  2.53160e+07 2.53261e+07 
3.67391e-03 2.58457e+04  2.56757e+07 2.56859e+07 
3.69991e-03 2.63700e+04  2.60378e+07 2.60486e+07 
3.72590e-03 2.70835e+04  2.64026e+07 2.64140e+07 
3.75190e-03 2.77678e+04  2.67700e+07 2.67822e+07 
3.77790e-03 2.82600e+04  2.71403e+07 2.71530e+07 
3.80389e-03 2.85018e+04  2.75133e+07 2.75262e+07 
3.82989e-03 2.85510e+04  2.78889e+07 2.79019e+07 
3.85588e-03 2.85501e+04  2.82670e+07 2.82800e+07 
3.88188e-03 2.86634e+04  2.86475e+07 2.86605e+07 
3.90787e-03 2.90115e+04  2.90302e+07 2.90436e+07 
3.93386e-03 2.96315e+04  2.94152e+07 2.94292e+07 
3.95986e-03 3.04719e+04  2.98025e+07 2.98173e+07 
3.98585e-03 3.14175e+04  3.01922e+07 3.02080e+07 
4.01184e-03 3.23246e+04  3.05845e+07 3.06012e+07 
4.03782e-03 3.30510e+04  3.09794e+07 3.09968e+07 
4.06381e-03 3.34757e+04  3.13769e+07 3.13948e+07 
4.08980e-03 3.35111e+04  3.17770e+07 3.17949e+07 
4.11578e-03 3.31154e+04  3.21797e+07 3.21972e+07 
4.14177e-03 3.23039e+04  3.25850e+07 3.26017e+07 
4.16775e-03 3.11555e+04  3.29927e+07 3.30083e+07 
4.19374e-03 2.98041e+04  3.34030e+07 3.34171e+07 
4.21972e-03 2.84159e+04  3.38156e+07 3.38284e+07 
4.24570e-03 2.71570e+04  3.42306e+07 3.42421e+07 
4.27168e-03 2.61650e+04  3.46480e+07 3.46585e+07 
4.29766e-03 2.55342e+04  3.50678e+07 3.50778e+07 
4.32364e-03 2.53139e+04  3.54902e+07 3.54999e+07 
4.34962e-03 2.55141e+04  3.59152e+07 3.59251e+07 
4.37559e-03 2.61094e+04  3.63426e+07 3.63531e+07 
4.40157e-03 2.70362e+04  3.67727e+07 3.67841e+07 
4.42755e-03 2.81900e+04  3.72052e+07 3.72177e+07 
4.45352e-03 2.94290e+04  3.76402e+07 3.76540e+07 
4.47950e-03 3.05939e+04  3.80777e+07 3.80926e+07 
4.50547e-03 3.15377e+04  3.85177e+07 3.85336e+07 
4.53145e-03 3.21590e+04  3.89602e+07 3.89767e+07 
4.55742e-03 3.24224e+04  3.94052e+07 3.94220e+07 
4.58339e-03 3.23593e+04  3.98526e+07 3.98694e+07 
4.60936e-03 3.20496e+04  4.03025e+07 4.03189e+07 
4.63533e-03 3.15938e+04  4.07548e+07 4.07708e+07 
4.66130e-03 3.10859e+04  4.12095e+07 4.12250e+07 
4.68727e-03 3.05952e+04  4.16666e+07 4.16816e+07 
4.71324e-03 3.01592e+04  4.21262e+07 4.21407e+07 
4.73920e-03 2.97844e+04  4.25882e+07 4.26024e+07 
4.76517e-03 2.94520e+04  4.30528e+07 4.30667e+07 
4.79113e-03 2.91283e+04  4.35200e+07 4.35335e+07 
4.81710e-03 2.87781e+04  4.39897e+07 4.40028e+07 
4.84306e-03 2.83812e+04  4.44619e+07 4.44747e+07 
4.86902e-03 2.79457e+04  4.49367e+07 4.49490e+07 
4.89499e-03 2.75134e+04  4.54139e+07 4.54258e+07 
4.92095e-03 2.71528e+04  4.58936e+07 4.59051e+07 
4.94691e-03 2.69405e+04  4.63756e+07 4.63870e+07 
4.97286e-03 2.69380e+04  4.68600e+07 4.68713e+07 
4.99882e-03 2.71724e+04  4.73468e+07 4.73583e+07 
5.02478e-03 2.76302e+04  4.78360e+07 4.78480e+07 
5.05074e-03 2.82638e+04  4.83277e+07 4.83404e+07 
5.07669e-03 2.90057e+04  4.88220e+07 4.88354e+07 
5.10265e-03 2.97849e+04  4.93188e+07 4.93330e+07 
5.12860e-03 3.05358e+04  4.98182e+07 4.98332e+07 
5.15456e-03 3.12019e+04  5.03202e+07 5.03358e+07 
5.18051e-03 3.17339e+04  5.08246e+07 5.08407e+07 
5.20647e-03 3.20889e+04  5.13314e+07 5.13479e+07 
5.23242e-03 3.22328e+04  5.18406e+07 5.18572e+07 
5.25837e-03 3.21452e+04  5.23521e+07 5.23687e+07 
5.28432e-03 3.18258e+04  5.28661e+07 5.28823e+07 
5.31027e-03 3.12980e+04  5.33825e+07 5.33982e+07 
5.33622e-03 3.06090e+04  5.39013e+07 5.39163e+07 
5.36216e-03 2.98263e+04  5.44227e+07 5.44369e+07 
5.38811e-03 2.90306e+04  5.49465e+07 5.49599e+07 
5.41405e-03 2.83060e+04  5.54729e+07 5.54856e+07 
5.44000e-03 2.77276e+04  5.60017e+07 5.60138e+07 
5.46594e-03 2.73479e+04  5.65330e+07 5.65448e+07 
5.49189e-03 2.71853e+04  5.70667e+07 5.70783e+07 
5.51783e-03 2.72191e+04  5.76029e+07 5.76145e+07 
5.54377e-03 2.73953e+04  5.81414e+07 5.81532e+07 
5.56971e-03 2.76418e+04  5.86825e+07 5.86945e+07 
5.59565e-03 2.78915e+04  5.92260e+07 5.92383e+07 
5.62159e-03 2.81032e+04  5.97720e+07 5.97845e+07 
5.64753e-03 2.82735e+04  6.03205e+07 6.03332e+07 
5.67347e-03 2.84355e+04  6.08715e+07 6.08843e+07 
5.69941e-03 2.86438e+04  6.14249e+07 6.14379e+07 
5.72534e-03 2.89520e+04  6.19807e+07 6.19940e+07 
5.75128e-03 2.93906e+04  6.25389e+07 6.25527e+07 
5.77721e-03 2.99519e+04  6.30994e+07 6.31138e+07 
5.80315e-03 3.05871e+04  6.36624e+07 6.36774e+07 
5.82908e-03 3.12152e+04  6.42278e+07 6.42435e+07 
5.85502e-03 3.17402e+04  6.47958e+07 6.48119e+07 
5.88095e-03 3.20736e+04  6.53662e+07 6.53827e+07 
5.90688e-03 3.21542e+04  6.59393e+07 6.59558e+07 
5.93281e-03 3.19631e+04  6.65148e+07 6.65312e+07 
5.95874e-03 3.15269e+04  6.70928e+07 6.71087e+07 
5.98467e-03 3.09107e+04  6.76733e+07 6.76886e+07 
6.01060e-03 3.02010e+04  6.82560e+07 6.82706e+07 
6.03652e-03 2.94840e+04  6.88411e+07 6.88549e+07 
6.06245e-03 2.88259e+04  6.94284e+07 6.94416e+07 
6.08838e-03 2.82624e+04  7.00181e+07 7.00308e+07 
6.11430e-03 2.77987e+04  7.06102e+07 7.06224e+07 
6.14022e-03 2.74211e+04  7.12048e+07 7.12166e+07 
6.16615e-03 2.71133e+04  7.18020e+07 7.18135e+07 
6.19207e-03 2.68718e+04  7.24017e+07 7.24130e+07 
6.21799e-03 2.67133e+04  7.30040e+07 7.30152e+07 
6.24391e-03 2.66722e+04  7.36089e+07 7.36200e+07 
6.26983e-03 2.67891e+04  7.42162e+07 7.42274e+07 
6.29575e-03 2.70958e+04  7.48259e+07 7.48374e+07 
6.32167e-03 2.76012e+04  7.54380e+07 7.54499e+07 
6.34759e-03 2.82827e+04  7.60523e+07 7.60649e+07 
6.37351e-03 2.90868e+04  7.66689e+07 7.66824e+07 
6.39942e-03 2.99372e+04  7.72878e+07 7.73022e+07 
6.42534e-03 3.07489e+04  7.79092e+07 7.79244e+07 
6.45126e-03 3.14434e+04  7.85331e+07 7.85489e+07 
6.47717e-03 3.19627e+04  7.91594e+07 7.91758e+07 
6.50308e-03 3.22759e+04  7.97883e+07 7.98050e+07 
6.52900e-03 3.23800e+04  8.04198e+07 8.04365e+07 
6.55491e-03 3.22924e+04  8.10537e+07 8.10704e+07 
6.58082e-03 3.20406e+04  8.16900e+07 8.17065e+07 
6.60673e-03 3.16521e+04  8.23288e+07 8.23448e+07 
6.63264e-03 3.11476e+04  8.29699e+07 8.29854e+07 
6.65855e-03 3.05414e+04  8.36133e+07 8.36282e+07 
6.68445e-03 2.98470e+04  8.42591e+07 8.42733e+07 
6.71036e-03 2.90850e+04  8.49072e+07 8.49207e+07 
6.73626e-03 2.82897e+04  8.55578e+07 8.55705e+07 
6.76217e-03 2.75110e+04  8.62107e+07 8.62226e+07 
6.78807e-03 2.68102e+04  8.68661e+07 8.68773e+07 
6.81397e-03 2.62512e+04  8.75239e+07 8.75346e+07 
6.83987e-03 2.58896e+04  8.81842e+07 8.81945e+07 
6.86578e-03 2.57641e+04  8.88470e+07 8.88572e+07 
6.89168e-03 2.58909e+04  8.95123e+07 8.95225e+07 
6.91758e-03 2.62628e+04  9.01800e+07 9.01906e+07 
6.94348e-03 2.68532e+04  9.08502e+07 9.08614e+07 
6.96938e-03 2.76201e+04  9.15228e+07 9.15348e+07 
6.99528e-03 2.85121e+04  9.21977e+07 9.22106e+07 
7.02117e-03 2.94721e+04  9.28751e+07 9.28889e+07 
7.04707e-03 3.04386e+04  9.35548e+07 9.35696e+07 
7.07296e-03 3.13474e+04  9.42367e+07 9.42525e+07 
7.09886e-03 3.21317e+04  9.49211e+07 9.49376e+07 
7.12475e-03 3.27255e+04  9.56077e+07 9.56249e+07 
7.15065e-03 3.30690e+04  9.62968e+07 9.63143e+07 
7.17654e-03 3.31181e+04  9.69884e+07 9.70059e+07 
7.20243e-03 3.28536e+04  9.76824e+07 9.76997e+07 
7.22832e-03 3.22898e+04  9.83790e+07 9.83957e+07 
7.25421e-03 3.14782e+04  9.90781e+07 9.90940e+07 
7.28010e-03 3.05022e+04  9.97796e+07 9.97945e+07 
7.30599e-03 2.94654e+04  1.00484e+08 1.00497e+08 
7.33187e-03 2.84741e+04  1.01190e+08 1.01203e+08 
7.35776e-03 2.76186e+04  1.01898e+08 1.01910e+08 
7.38364e-03 2.69591e+04  1.02609e+08 1.02621e+08 
7.40953e-03 2.65190e+04  1.03322e+08 1.03333e+08 
7.43541e-03 2.62887e+04  1.04038e+08 1.04048e+08 
7.46129e-03 2.62367e+04  1.04756e+08 1.04766e+08 
7.48718e-03 2.63254e+04  1.05476e+08 1.05487e+08 
7.51306e-03 2.65256e+04  1.06199e+08 1.06210e+08 
7.53894e-03 2.68251e+04  1.06924e+08 1.06936e+08 
7.56482e-03 2.72294e+04  1.07652e+08 1.07664e+08 
7.59070e-03 2.77529e+04  1.08383e+08 1.08395e+08 
7.61658e-03 2.84054e+04  1.09116e+08 1.09128e+08 
7.64246e-03 2.91777e+04  1.09851e+08 1.09864e+08 
7.66834e-03 3.00308e+04  1.10588e+08 1.10602e+08 
7.69421e-03 3.08951e+04  1.11327e+08 1.11343e+08 
7.72009e-03 3.16780e+04  1.12069e+08 1.12085e+08 
7.74596e-03 3.22808e+04  1.12814e+08 1.12830e+08 
7.77184e-03 3.26190e+04  1.13560e+08 1.13577e+08 
7.79771e-03 3.26414e+04  1.14309e+08 1.14326e+08 
7.82358e-03 3.23413e+04  1.15061e+08 1.15078e+08 
