1.23266e-04 4.17412e+04  3.43020e+04 3.43020e+04 
2.46531e-04 6.01305e+04  1.04528e+05 1.24812e+05 
3.69766e-04 5.15584e+04  2.45561e+05 2.56006e+05 
4.92962e-04 3.83184e+04  4.37905e+05 4.37394e+05 
6.16142e-04 3.79579e+04  6.89791e+05 6.89383e+05 
7.39324e-04 4.74780e+04  1.00426e+06 1.01142e+06 
8.62493e-04 5.61829e+04  1.36782e+06 1.38477e+06 
9.85628e-04 4.41127e+04  1.79820e+06 1.80238e+06 
1.10873e-03 3.81634e+04  2.27762e+06 2.27820e+06 
1.23183e-03 4.04609e+04  2.82245e+06 2.82392e+06 
1.35493e-03 5.07035e+04  3.41992e+06 3.43150e+06 
1.47800e-03 5.02948e+04  4.07594e+06 4.08707e+06 
1.60104e-03 4.08625e+04  4.79008e+06 4.79236e+06 
1.72406e-03 3.89375e+04  5.55909e+06 5.56035e+06 
1.84707e-03 4.38850e+04  6.38947e+06 6.39444e+06 
1.97007e-03 5.04634e+04  7.27231e+06 7.28414e+06 
2.09305e-03 4.54941e+04  8.21551e+06 8.22217e+06 
2.21600e-03 3.99278e+04  9.21293e+06 9.21504e+06 
2.33893e-03 4.06196e+04  1.02691e+07 1.02717e+07 
2.46186e-03 4.63998e+04  1.13817e+07 1.13895e+07 
2.58477e-03 4.81280e+04  1.25498e+07 1.25594e+07 
2.70765e-03 4.26618e+04  1.37758e+07 1.37801e+07 
2.83051e-03 4.01964e+04  1.50566e+07 1.50591e+07 
2.95336e-03 4.27532e+04  1.63958e+07 1.64003e+07 
3.07619e-03 4.71058e+04  1.77897e+07 1.77984e+07 
3.19901e-03 4.54582e+04  1.92406e+07 1.92476e+07 
3.32180e-03 4.14508e+04  2.07470e+07 2.07505e+07 
3.44457e-03 4.11948e+04  2.23097e+07 2.23130e+07 
3.56733e-03 4.44945e+04  2.39288e+07 2.39351e+07 
3.69008e-03 4.63292e+04  2.56030e+07 2.56110e+07 
3.81280e-03 4.34712e+04  2.73335e+07 2.73388e+07 
3.93550e-03 4.13032e+04  2.91191e+07 2.91226e+07 
4.05819e-03 4.25166e+04  3.09611e+07 3.09656e+07 
4.18086e-03 4.52705e+04  3.28581e+07 3.28652e+07 
4.30352e-03 4.49463e+04  3.48106e+07 3.48174e+07 
4.42615e-03 4.23974e+04  3.68184e+07 3.68229e+07 
4.54876e-03 4.17994e+04  3.88815e+07 3.88854e+07 
4.67136e-03 4.36693e+04  4.10001e+07 4.10057e+07 
4.79394e-03 4.51011e+04  4.31734e+07 4.31804e+07 
4.91651e-03 4.36851e+04  4.54020e+07 4.54076e+07 
5.03905e-03 4.20826e+04  4.76852e+07 4.76894e+07 
5.16158e-03 4.25868e+04  5.00236e+07 5.00283e+07 
5.28409e-03 4.42896e+04  5.24167e+07 5.24230e+07 
5.40658e-03 4.44047e+04  5.48645e+07 5.48708e+07 
5.52906e-03 4.28786e+04  5.73668e+07 5.73717e+07 
5.65151e-03 4.22788e+04  5.99236e+07 5.99280e+07 
5.77395e-03 4.33238e+04  6.25351e+07 6.25404e+07 
5.89637e-03 4.43227e+04  6.52008e+07 6.52071e+07 
6.01878e-03 4.36373e+04  6.79208e+07 6.79264e+07 
6.14116e-03 4.25567e+04  7.06950e+07 7.06996e+07 
6.26353e-03 4.27268e+04  7.35234e+07 7.35282e+07 
6.38588e-03 4.37633e+04  7.64058e+07 7.64116e+07 
6.50822e-03 4.39701e+04  7.93422e+07 7.93481e+07 
6.63053e-03 4.30786e+04  8.23324e+07 8.23375e+07 
6.75283e-03 4.26029e+04  8.53765e+07 8.53811e+07 
6.87511e-03 4.31828e+04  8.84743e+07 8.84795e+07 
6.99737e-03 4.38400e+04  9.16258e+07 9.16316e+07 
7.11962e-03 4.35064e+04  9.48308e+07 9.48363e+07 
7.24185e-03 4.28130e+04  9.80893e+07 9.80942e+07 
7.36406e-03 4.28475e+04  1.01401e+08 1.01406e+08 
7.48625e-03 4.34722e+04  1.04767e+08 1.04772e+08 
7.60843e-03 4.36532e+04  1.08185e+08 1.08191e+08 
7.73058e-03 4.31331e+04  1.11657e+08 1.11662e+08 
7.85272e-03 4.27968e+04  1.15182e+08 1.15186e+08 
7.97485e-03 4.31208e+04  1.18759e+08 1.18765e+08 
8.09695e-03 4.35372e+04  1.22390e+08 1.22396e+08 
8.21904e-03 4.33677e+04  1.26074e+08 1.26079e+08 
8.34111e-03 4.29340e+04  1.29810e+08 1.29815e+08 
8.46316e-03 4.29251e+04  1.33600e+08 1.33605e+08 
8.58520e-03 4.32999e+04  1.37441e+08 1.37447e+08 
8.70722e-03 4.34281e+04  1.41336e+08 1.41341e+08 
8.82922e-03 4.31203e+04  1.45283e+08 1.45288e+08 
8.95120e-03 4.28981e+04  1.49282e+08 1.49287e+08 
9.07317e-03 4.30832e+04  1.53333e+08 1.53339e+08 
9.19512e-03 4.33395e+04  1.57437e+08 1.57443e+08 
9.31705e-03 4.32454e+04  1.61593e+08 1.61599e+08 
9.43897e-03 4.29772e+04  1.65801e+08 1.65806e+08 
9.56086e-03 4.29616e+04  1.70062e+08 1.70067e+08 
9.68274e-03 4.31864e+04  1.74374e+08 1.74379e+08 
9.80461e-03 4.32663e+04  1.78738e+08 1.78743e+08 
9.92645e-03 4.30795e+04  1.83153e+08 1.83159e+08 
1.00000e-02 4.29504e+04  1.85845e+08 1.85850e+08 
