Global Internal Force:
-1.7140E-07  1.9160E-07  5.7097E-08 
-9.5001E-08 -1.9319E-07 -1.5801E-07 
 8.3224E-07  2.2112E-08  1.2269E-06 
 9.8311E-07 -4.8839E-09  1.0650E-06 
 1.1799E-07 -1.5481E-07 -6.7937E-07 
 2.0813E-07  2.0610E-07 -7.0733E-07 
 2.4436E-07  2.3896E-07 -1.0025E-08 
 2.8208E-07 -2.1027E-07 -7.0601E-08 
 6.4310E-08  5.5472E-08  1.0740E-07 
 5.8857E-08 -1.9030E-08  1.1962E-07 
-4.6016E-07  5.5957E-07 -4.4372E-07 
-3.6176E-07 -6.2470E-07 -5.0078E-07 
-1.3135E-07  1.0322E-06 -5.2728E-07 
-5.2062E-07 -1.1161E-06 -8.4165E-07 
-8.4905E-08  1.0473E-06  1.8118E-07 
-2.3705E-07 -1.0653E-06  3.1591E-07 

Global Reaction Force:
 0.0000E+00  0.0000E+00  5.7097E-08 
 0.0000E+00  0.0000E+00 -1.5801E-07 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  1.0740E-07 
 0.0000E+00  0.0000E+00  1.1962E-07 
 0.0000E+00  0.0000E+00 -4.4372E-07 
 0.0000E+00  0.0000E+00 -5.0078E-07 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 

Global Residual Force:
-1.7140E-07  1.9160E-07  5.7097E-08 
-9.5001E-08 -1.9319E-07 -1.5801E-07 
 8.3224E-07  2.2112E-08  1.2269E-06 
 9.8311E-07 -4.8839E-09  1.0650E-06 
 1.1799E-07 -1.5481E-07 -6.7937E-07 
 2.0813E-07  2.0610E-07 -7.0733E-07 
 2.4436E-07  2.3896E-07 -1.0025E-08 
 2.8208E-07 -2.1027E-07 -7.0601E-08 
 6.4310E-08  5.5472E-08  1.0740E-07 
 5.8857E-08 -1.9030E-08  1.1962E-07 
-4.6016E-07  5.5957E-07 -4.4372E-07 
-3.6176E-07 -6.2470E-07 -5.0078E-07 
-1.3135E-07  1.0322E-06 -5.2728E-07 
-5.2062E-07 -1.1161E-06 -8.4165E-07 
-8.4905E-08  1.0473E-06  1.8118E-07 
-2.3705E-07 -1.0653E-06  3.1591E-07 
s0
Global Internal Force:
-3.2593E-07  8.6408E-09  1.1383E-07 
-2.0321E-07 -4.8278E-08 -9.3283E-08 
 6.7089E-07  2.8763E-08  1.0562E-06 
 7.3524E-07  1.7744E-07  1.0440E-06 
 2.5326E-07 -6.3477E-08 -7.0181E-07 
 1.8161E-07  1.5965E-07 -6.1464E-07 
 3.1792E-07  3.3009E-07 -1.4095E-08 
 2.0850E-07 -1.9007E-07 -6.6531E-08 
 7.9324E-08  8.8456E-08  1.1444E-07 
 4.3838E-08 -8.8989E-09  1.1257E-07 
-2.7791E-07 -3.5818E-08 -2.3295E-07 
-1.3116E-07  7.5456E-08 -2.6981E-07 
-4.5998E-08  7.4923E-07 -8.1013E-07 
-4.9697E-07 -8.8872E-07 -9.3030E-07 
 9.8161E-09  9.2778E-07  1.0871E-07 
-2.9040E-07 -1.1240E-06  3.1814E-07 

Global Reaction Force:
 0.0000E+00  0.0000E+00  1.7093E-07 
 0.0000E+00  0.0000E+00 -2.5130E-07 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  2.2184E-07 
 0.0000E+00  0.0000E+00  2.3219E-07 
 0.0000E+00  0.0000E+00 -6.7667E-07 
 0.0000E+00  0.0000E+00 -7.7060E-07 
