2.85615e-05 1.38396e+03  1.04990e+03 1.04990e+03 
5.71229e-05 2.09903e+03  2.18182e+03 2.97329e+03 
8.56844e-05 2.82544e+03  3.47530e+03 5.04438e+03 
1.14229e-04 4.37945e+03  4.73243e+03 7.83867e+03 
1.42773e-04 5.95149e+03  6.03052e+03 1.07220e+04 
1.71325e-04 6.96238e+03  7.35969e+03 1.31314e+04 
1.99872e-04 7.39554e+03  9.31088e+03 1.55253e+04 
2.28421e-04 6.96096e+03  1.22574e+04 1.80603e+04 
2.56970e-04 5.59476e+03  1.62289e+04 2.06110e+04 
2.85516e-04 4.19603e+03  2.03105e+04 2.32565e+04 
3.14056e-04 3.17806e+03  2.39915e+04 2.59682e+04 
3.42589e-04 2.29615e+03  2.77528e+04 2.88545e+04 
3.71126e-04 1.65772e+03  3.18334e+04 3.23167e+04 
3.99666e-04 1.38408e+03  3.63802e+04 3.66109e+04 
4.28206e-04 1.32769e+03  4.17102e+04 4.19092e+04 
4.56745e-04 1.46852e+03  4.80914e+04 4.83965e+04 
4.85281e-04 2.23229e+03  5.48948e+04 5.58943e+04 
5.13813e-04 3.87412e+03  6.12413e+04 6.39204e+04 
5.42342e-04 5.77596e+03  6.74620e+04 7.20688e+04 
5.70867e-04 7.15165e+03  7.40305e+04 8.00347e+04 
5.99395e-04 7.55841e+03  8.12290e+04 8.76437e+04 
6.27923e-04 7.01181e+03  8.91208e+04 9.50042e+04 
6.56451e-04 5.66811e+03  9.78642e+04 1.02387e+05 
6.84979e-04 4.01964e+03  1.07169e+05 1.09999e+05 
7.13500e-04 2.81484e+03  1.16347e+05 1.17949e+05 
7.42017e-04 2.37828e+03  1.25092e+05 1.26304e+05 
7.70533e-04 2.19228e+03  1.34042e+05 1.35110e+05 
7.99050e-04 1.77033e+03  1.43818e+05 1.44457e+05 
8.27569e-04 1.36527e+03  1.54349e+05 1.54572e+05 
8.56087e-04 1.37946e+03  1.65474e+05 1.65715e+05 
8.84603e-04 1.89900e+03  1.77195e+05 1.77926e+05 
9.13117e-04 3.10381e+03  1.89051e+05 1.90948e+05 
9.41625e-04 5.04623e+03  2.00509e+05 2.04372e+05 
9.70128e-04 6.97512e+03  2.11911e+05 2.17758e+05 
9.98632e-04 7.82802e+03  2.24054e+05 2.30767e+05 
1.02714e-03 7.32408e+03  2.37153e+05 2.43339e+05 
1.05565e-03 5.96904e+03  2.50887e+05 2.55703e+05 
1.08415e-03 4.33446e+03  2.65010e+05 2.68182e+05 
1.11266e-03 2.86868e+03  2.79347e+05 2.81031e+05 
1.14116e-03 2.03841e+03  2.93561e+05 2.94406e+05 
1.16965e-03 1.96768e+03  3.07561e+05 3.08381e+05 
1.19815e-03 2.08177e+03  3.22007e+05 3.22987e+05 
1.22664e-03 1.84056e+03  3.37552e+05 3.38270e+05 
1.25514e-03 1.55109e+03  3.53920e+05 3.54309e+05 
1.28363e-03 1.80457e+03  3.70532e+05 3.71172e+05 
1.31213e-03 2.71205e+03  3.87293e+05 3.88836e+05 
1.34062e-03 4.17899e+03  4.04115e+05 4.07109e+05 
1.36911e-03 6.02220e+03  4.20802e+05 4.25664e+05 
1.39759e-03 7.53552e+03  4.37716e+05 4.44138e+05 
1.42608e-03 7.81400e+03  4.55545e+05 4.62252e+05 
1.45456e-03 6.68824e+03  4.74387e+05 4.79930e+05 
1.48305e-03 4.86084e+03  4.93677e+05 4.97361e+05 
1.51153e-03 3.16040e+03  5.12939e+05 5.14925e+05 
1.54002e-03 2.01027e+03  5.32173e+05 5.33018e+05 
1.56849e-03 1.55560e+03  5.51506e+05 5.51900e+05 
1.59697e-03 1.74020e+03  5.71026e+05 5.71631e+05 
1.62544e-03 2.07468e+03  5.91147e+05 5.92120e+05 
1.65392e-03 2.04145e+03  6.12334e+05 6.13251e+05 
1.68240e-03 1.91086e+03  6.34245e+05 6.34978e+05 
1.71087e-03 2.39803e+03  6.56109e+05 6.57322e+05 
1.73934e-03 3.64864e+03  6.77789e+05 6.80278e+05 
1.76781e-03 5.24897e+03  6.99617e+05 7.03714e+05 
1.79628e-03 6.74477e+03  7.21743e+05 7.27346e+05 
1.82474e-03 7.59565e+03  7.44351e+05 7.50831e+05 
1.85320e-03 7.24116e+03  7.67812e+05 7.73939e+05 
1.88167e-03 5.70265e+03  7.92124e+05 7.96672e+05 
1.91013e-03 3.77931e+03  8.16688e+05 8.19276e+05 
1.93859e-03 2.34736e+03  8.40976e+05 8.42146e+05 
1.96705e-03 1.63434e+03  8.65169e+05 8.65661e+05 
1.99551e-03 1.42132e+03  8.89778e+05 8.90065e+05 
2.02396e-03 1.58137e+03  9.14964e+05 9.15413e+05 
2.05242e-03 1.94465e+03  9.40775e+05 9.41603e+05 
2.08087e-03 2.20706e+03  9.67396e+05 9.68468e+05 
2.10932e-03 2.49909e+03  9.94536e+05 9.95852e+05 
2.13777e-03 3.33517e+03  1.02150e+06 1.02364e+06 
2.16622e-03 4.72920e+03  1.04818e+06 1.05176e+06 
2.19467e-03 6.09358e+03  1.07517e+06 1.08014e+06 
2.22312e-03 6.93449e+03  1.10283e+06 1.10863e+06 
2.25156e-03 7.04183e+03  1.13116e+06 1.13707e+06 
2.28001e-03 6.29392e+03  1.16013e+06 1.16529e+06 
2.30845e-03 4.79585e+03  1.18963e+06 1.19326e+06 
2.33689e-03 3.09598e+03  1.21925e+06 1.22116e+06 
2.36533e-03 1.88904e+03  1.24862e+06 1.24933e+06 
2.39377e-03 1.38632e+03  1.27795e+06 1.27821e+06 
2.42221e-03 1.29293e+03  1.30791e+06 1.30810e+06 
2.45064e-03 1.44690e+03  1.33875e+06 1.33907e+06 
2.47908e-03 1.91426e+03  1.37018e+06 1.37095e+06 
2.50751e-03 2.56842e+03  1.40202e+06 1.40344e+06 
2.53594e-03 3.29436e+03  1.43415e+06 1.43627e+06 
2.56436e-03 4.29085e+03  1.46617e+06 1.46928e+06 
2.59279e-03 5.56118e+03  1.49803e+06 1.50245e+06 
2.62122e-03 6.57811e+03  1.53029e+06 1.53577e+06 
2.64964e-03 6.83297e+03  1.56346e+06 1.56918e+06 
2.67807e-03 6.30311e+03  1.59741e+06 1.60257e+06 
2.70649e-03 5.25115e+03  1.63174e+06 1.63584e+06 
2.73491e-03 3.91715e+03  1.66623e+06 1.66899e+06 
2.76332e-03 2.58797e+03  1.70080e+06 1.70222e+06 
2.79174e-03 1.68387e+03  1.73532e+06 1.73585e+06 
2.82016e-03 1.37020e+03  1.76997e+06 1.77022e+06 
2.84857e-03 1.34384e+03  1.80534e+06 1.80558e+06 
2.87699e-03 1.42991e+03  1.84169e+06 1.84199e+06 
2.90540e-03 1.90044e+03  1.87856e+06 1.87930e+06 
2.93381e-03 2.87750e+03  1.91551e+06 1.91723e+06 
2.96222e-03 4.08884e+03  1.95253e+06 1.95546e+06 
2.99063e-03 5.29494e+03  1.98960e+06 1.99374e+06 
3.01903e-03 6.30804e+03  2.02677e+06 2.03195e+06 
3.04744e-03 6.75913e+03  2.06446e+06 2.07011e+06 
3.07584e-03 6.37371e+03  2.10304e+06 2.10830e+06 
3.10425e-03 5.34866e+03  2.14238e+06 2.14658e+06 
3.13265e-03 4.19312e+03  2.18194e+06 2.18496e+06 
3.16104e-03 3.22307e+03  2.22138e+06 2.22345e+06 
3.18944e-03 2.40308e+03  2.26087e+06 2.26213e+06 
3.21783e-03 1.73040e+03  2.30061e+06 2.30120e+06 
3.24623e-03 1.36697e+03  2.34071e+06 2.34096e+06 
3.27462e-03 1.30125e+03  2.38149e+06 2.38169e+06 
3.30302e-03 1.46031e+03  2.42314e+06 2.42347e+06 
3.33141e-03 2.08042e+03  2.46526e+06 2.46617e+06 
3.35980e-03 3.33559e+03  2.50728e+06 2.50944e+06 
3.38818e-03 4.85942e+03  2.54919e+06 2.55290e+06 
3.41656e-03 6.08395e+03  2.59131e+06 2.59626e+06 
3.44495e-03 6.70074e+03  2.63387e+06 2.63945e+06 
3.47333e-03 6.61372e+03  2.67702e+06 2.68252e+06 
3.50172e-03 5.82665e+03  2.72090e+06 2.72561e+06 
3.53010e-03 4.57325e+03  2.76541e+06 2.76884e+06 
3.55848e-03 3.36704e+03  2.81008e+06 2.81227e+06 
3.58685e-03 2.60977e+03  2.85453e+06 2.85597e+06 
3.61523e-03 2.18597e+03  2.89897e+06 2.90003e+06 
3.64360e-03 1.79963e+03  2.94392e+06 2.94460e+06 
3.67197e-03 1.49518e+03  2.98949e+06 2.98986e+06 
3.70034e-03 1.44179e+03  3.03566e+06 3.03598e+06 
3.72872e-03 1.67558e+03  3.08246e+06 3.08300e+06 
3.75709e-03 2.36255e+03  3.12963e+06 3.13083e+06 
3.78546e-03 3.69159e+03  3.17669e+06 3.17922e+06 
3.81382e-03 5.35585e+03  3.22362e+06 3.22783e+06 
3.84218e-03 6.63595e+03  3.27084e+06 3.27636e+06 
3.87054e-03 6.99755e+03  3.31872e+06 3.32460e+06 
3.89891e-03 6.40856e+03  3.36731e+06 3.37259e+06 
3.92727e-03 5.20075e+03  3.41644e+06 3.42050e+06 
3.95563e-03 3.80444e+03  3.46594e+06 3.46860e+06 
3.98399e-03 2.66765e+03  3.51559e+06 3.51709e+06 
4.01234e-03 2.13099e+03  3.56510e+06 3.56607e+06 
4.04069e-03 2.06131e+03  3.61463e+06 3.61558e+06 
4.06905e-03 1.95961e+03  3.66476e+06 3.66561e+06 
4.09740e-03 1.67418e+03  3.71570e+06 3.71626e+06 
4.12575e-03 1.54848e+03  3.76722e+06 3.76763e+06 
4.15410e-03 1.88628e+03  3.81908e+06 3.81982e+06 
4.18245e-03 2.77056e+03  3.87115e+06 3.87277e+06 
4.21080e-03 4.16371e+03  3.92323e+06 3.92623e+06 
4.23914e-03 5.74612e+03  3.97527e+06 3.97988e+06 
4.26748e-03 6.87172e+03  4.02763e+06 4.03340e+06 
4.29582e-03 6.97805e+03  4.08075e+06 4.08663e+06 
4.32416e-03 6.06136e+03  4.13467e+06 4.13960e+06 
4.35251e-03 4.65380e+03  4.18899e+06 4.19249e+06 
4.38085e-03 3.30051e+03  4.24343e+06 4.24558e+06 
4.40918e-03 2.28347e+03  4.29796e+06 4.29909e+06 
4.43752e-03 1.78859e+03  4.35256e+06 4.35320e+06 
4.46585e-03 1.79961e+03  4.40728e+06 4.40796e+06 
4.49418e-03 1.92432e+03  4.46257e+06 4.46340e+06 
4.52251e-03 1.87190e+03  4.51873e+06 4.51948e+06 
4.55084e-03 1.86975e+03  4.57548e+06 4.57621e+06 
4.57917e-03 2.28911e+03  4.63239e+06 4.63353e+06 
4.60750e-03 3.22505e+03  4.68934e+06 4.69141e+06 
4.63582e-03 4.52659e+03  4.74636e+06 4.74974e+06 
4.66415e-03 5.87617e+03  4.80356e+06 4.80830e+06 
4.69247e-03 6.80271e+03  4.86116e+06 4.86685e+06 
4.72079e-03 6.82801e+03  4.91944e+06 4.92516e+06 
4.74911e-03 5.82197e+03  4.97849e+06 4.98318e+06 
4.77743e-03 4.25947e+03  5.03794e+06 5.04104e+06 
4.80575e-03 2.85167e+03  5.09735e+06 5.09905e+06 
4.83406e-03 1.94722e+03  5.15673e+06 5.15754e+06 
4.86238e-03 1.55939e+03  5.21634e+06 5.21677e+06 
4.89069e-03 1.62047e+03  5.27631e+06 5.27681e+06 
4.91900e-03 1.88448e+03  5.33681e+06 5.33759e+06 
4.94731e-03 2.04909e+03  5.39805e+06 5.39899e+06 
4.97562e-03 2.18014e+03  5.45988e+06 5.46091e+06 
5.00393e-03 2.65158e+03  5.52183e+06 5.52332e+06 
5.03224e-03 3.65054e+03  5.58368e+06 5.58618e+06 
5.06054e-03 4.93733e+03  5.64560e+06 5.64941e+06 
5.08884e-03 6.04542e+03  5.70791e+06 5.71284e+06 
5.11714e-03 6.60465e+03  5.77076e+06 5.77625e+06 
5.14544e-03 6.41464e+03  5.83420e+06 5.83950e+06 
5.17374e-03 5.42761e+03  5.89824e+06 5.90254e+06 
5.20204e-03 3.96369e+03  5.96268e+06 5.96549e+06 
5.23034e-03 2.65262e+03  6.02709e+06 6.02858e+06 
5.25863e-03 1.85604e+03  6.09139e+06 6.09211e+06 
5.28692e-03 1.49166e+03  6.15596e+06 6.15634e+06 
5.31521e-03 1.44068e+03  6.22109e+06 6.22142e+06 
5.34350e-03 1.66162e+03  6.28681e+06 6.28735e+06 
5.37179e-03 2.04366e+03  6.35310e+06 6.35402e+06 
5.40008e-03 2.52035e+03  6.41985e+06 6.42123e+06 
5.42837e-03 3.18545e+03  6.48675e+06 6.48878e+06 
5.45665e-03 4.13326e+03  6.55359e+06 6.55657e+06 
5.48493e-03 5.22111e+03  6.62047e+06 6.62457e+06 
5.51321e-03 6.05119e+03  6.68777e+06 6.69272e+06 
5.54150e-03 6.29742e+03  6.75579e+06 6.76097e+06 
5.56978e-03 5.93739e+03  6.82440e+06 6.82921e+06 
5.59806e-03 5.05981e+03  6.89340e+06 6.89733e+06 
5.62633e-03 3.80586e+03  6.96270e+06 6.96536e+06 
5.65461e-03 2.56588e+03  7.03207e+06 7.03348e+06 
5.68288e-03 1.75613e+03  7.10138e+06 7.10200e+06 
5.71115e-03 1.42363e+03  7.17091e+06 7.17123e+06 
5.73942e-03 1.39015e+03  7.24108e+06 7.24136e+06 
5.76769e-03 1.57920e+03  7.31194e+06 7.31240e+06 
5.79596e-03 2.01649e+03  7.38331e+06 7.38419e+06 
5.82423e-03 2.69905e+03  7.45493e+06 7.45649e+06 
5.85249e-03 3.56219e+03  7.52669e+06 7.52910e+06 
5.88076e-03 4.53482e+03  7.59850e+06 7.60189e+06 
5.90902e-03 5.50088e+03  7.67040e+06 7.67478e+06 
5.93728e-03 6.14346e+03  7.74269e+06 7.74774e+06 
5.96554e-03 6.11752e+03  7.81573e+06 7.82074e+06 
5.99380e-03 5.46656e+03  7.88943e+06 7.89377e+06 
6.02206e-03 4.52424e+03  7.96343e+06 7.96681e+06 
6.05031e-03 3.51210e+03  8.03754e+06 8.03991e+06 
6.07856e-03 2.57064e+03  8.11176e+06 8.11319e+06 
6.10682e-03 1.88539e+03  8.18608e+06 8.18683e+06 
6.13507e-03 1.52048e+03  8.26065e+06 8.26106e+06 
6.16332e-03 1.39143e+03  8.33579e+06 8.33608e+06 
6.19157e-03 1.47207e+03  8.41164e+06 8.41200e+06 
6.21982e-03 1.87674e+03  8.48803e+06 8.48877e+06 
