3.40414e-05 1.05876e+03  3.97175e-10 0.00000e+00 
6.80828e-05 6.36295e+03  -5.83875e+03 0.00000e+00 
1.02124e-04 1.22558e+04  -1.14461e+04 0.00000e+00 
1.36148e-04 2.41345e+04  -2.32591e+04 0.00000e+00 
1.70165e-04 4.52645e+04  -4.39058e+04 0.00000e+00 
2.04192e-04 7.10005e+04  -6.99995e+04 0.00000e+00 
2.38218e-04 9.91548e+04  -9.74860e+04 0.00000e+00 
2.72245e-04 1.47117e+05  -1.44426e+05 0.00000e+00 
3.06266e-04 2.27687e+05  -2.24114e+05 0.00000e+00 
3.40281e-04 3.36704e+05  -3.33480e+05 0.00000e+00 
3.74292e-04 4.72939e+05  -4.69442e+05 0.00000e+00 
4.08301e-04 6.57793e+05  -6.53200e+05 0.00000e+00 
4.42314e-04 9.08402e+05  -9.02585e+05 0.00000e+00 
4.76325e-04 1.22198e+06  -1.21574e+06 0.00000e+00 
5.10338e-04 1.60107e+06  -1.59394e+06 0.00000e+00 
5.44338e-04 2.06978e+06  -2.06139e+06 0.00000e+00 
5.78332e-04 2.64252e+06  -2.63319e+06 0.00000e+00 
6.12333e-04 3.31364e+06  -3.30379e+06 0.00000e+00 
6.46332e-04 4.08973e+06  -4.07863e+06 0.00000e+00 
6.80329e-04 4.99972e+06  -4.98697e+06 0.00000e+00 
7.14327e-04 6.06143e+06  -6.04748e+06 0.00000e+00 
7.48318e-04 7.27793e+06  -7.26312e+06 0.00000e+00 
7.82303e-04 8.66937e+06  -8.65313e+06 0.00000e+00 
8.16291e-04 1.02711e+07  -1.02530e+07 0.00000e+00 
8.50277e-04 1.20982e+07  -1.20786e+07 0.00000e+00 
8.84260e-04 1.41469e+07  -1.41260e+07 0.00000e+00 
9.18244e-04 1.64299e+07  -1.64075e+07 0.00000e+00 
9.52220e-04 1.89815e+07  -1.89573e+07 0.00000e+00 
9.86190e-04 2.18238e+07  -2.17980e+07 0.00000e+00 
1.02017e-03 2.49625e+07  -2.49353e+07 0.00000e+00 
1.05414e-03 2.84199e+07  -2.83907e+07 0.00000e+00 
1.08812e-03 3.22406e+07  -3.22089e+07 0.00000e+00 
1.12209e-03 3.64590e+07  -3.64249e+07 0.00000e+00 
1.15605e-03 4.10822e+07  -4.10464e+07 0.00000e+00 
1.19001e-03 4.61071e+07  -4.60698e+07 0.00000e+00 
1.22397e-03 5.15392e+07  -5.15005e+07 0.00000e+00 
1.25794e-03 5.74100e+07  -5.73693e+07 0.00000e+00 
1.29190e-03 6.37906e+07  -6.37468e+07 0.00000e+00 
1.32586e-03 7.07625e+07  -7.07152e+07 0.00000e+00 
1.35981e-03 7.83604e+07  -7.83102e+07 0.00000e+00 
