2.55311e-05 3.50220e+02  2.98096e-10 0.00000e+00 
5.10621e-05 2.42421e+03  -2.16690e+03 0.00000e+00 
7.65932e-05 5.75500e+03  -5.39239e+03 0.00000e+00 
1.02113e-04 1.22610e+04  -1.18050e+04 0.00000e+00 
1.27627e-04 2.32216e+04  -2.26537e+04 0.00000e+00 
1.53147e-04 3.64713e+04  -3.60777e+04 0.00000e+00 
1.78669e-04 4.95960e+04  -4.92207e+04 0.00000e+00 
2.04188e-04 6.56137e+04  -6.50179e+04 0.00000e+00 
2.29708e-04 8.88422e+04  -8.78636e+04 0.00000e+00 
2.55229e-04 1.21764e+05  -1.20369e+05 0.00000e+00 
2.80746e-04 1.67292e+05  -1.65613e+05 0.00000e+00 
3.06258e-04 2.28465e+05  -2.26661e+05 0.00000e+00 
3.31767e-04 3.06156e+05  -3.04337e+05 0.00000e+00 
3.57273e-04 4.00595e+05  -3.98739e+05 0.00000e+00 
3.82784e-04 5.14133e+05  -5.12180e+05 0.00000e+00 
4.08294e-04 6.51860e+05  -6.49616e+05 0.00000e+00 
4.33805e-04 8.22701e+05  -8.19889e+05 0.00000e+00 
4.59316e-04 1.03780e+06  -1.03420e+06 0.00000e+00 
4.84824e-04 1.30349e+06  -1.29926e+06 0.00000e+00 
5.10328e-04 1.61677e+06  -1.61228e+06 0.00000e+00 
5.35830e-04 1.97155e+06  -1.96703e+06 0.00000e+00 
5.61330e-04 2.36662e+06  -2.36202e+06 0.00000e+00 
5.86829e-04 2.80486e+06  -2.80008e+06 0.00000e+00 
6.12331e-04 3.29227e+06  -3.28715e+06 0.00000e+00 
6.37832e-04 3.84386e+06  -3.83802e+06 0.00000e+00 
6.63332e-04 4.48199e+06  -4.47509e+06 0.00000e+00 
6.88830e-04 5.22145e+06  -5.21356e+06 0.00000e+00 
7.14324e-04 6.06061e+06  -6.05216e+06 0.00000e+00 
7.39816e-04 6.98962e+06  -6.98096e+06 0.00000e+00 
7.65307e-04 8.00129e+06  -7.99253e+06 0.00000e+00 
7.90798e-04 9.09410e+06  -9.08521e+06 0.00000e+00 
8.16291e-04 1.02761e+07  -1.02669e+07 0.00000e+00 
8.41783e-04 1.15705e+07  -1.15605e+07 0.00000e+00 
8.67274e-04 1.30096e+07  -1.29984e+07 0.00000e+00 
8.92764e-04 1.46179e+07  -1.46054e+07 0.00000e+00 
9.18250e-04 1.64005e+07  -1.63870e+07 0.00000e+00 
9.43731e-04 1.83454e+07  -1.83314e+07 0.00000e+00 
9.69211e-04 2.04333e+07  -2.04191e+07 0.00000e+00 
9.94692e-04 2.26500e+07  -2.26357e+07 0.00000e+00 
1.02018e-03 2.49980e+07  -2.49834e+07 0.00000e+00 
1.04566e-03 2.75038e+07  -2.74883e+07 0.00000e+00 
1.07114e-03 3.02110e+07  -3.01943e+07 0.00000e+00 
1.09662e-03 3.31624e+07  -3.31442e+07 0.00000e+00 
1.12210e-03 3.63801e+07  -3.63605e+07 0.00000e+00 
1.14757e-03 3.98581e+07  -3.98374e+07 0.00000e+00 
1.17304e-03 4.35698e+07  -4.35487e+07 0.00000e+00 
1.19851e-03 4.74868e+07  -4.74655e+07 0.00000e+00 
1.22399e-03 5.15979e+07  -5.15764e+07 0.00000e+00 
1.24946e-03 5.59216e+07  -5.58994e+07 0.00000e+00 
1.27493e-03 6.05072e+07  -6.04839e+07 0.00000e+00 
1.30040e-03 6.54166e+07  -6.53916e+07 0.00000e+00 
1.32587e-03 7.06952e+07  -7.06686e+07 0.00000e+00 
1.35134e-03 7.63520e+07  -7.63239e+07 0.00000e+00 
1.37680e-03 8.23586e+07  -8.23296e+07 0.00000e+00 
1.40227e-03 8.86709e+07  -8.86414e+07 0.00000e+00 
1.42773e-03 9.52561e+07  -9.52265e+07 0.00000e+00 
1.45319e-03 1.02116e+08  -1.02086e+08 0.00000e+00 
1.47866e-03 1.09295e+08  -1.09264e+08 0.00000e+00 
1.50412e-03 1.16871e+08  -1.16838e+08 0.00000e+00 
1.52958e-03 1.24917e+08  -1.24882e+08 0.00000e+00 
1.55504e-03 1.33473e+08  -1.33436e+08 0.00000e+00 
1.58049e-03 1.42526e+08  -1.42488e+08 0.00000e+00 
1.60594e-03 1.52026e+08  -1.51987e+08 0.00000e+00 
1.63140e-03 1.61915e+08  -1.61876e+08 0.00000e+00 
1.65685e-03 1.72165e+08  -1.72125e+08 0.00000e+00 
1.68231e-03 1.82800e+08  -1.82760e+08 0.00000e+00 
1.70776e-03 1.93899e+08  -1.93857e+08 0.00000e+00 
