1.13471e-05 1.70112e+01  2.80157e-11 0.00000e+00 
2.26943e-05 2.08630e+02  -1.69873e+02 0.00000e+00 
3.40414e-05 7.58665e+02  -7.09111e+02 0.00000e+00 
4.53880e-05 1.69186e+03  -1.64081e+03 0.00000e+00 
5.67335e-05 2.93181e+03  -2.87809e+03 0.00000e+00 
6.80773e-05 4.47337e+03  -4.41266e+03 0.00000e+00 
7.94195e-05 6.43995e+03  -6.37291e+03 0.00000e+00 
9.07605e-05 8.99713e+03  -8.92632e+03 0.00000e+00 
1.02101e-04 1.22703e+04  -1.21938e+04 0.00000e+00 
1.13442e-04 1.63375e+04  -1.62509e+04 0.00000e+00 
1.24784e-04 2.12239e+04  -2.11280e+04 0.00000e+00 
1.36127e-04 2.68427e+04  -2.67456e+04 0.00000e+00 
1.47470e-04 3.29577e+04  -3.28680e+04 0.00000e+00 
1.58813e-04 3.92651e+04  -3.91848e+04 0.00000e+00 
1.70156e-04 4.55652e+04  -4.54895e+04 0.00000e+00 
1.81498e-04 5.18917e+04  -5.18139e+04 0.00000e+00 
1.92840e-04 5.85165e+04  -5.84297e+04 0.00000e+00 
2.04182e-04 6.58688e+04  -6.57644e+04 0.00000e+00 
2.15524e-04 7.44494e+04  -7.43163e+04 0.00000e+00 
2.26866e-04 8.47611e+04  -8.45895e+04 0.00000e+00 
2.38208e-04 9.72402e+04  -9.70256e+04 0.00000e+00 
2.49549e-04 1.12199e+05  -1.11943e+05 0.00000e+00 
2.60890e-04 1.29814e+05  -1.29521e+05 0.00000e+00 
2.72230e-04 1.50179e+05  -1.49857e+05 0.00000e+00 
2.83568e-04 1.73378e+05  -1.73034e+05 0.00000e+00 
2.94906e-04 1.99516e+05  -1.99159e+05 0.00000e+00 
3.06243e-04 2.28713e+05  -2.28352e+05 0.00000e+00 
3.17580e-04 2.61088e+05  -2.60727e+05 0.00000e+00 
3.28916e-04 2.96753e+05  -2.96393e+05 0.00000e+00 
3.40253e-04 3.35828e+05  -3.35467e+05 0.00000e+00 
3.51590e-04 3.78448e+05  -3.78084e+05 0.00000e+00 
3.62928e-04 4.24783e+05  -4.24412e+05 0.00000e+00 
3.74266e-04 4.75074e+05  -4.74692e+05 0.00000e+00 
3.85604e-04 5.29681e+05  -5.29283e+05 0.00000e+00 
3.96942e-04 5.89106e+05  -5.88686e+05 0.00000e+00 
4.08279e-04 6.53995e+05  -6.53548e+05 0.00000e+00 
4.19616e-04 7.25115e+05  -7.24631e+05 0.00000e+00 
4.30954e-04 8.03324e+05  -8.02792e+05 0.00000e+00 
4.42292e-04 8.89520e+05  -8.88932e+05 0.00000e+00 
4.53629e-04 9.84585e+05  -9.83933e+05 0.00000e+00 
4.64966e-04 1.08928e+06  -1.08856e+06 0.00000e+00 
4.76302e-04 1.20414e+06  -1.20336e+06 0.00000e+00 
4.87637e-04 1.32940e+06  -1.32857e+06 0.00000e+00 
4.98972e-04 1.46499e+06  -1.46412e+06 0.00000e+00 
5.10306e-04 1.61048e+06  -1.60958e+06 0.00000e+00 
5.21639e-04 1.76522e+06  -1.76430e+06 0.00000e+00 
5.32972e-04 1.92843e+06  -1.92751e+06 0.00000e+00 
5.44305e-04 2.09941e+06  -2.09849e+06 0.00000e+00 
5.55639e-04 2.27767e+06  -2.27676e+06 0.00000e+00 
5.66972e-04 2.46317e+06  -2.46225e+06 0.00000e+00 
5.78306e-04 2.65632e+06  -2.65540e+06 0.00000e+00 
5.89640e-04 2.85807e+06  -2.85713e+06 0.00000e+00 
6.00975e-04 3.06974e+06  -3.06877e+06 0.00000e+00 
6.12309e-04 3.29295e+06  -3.29193e+06 0.00000e+00 
6.23643e-04 3.52938e+06  -3.52831e+06 0.00000e+00 
6.34976e-04 3.78064e+06  -3.77950e+06 0.00000e+00 
6.46309e-04 4.04811e+06  -4.04689e+06 0.00000e+00 
6.57642e-04 4.33290e+06  -4.33160e+06 0.00000e+00 
6.68975e-04 4.63594e+06  -4.63457e+06 0.00000e+00 
6.80306e-04 4.95802e+06  -4.95657e+06 0.00000e+00 
6.91637e-04 5.29982e+06  -5.29829e+06 0.00000e+00 
7.02967e-04 5.66183e+06  -5.66023e+06 0.00000e+00 
7.14296e-04 6.04429e+06  -6.04263e+06 0.00000e+00 
7.25625e-04 6.44701e+06  -6.44530e+06 0.00000e+00 
7.36954e-04 6.86935e+06  -6.86760e+06 0.00000e+00 
7.48283e-04 7.31019e+06  -7.30842e+06 0.00000e+00 
7.59613e-04 7.76816e+06  -7.76638e+06 0.00000e+00 
7.70942e-04 8.24194e+06  -8.24016e+06 0.00000e+00 
7.82273e-04 8.73068e+06  -8.72891e+06 0.00000e+00 
