3.40414e-05 9.21657e+02  1.95210e-10 0.00000e+00 
6.80828e-05 4.35209e+03  -3.37176e+03 0.00000e+00 
1.02124e-04 1.23725e+04  -1.09675e+04 0.00000e+00 
1.36135e-04 2.79683e+04  -2.69147e+04 0.00000e+00 
1.70169e-04 4.46056e+04  -4.38474e+04 0.00000e+00 
2.04192e-04 6.59526e+04  -6.44829e+04 0.00000e+00 
2.38217e-04 9.84753e+04  -9.59096e+04 0.00000e+00 
2.72240e-04 1.51243e+05  -1.47937e+05 0.00000e+00 
3.06263e-04 2.27810e+05  -2.24727e+05 0.00000e+00 
3.40273e-04 3.33385e+05  -3.29080e+05 0.00000e+00 
3.74277e-04 4.73664e+05  -4.70266e+05 0.00000e+00 
4.08293e-04 6.43204e+05  -6.39465e+05 0.00000e+00 
4.42305e-04 8.87639e+05  -8.80499e+05 0.00000e+00 
4.76316e-04 1.21423e+06  -1.20692e+06 0.00000e+00 
5.10329e-04 1.60965e+06  -1.60143e+06 0.00000e+00 
5.44329e-04 2.09821e+06  -2.08941e+06 0.00000e+00 
5.78323e-04 2.64817e+06  -2.64041e+06 0.00000e+00 
6.12326e-04 3.27339e+06  -3.26341e+06 0.00000e+00 
6.46328e-04 4.03600e+06  -4.02412e+06 0.00000e+00 
6.80330e-04 4.96777e+06  -4.95337e+06 0.00000e+00 
7.14321e-04 6.05761e+06  -6.04318e+06 0.00000e+00 
7.48315e-04 7.30202e+06  -7.28599e+06 0.00000e+00 
7.82298e-04 8.71329e+06  -8.69677e+06 0.00000e+00 
8.16284e-04 1.02300e+07  -1.02147e+07 0.00000e+00 
8.50278e-04 1.19892e+07  -1.19682e+07 0.00000e+00 
8.84262e-04 1.40691e+07  -1.40474e+07 0.00000e+00 
9.18250e-04 1.63818e+07  -1.63579e+07 0.00000e+00 
9.52216e-04 1.90186e+07  -1.89918e+07 0.00000e+00 
9.86189e-04 2.18810e+07  -2.18568e+07 0.00000e+00 
1.02017e-03 2.49252e+07  -2.48987e+07 0.00000e+00 
1.05414e-03 2.83059e+07  -2.82768e+07 0.00000e+00 
1.08812e-03 3.21171e+07  -3.20843e+07 0.00000e+00 
1.12209e-03 3.63722e+07  -3.63372e+07 0.00000e+00 
1.15605e-03 4.10344e+07  -4.09973e+07 0.00000e+00 
1.19001e-03 4.61418e+07  -4.61025e+07 0.00000e+00 
1.22397e-03 5.14960e+07  -5.14604e+07 0.00000e+00 
1.25794e-03 5.72434e+07  -5.72017e+07 0.00000e+00 
1.29189e-03 6.36805e+07  -6.36352e+07 0.00000e+00 
1.32585e-03 7.06332e+07  -7.05868e+07 0.00000e+00 
1.35981e-03 7.82794e+07  -7.82257e+07 0.00000e+00 
1.39374e-03 8.65321e+07  -8.64812e+07 0.00000e+00 
1.42770e-03 9.51189e+07  -9.50672e+07 0.00000e+00 
1.46165e-03 1.04255e+08  -1.04200e+08 0.00000e+00 
1.49561e-03 1.14118e+08  -1.14058e+08 0.00000e+00 
1.52955e-03 1.24824e+08  -1.24761e+08 0.00000e+00 
1.56349e-03 1.36347e+08  -1.36281e+08 0.00000e+00 
1.59743e-03 1.48793e+08  -1.48722e+08 0.00000e+00 
1.63136e-03 1.61795e+08  -1.61729e+08 0.00000e+00 
1.66530e-03 1.75297e+08  -1.75227e+08 0.00000e+00 
1.69923e-03 1.89876e+08  -1.89800e+08 0.00000e+00 
1.73317e-03 2.05325e+08  -2.05249e+08 0.00000e+00 
1.76710e-03 2.21937e+08  -2.21850e+08 0.00000e+00 
1.80102e-03 2.39806e+08  -2.39719e+08 0.00000e+00 
1.83495e-03 2.58356e+08  -2.58270e+08 0.00000e+00 
1.86887e-03 2.77687e+08  -2.77598e+08 0.00000e+00 
1.90280e-03 2.98026e+08  -2.97933e+08 0.00000e+00 
1.93672e-03 3.19595e+08  -3.19497e+08 0.00000e+00 
1.97063e-03 3.42480e+08  -3.42378e+08 0.00000e+00 
2.00456e-03 3.66978e+08  -3.66866e+08 0.00000e+00 
2.03846e-03 3.92661e+08  -3.92554e+08 0.00000e+00 
2.07238e-03 4.19009e+08  -4.18900e+08 0.00000e+00 
2.10628e-03 4.46803e+08  -4.46687e+08 0.00000e+00 
2.14019e-03 4.75791e+08  -4.75678e+08 0.00000e+00 
2.17410e-03 5.06355e+08  -5.06228e+08 0.00000e+00 
2.20799e-03 5.39065e+08  -5.38934e+08 0.00000e+00 
2.24190e-03 5.73130e+08  -5.72999e+08 0.00000e+00 
2.27580e-03 6.08394e+08  -6.08260e+08 0.00000e+00 
2.30970e-03 6.44954e+08  -6.44818e+08 0.00000e+00 
2.34359e-03 6.83065e+08  -6.82924e+08 0.00000e+00 
2.37748e-03 7.22860e+08  -7.22716e+08 0.00000e+00 
2.41137e-03 7.65071e+08  -7.64912e+08 0.00000e+00 
2.44526e-03 8.09478e+08  -8.09321e+08 0.00000e+00 
2.47915e-03 8.55004e+08  -8.54847e+08 0.00000e+00 
2.51304e-03 9.02413e+08  -9.02247e+08 0.00000e+00 
2.54691e-03 9.51322e+08  -9.51162e+08 0.00000e+00 
2.58080e-03 1.00199e+09  -1.00182e+09 0.00000e+00 
2.61467e-03 1.05566e+09  -1.05548e+09 0.00000e+00 
2.64855e-03 1.11169e+09  -1.11151e+09 0.00000e+00 
2.68243e-03 1.16972e+09  -1.16953e+09 0.00000e+00 
2.71630e-03 1.22955e+09  -1.22936e+09 0.00000e+00 
2.75016e-03 1.29129e+09  -1.29110e+09 0.00000e+00 
2.78403e-03 1.35485e+09  -1.35466e+09 0.00000e+00 
2.81790e-03 1.42138e+09  -1.42117e+09 0.00000e+00 
2.85176e-03 1.49135e+09  -1.49114e+09 0.00000e+00 
2.88563e-03 1.56330e+09  -1.56309e+09 0.00000e+00 
2.91949e-03 1.63796e+09  -1.63774e+09 0.00000e+00 
2.95334e-03 1.71458e+09  -1.71437e+09 0.00000e+00 
2.98720e-03 1.79294e+09  -1.79272e+09 0.00000e+00 
3.02106e-03 1.87478e+09  -1.87455e+09 0.00000e+00 
3.05491e-03 1.96003e+09  -1.95979e+09 0.00000e+00 
3.08876e-03 2.04843e+09  -2.04818e+09 0.00000e+00 
3.12261e-03 2.13961e+09  -2.13936e+09 0.00000e+00 
3.15645e-03 2.23344e+09  -2.23319e+09 0.00000e+00 
3.19029e-03 2.32908e+09  -2.32883e+09 0.00000e+00 
3.22413e-03 2.42787e+09  -2.42760e+09 0.00000e+00 
3.25798e-03 2.53112e+09  -2.53084e+09 0.00000e+00 
3.29182e-03 2.63741e+09  -2.63714e+09 0.00000e+00 
3.32566e-03 2.74774e+09  -2.74745e+09 0.00000e+00 
3.35948e-03 2.86109e+09  -2.86081e+09 0.00000e+00 
3.39332e-03 2.97624e+09  -2.97596e+09 0.00000e+00 
3.42715e-03 3.09495e+09  -3.09466e+09 0.00000e+00 
3.46098e-03 3.21770e+09  -3.21740e+09 0.00000e+00 
3.49481e-03 3.34478e+09  -3.34446e+09 0.00000e+00 
3.52864e-03 3.47592e+09  -3.47560e+09 0.00000e+00 
3.56245e-03 3.61131e+09  -3.61098e+09 0.00000e+00 
3.59627e-03 3.74884e+09  -3.74853e+09 0.00000e+00 
3.63009e-03 3.88940e+09  -3.88906e+09 0.00000e+00 
3.66390e-03 4.03493e+09  -4.03459e+09 0.00000e+00 
3.69772e-03 4.18426e+09  -4.18391e+09 0.00000e+00 
3.73153e-03 4.33917e+09  -4.33881e+09 0.00000e+00 
3.76533e-03 4.49884e+09  -4.49848e+09 0.00000e+00 
3.79914e-03 4.66124e+09  -4.66087e+09 0.00000e+00 
3.83295e-03 4.82709e+09  -4.82672e+09 0.00000e+00 
3.86674e-03 4.99722e+09  -4.99684e+09 0.00000e+00 
3.90054e-03 5.17222e+09  -5.17184e+09 0.00000e+00 
3.93435e-03 5.35254e+09  -5.35214e+09 0.00000e+00 
3.96815e-03 5.53924e+09  -5.53883e+09 0.00000e+00 
4.00194e-03 5.72938e+09  -5.72898e+09 0.00000e+00 
4.03574e-03 5.92285e+09  -5.92244e+09 0.00000e+00 
4.06951e-03 6.12149e+09  -6.12107e+09 0.00000e+00 
4.10331e-03 6.32387e+09  -6.32345e+09 0.00000e+00 
4.13710e-03 6.53298e+09  -6.53254e+09 0.00000e+00 
4.17089e-03 6.74875e+09  -6.74831e+09 0.00000e+00 
4.20467e-03 6.96932e+09  -6.96887e+09 0.00000e+00 
4.23845e-03 7.19406e+09  -7.19361e+09 0.00000e+00 
4.27223e-03 7.42333e+09  -7.42287e+09 0.00000e+00 
4.30600e-03 7.65730e+09  -7.65684e+09 0.00000e+00 
4.33978e-03 7.89683e+09  -7.89636e+09 0.00000e+00 
4.37356e-03 8.14497e+09  -8.14448e+09 0.00000e+00 
4.40733e-03 8.39845e+09  -8.39797e+09 0.00000e+00 
4.44110e-03 8.65694e+09  -8.65644e+09 0.00000e+00 
4.47486e-03 8.92112e+09  -8.92063e+09 0.00000e+00 
4.50863e-03 9.18874e+09  -9.18825e+09 0.00000e+00 
4.54239e-03 9.46298e+09  -9.46246e+09 0.00000e+00 
4.57615e-03 9.74526e+09  -9.74474e+09 0.00000e+00 
4.60992e-03 1.00348e+10  -1.00342e+10 0.00000e+00 
4.64367e-03 1.03302e+10  -1.03296e+10 0.00000e+00 
4.67742e-03 1.06318e+10  -1.06312e+10 0.00000e+00 
4.71117e-03 1.09378e+10  -1.09373e+10 0.00000e+00 
4.74493e-03 1.12487e+10  -1.12481e+10 0.00000e+00 
4.77867e-03 1.15692e+10  -1.15687e+10 0.00000e+00 
4.81243e-03 1.18969e+10  -1.18963e+10 0.00000e+00 
4.84617e-03 1.22321e+10  -1.22315e+10 0.00000e+00 
4.87991e-03 1.25750e+10  -1.25744e+10 0.00000e+00 
4.91366e-03 1.29219e+10  -1.29214e+10 0.00000e+00 
4.94739e-03 1.32746e+10  -1.32740e+10 0.00000e+00 
4.98113e-03 1.36353e+10  -1.36347e+10 0.00000e+00 
5.01487e-03 1.40050e+10  -1.40044e+10 0.00000e+00 
5.04860e-03 1.43825e+10  -1.43819e+10 0.00000e+00 
5.08233e-03 1.47696e+10  -1.47689e+10 0.00000e+00 
5.11606e-03 1.51620e+10  -1.51614e+10 0.00000e+00 
5.14979e-03 1.55590e+10  -1.55584e+10 0.00000e+00 
5.18352e-03 1.59652e+10  -1.59645e+10 0.00000e+00 
5.21724e-03 1.63787e+10  -1.63780e+10 0.00000e+00 
5.25096e-03 1.68022e+10  -1.68015e+10 0.00000e+00 
5.28467e-03 1.72361e+10  -1.72354e+10 0.00000e+00 
5.31839e-03 1.76771e+10  -1.76764e+10 0.00000e+00 
5.35210e-03 1.81234e+10  -1.81227e+10 0.00000e+00 
5.38582e-03 1.85774e+10  -1.85767e+10 0.00000e+00 
5.41953e-03 1.90402e+10  -1.90394e+10 0.00000e+00 
5.45324e-03 1.95115e+10  -1.95108e+10 0.00000e+00 
5.48694e-03 1.99961e+10  -1.99953e+10 0.00000e+00 
5.52064e-03 2.04888e+10  -2.04880e+10 0.00000e+00 
5.55435e-03 2.09877e+10  -2.09869e+10 0.00000e+00 
5.58804e-03 2.14953e+10  -2.14946e+10 0.00000e+00 
5.62175e-03 2.20095e+10  -2.20088e+10 0.00000e+00 
