6.52834e-05 1.90777e+04  1.93611e+04 1.93611e+04 
1.30567e-04 4.10726e+04  3.89994e+04 6.25651e+04 
1.95850e-04 5.18111e+04  7.10977e+04 1.05875e+05 
2.61155e-04 4.32697e+04  1.20769e+05 1.45738e+05 
3.26483e-04 3.93670e+04  1.74215e+05 1.97862e+05 
3.91819e-04 3.37732e+04  2.58317e+05 2.74211e+05 
4.57179e-04 3.79752e+04  3.47819e+05 3.68385e+05 
5.22551e-04 3.77337e+04  4.45423e+05 4.66933e+05 
5.87945e-04 2.29377e+04  5.64253e+05 5.69679e+05 
6.53354e-04 1.70757e+04  6.90171e+05 6.91321e+05 
7.18769e-04 2.09504e+04  8.38830e+05 8.42794e+05 
7.84211e-04 3.67362e+04  9.97473e+05 1.01709e+06 
8.49670e-04 4.99893e+04  1.16327e+06 1.19734e+06 
9.15143e-04 4.39095e+04  1.34956e+06 1.37654e+06 
9.80637e-04 3.42836e+04  1.54567e+06 1.56391e+06 
1.04614e-03 2.79035e+04  1.76002e+06 1.77146e+06 
1.11167e-03 2.94006e+04  1.98718e+06 1.99970e+06 
1.17722e-03 3.35341e+04  2.22189e+06 2.23964e+06 
1.24278e-03 2.71595e+04  2.47615e+06 2.48688e+06 
1.30836e-03 2.13396e+04  2.74299e+06 2.74821e+06 
1.37395e-03 2.38602e+04  3.02450e+06 3.03219e+06 
1.43956e-03 3.44832e+04  3.31933e+06 3.33725e+06 
1.50520e-03 4.52996e+04  3.62302e+06 3.65262e+06 
1.57084e-03 4.19609e+04  3.94520e+06 3.97105e+06 
1.63650e-03 3.15364e+04  4.28154e+06 4.29690e+06 
1.70219e-03 2.54764e+04  4.63029e+06 4.63974e+06 
1.76789e-03 2.66428e+04  4.99257e+06 5.00296e+06 
1.83362e-03 3.08977e+04  5.36625e+06 5.38147e+06 
1.89935e-03 2.84553e+04  5.75771e+06 5.77017e+06 
1.96511e-03 2.43257e+04  6.16302e+06 6.17116e+06 
2.03088e-03 2.69682e+04  6.57911e+06 6.59021e+06 
2.09667e-03 3.46456e+04  7.00947e+06 7.02813e+06 
2.16248e-03 4.10673e+04  7.45329e+06 7.47861e+06 
2.22830e-03 3.84243e+04  7.91299e+06 7.93546e+06 
2.29414e-03 3.02987e+04  8.38592e+06 8.40013e+06 
2.36000e-03 2.52524e+04  8.87023e+06 8.87972e+06 
2.42588e-03 2.49451e+04  9.36974e+06 9.37882e+06 
2.49178e-03 2.76410e+04  9.88348e+06 9.89533e+06 
2.55769e-03 2.87925e+04  1.04117e+07 1.04246e+07 
2.62362e-03 2.86355e+04  1.09531e+07 1.09657e+07 
2.68956e-03 3.09414e+04  1.15063e+07 1.15215e+07 
2.75552e-03 3.47320e+04  1.20744e+07 1.20933e+07 
2.82150e-03 3.69683e+04  1.26569e+07 1.26781e+07 
2.88749e-03 3.42605e+04  1.32535e+07 1.32719e+07 
2.95351e-03 2.80634e+04  1.38632e+07 1.38754e+07 
3.01954e-03 2.40876e+04  1.44853e+07 1.44937e+07 
3.08558e-03 2.43057e+04  1.51224e+07 1.51311e+07 
3.15165e-03 2.75864e+04  1.57747e+07 1.57865e+07 
3.21773e-03 3.10303e+04  1.64403e+07 1.64555e+07 
3.28384e-03 3.28016e+04  1.71185e+07 1.71355e+07 
3.34995e-03 3.35230e+04  1.78093e+07 1.78272e+07 
3.41608e-03 3.29817e+04  1.85155e+07 1.85328e+07 
3.48223e-03 3.13838e+04  1.92367e+07 1.92522e+07 
3.54840e-03 2.91582e+04  1.99705e+07 1.99839e+07 
3.61458e-03 2.65230e+04  2.07171e+07 2.07279e+07 
3.68078e-03 2.50738e+04  2.14779e+07 2.14873e+07 
3.74700e-03 2.62382e+04  2.22539e+07 2.22644e+07 
3.81324e-03 3.00950e+04  2.30438e+07 2.30581e+07 
3.87950e-03 3.39940e+04  2.38461e+07 2.38644e+07 
3.94576e-03 3.43862e+04  2.46621e+07 2.46808e+07 
4.01205e-03 3.15866e+04  2.54924e+07 2.55083e+07 
4.07836e-03 2.85711e+04  2.63369e+07 2.63498e+07 
4.14468e-03 2.72922e+04  2.71950e+07 2.72066e+07 
4.21102e-03 2.72075e+04  2.80667e+07 2.80782e+07 
4.27738e-03 2.71139e+04  2.89525e+07 2.89639e+07 
4.34375e-03 2.77570e+04  2.98522e+07 2.98642e+07 
4.41015e-03 2.99040e+04  3.07655e+07 3.07798e+07 
4.47656e-03 3.24383e+04  3.16929e+07 3.17097e+07 
4.54299e-03 3.34316e+04  3.26342e+07 3.26519e+07 
4.60944e-03 3.18853e+04  3.35891e+07 3.36053e+07 
4.67590e-03 2.89153e+04  3.45576e+07 3.45709e+07 
4.74238e-03 2.65375e+04  3.55403e+07 3.55511e+07 
4.80888e-03 2.60825e+04  3.65372e+07 3.65476e+07 
4.87540e-03 2.74396e+04  3.75477e+07 3.75595e+07 
4.94194e-03 2.91314e+04  3.85719e+07 3.85853e+07 
5.00849e-03 3.02363e+04  3.96100e+07 3.96246e+07 
5.07506e-03 3.11120e+04  4.06622e+07 4.06776e+07 
5.14164e-03 3.19633e+04  4.17281e+07 4.17444e+07 
5.20825e-03 3.19287e+04  4.28079e+07 4.28241e+07 
5.27487e-03 3.01835e+04  4.39018e+07 4.39163e+07 
5.34151e-03 2.77634e+04  4.50095e+07 4.50215e+07 
5.40816e-03 2.65383e+04  4.61304e+07 4.61413e+07 
5.47483e-03 2.68609e+04  4.72655e+07 4.72768e+07 
5.54152e-03 2.78612e+04  4.84154e+07 4.84276e+07 
5.60823e-03 2.90879e+04  4.95790e+07 4.95924e+07 
5.67495e-03 3.06436e+04  5.07556e+07 5.07705e+07 
5.74169e-03 3.19865e+04  5.19458e+07 5.19622e+07 
5.80844e-03 3.21051e+04  5.31509e+07 5.31674e+07 
5.87522e-03 3.09822e+04  5.43706e+07 5.43859e+07 
5.94202e-03 2.94003e+04  5.56033e+07 5.56170e+07 
6.00882e-03 2.78062e+04  5.68491e+07 5.68613e+07 
6.07565e-03 2.64505e+04  5.81093e+07 5.81201e+07 
6.14249e-03 2.60892e+04  5.93844e+07 5.93948e+07 
6.20936e-03 2.74508e+04  6.06733e+07 6.06850e+07 
6.27623e-03 2.99474e+04  6.19754e+07 6.19897e+07 
6.34313e-03 3.20372e+04  6.32913e+07 6.33076e+07 
6.41004e-03 3.27675e+04  6.46214e+07 6.46385e+07 
6.47698e-03 3.21065e+04  6.59659e+07 6.59823e+07 
6.54393e-03 3.03403e+04  6.73243e+07 6.73389e+07 
6.61090e-03 2.80096e+04  6.86964e+07 6.87087e+07 
6.67788e-03 2.61610e+04  7.00823e+07 7.00927e+07 
6.74489e-03 2.57714e+04  7.14820e+07 7.14921e+07 
6.81191e-03 2.69462e+04  7.28962e+07 7.29075e+07 
6.87895e-03 2.91447e+04  7.43248e+07 7.43382e+07 
6.94601e-03 3.15684e+04  7.57669e+07 7.57827e+07 
7.01308e-03 3.30326e+04  7.72223e+07 7.72397e+07 
7.08018e-03 3.24688e+04  7.86919e+07 7.87088e+07 
7.14729e-03 3.01465e+04  8.01763e+07 8.01908e+07 
7.21442e-03 2.77098e+04  8.16747e+07 8.16867e+07 
7.28156e-03 2.64850e+04  8.31863e+07 8.31971e+07 
7.34873e-03 2.65121e+04  8.47119e+07 8.47228e+07 
7.41591e-03 2.74620e+04  8.62520e+07 8.62638e+07 
7.48310e-03 2.92210e+04  8.78061e+07 8.78196e+07 
7.55031e-03 3.11367e+04  8.93738e+07 8.93893e+07 
7.61754e-03 3.19396e+04  9.09555e+07 9.09718e+07 
7.68479e-03 3.11189e+04  9.25514e+07 9.25669e+07 
7.75206e-03 2.95102e+04  9.41612e+07 9.41750e+07 
7.81934e-03 2.81125e+04  9.57849e+07 9.57974e+07 
7.88664e-03 2.73099e+04  9.74230e+07 9.74347e+07 
7.95396e-03 2.73934e+04  9.90755e+07 9.90872e+07 
8.02129e-03 2.85457e+04  1.00741e+08 1.00754e+08 
8.08864e-03 3.00038e+04  1.02421e+08 1.02435e+08 
8.15601e-03 3.04835e+04  1.04114e+08 1.04129e+08 
8.22340e-03 2.98315e+04  1.05823e+08 1.05837e+08 
8.29081e-03 2.91331e+04  1.07545e+08 1.07559e+08 
8.35822e-03 2.89741e+04  1.09281e+08 1.09294e+08 
8.42566e-03 2.88864e+04  1.11031e+08 1.11044e+08 
8.49312e-03 2.86717e+04  1.12795e+08 1.12808e+08 
8.56060e-03 2.88585e+04  1.14574e+08 1.14587e+08 
8.62809e-03 2.94933e+04  1.16366e+08 1.16380e+08 
8.69560e-03 2.97644e+04  1.18172e+08 1.18186e+08 
8.76313e-03 2.92480e+04  1.19993e+08 1.20006e+08 
8.83068e-03 2.84887e+04  1.21827e+08 1.21840e+08 
8.89824e-03 2.81265e+04  1.23676e+08 1.23688e+08 
8.96582e-03 2.83484e+04  1.25539e+08 1.25552e+08 
9.03342e-03 2.91398e+04  1.27415e+08 1.27429e+08 
