2.61133e-05 1.57060e+04  4.08512e+03 4.08512e+03 
5.22267e-05 1.70090e+04  1.40152e+04 1.51368e+04 
7.83400e-05 2.11915e+04  2.57976e+04 3.09766e+04 
1.04454e-04 2.88132e+04  3.69131e+04 4.97266e+04 
1.30569e-04 3.83848e+04  4.74353e+04 6.99453e+04 
1.56688e-04 4.69852e+04  5.95763e+04 9.08193e+04 
1.82810e-04 5.19650e+04  7.57404e+04 1.12006e+05 
2.08936e-04 5.24766e+04  9.66808e+04 1.33395e+05 
2.35067e-04 4.97501e+04  1.21147e+05 1.55033e+05 
2.61201e-04 4.60101e+04  1.47167e+05 1.77271e+05 
2.87335e-04 4.29269e+04  1.73844e+05 2.00924e+05 
3.13471e-04 4.07567e+04  2.02196e+05 2.27227e+05 
3.39609e-04 3.87023e+04  2.34408e+05 2.57476e+05 
3.65751e-04 3.60516e+04  2.72122e+05 2.92531e+05 
3.91896e-04 3.30946e+04  3.15119e+05 3.32470e+05 
4.18047e-04 3.10638e+04  3.61400e+05 3.76598e+05 
4.44198e-04 3.11581e+04  4.08571e+05 4.23808e+05 
4.70351e-04 3.34505e+04  4.55494e+05 4.73071e+05 
4.96507e-04 3.65624e+04  5.02968e+05 5.23767e+05 
5.22666e-04 3.83928e+04  5.53004e+05 5.75729e+05 
5.48829e-04 3.73933e+04  6.07339e+05 6.29085e+05 
5.74995e-04 3.34903e+04  6.66301e+05 6.84090e+05 
6.01163e-04 2.80392e+04  7.28821e+05 7.41089e+05 
6.27331e-04 2.29202e+04  7.93488e+05 8.00610e+05 
6.53501e-04 1.94775e+04  8.59720e+05 8.63438e+05 
6.79673e-04 1.80324e+04  9.28164e+05 9.30506e+05 
7.05849e-04 1.81976e+04  1.00006e+06 1.00260e+06 
7.32029e-04 1.95981e+04  1.07612e+06 1.08005e+06 
7.58214e-04 2.23378e+04  1.15590e+06 1.16250e+06 
7.84402e-04 2.68246e+04  1.23802e+06 1.24904e+06 
8.10592e-04 3.31235e+04  1.32118e+06 1.33848e+06 
8.36782e-04 4.04120e+04  1.40512e+06 1.42978e+06 
8.62975e-04 4.70365e+04  1.49083e+06 1.52218e+06 
8.89169e-04 5.12079e+04  1.57977e+06 1.61535e+06 
9.15368e-04 5.18847e+04  1.67295e+06 1.70920e+06 
9.41570e-04 4.92500e+04  1.77029e+06 1.80386e+06 
9.67776e-04 4.44906e+04  1.87085e+06 1.89961e+06 
9.93983e-04 3.90779e+04  1.97365e+06 1.99698e+06 
1.02019e-03 3.40750e+04  2.07837e+06 2.09673e+06 
1.04641e-03 2.99015e+04  2.18548e+06 2.19971e+06 
1.07262e-03 2.65992e+04  2.29570e+06 2.30664e+06 
1.09884e-03 2.42653e+04  2.40929e+06 2.41788e+06 
1.12507e-03 2.32361e+04  2.52583e+06 2.53335e+06 
1.15129e-03 2.38580e+04  2.64448e+06 2.65259e+06 
1.17752e-03 2.60527e+04  2.76470e+06 2.77501e+06 
1.20375e-03 2.90713e+04  2.88671e+06 2.90009e+06 
1.22998e-03 3.16985e+04  3.01141e+06 3.02748e+06 
1.25622e-03 3.28245e+04  3.13980e+06 3.15702e+06 
1.28245e-03 3.20189e+04  3.27227e+06 3.28866e+06 
1.30870e-03 2.97309e+04  3.40842e+06 3.42248e+06 
1.33494e-03 2.69997e+04  3.54735e+06 3.55864e+06 
1.36119e-03 2.48947e+04  3.68831e+06 3.69749e+06 
1.38743e-03 2.40586e+04  3.83113e+06 3.83949e+06 
1.41369e-03 2.46021e+04  3.97619e+06 3.98513e+06 
1.43994e-03 2.63214e+04  4.12401e+06 4.13468e+06 
1.46620e-03 2.89832e+04  4.27482e+06 4.28813e+06 
1.49246e-03 3.24245e+04  4.42839e+06 4.44513e+06 
1.51873e-03 3.64117e+04  4.58437e+06 4.60509e+06 
1.54499e-03 4.04306e+04  4.74262e+06 4.76738e+06 
1.57126e-03 4.36529e+04  4.90346e+06 4.93148e+06 
1.59753e-03 4.51837e+04  5.06749e+06 5.09706e+06 
1.62380e-03 4.44685e+04  5.23515e+06 5.26400e+06 
1.65008e-03 4.15962e+04  5.40636e+06 5.43231e+06 
1.67636e-03 3.72909e+04  5.58058e+06 5.60218e+06 
1.70264e-03 3.25914e+04  5.75705e+06 5.77394e+06 
1.72893e-03 2.84203e+04  5.93535e+06 5.94807e+06 
1.75522e-03 2.53016e+04  6.11554e+06 6.12517e+06 
1.78151e-03 2.33500e+04  6.29813e+06 6.30584e+06 
1.80780e-03 2.24619e+04  6.48365e+06 6.49049e+06 
1.83410e-03 2.25147e+04  6.67237e+06 6.67926e+06 
1.86040e-03 2.34219e+04  6.86423e+06 6.87200e+06 
1.88670e-03 2.50384e+04  7.05897e+06 7.06836e+06 
1.91301e-03 2.70460e+04  7.25647e+06 7.26787e+06 
1.93932e-03 2.89650e+04  7.45677e+06 7.47009e+06 
1.96563e-03 3.03264e+04  7.66002e+06 7.67471e+06 
1.99194e-03 3.09005e+04  7.86624e+06 7.88150e+06 
2.01826e-03 3.08175e+04  8.07522e+06 8.09037e+06 
2.04458e-03 3.04857e+04  8.28656e+06 8.30137e+06 
2.07090e-03 3.03576e+04  8.50000e+06 8.51468e+06 
2.09723e-03 3.06969e+04  8.71557e+06 8.73061e+06 
2.12355e-03 3.14911e+04  8.93365e+06 8.94951e+06 
2.14988e-03 3.25404e+04  9.15472e+06 9.17165e+06 
2.17622e-03 3.36323e+04  9.37913e+06 9.39715e+06 
2.20255e-03 3.46593e+04  9.60686e+06 9.62589e+06 
2.22889e-03 3.56040e+04  9.83761e+06 9.85757e+06 
2.25523e-03 3.64252e+04  1.00710e+07 1.00918e+07 
2.28158e-03 3.69603e+04  1.03069e+07 1.03282e+07 
2.30792e-03 3.69391e+04  1.05453e+07 1.05666e+07 
2.33427e-03 3.61126e+04  1.07862e+07 1.08067e+07 
2.36062e-03 3.44104e+04  1.10299e+07 1.10486e+07 
2.38698e-03 3.20140e+04  1.12762e+07 1.12926e+07 
2.41334e-03 2.92984e+04  1.15252e+07 1.15388e+07 
2.43970e-03 2.66837e+04  1.17767e+07 1.17878e+07 
2.46607e-03 2.44998e+04  1.20310e+07 1.20398e+07 
2.49243e-03 2.29398e+04  1.22881e+07 1.22955e+07 
2.51880e-03 2.21027e+04  1.25484e+07 1.25549e+07 
2.54517e-03 2.20606e+04  1.28118e+07 1.28182e+07 
2.57155e-03 2.28725e+04  1.30781e+07 1.30854e+07 
2.59792e-03 2.45268e+04  1.33471e+07 1.33560e+07 
2.62430e-03 2.68609e+04  1.36186e+07 1.36298e+07 
2.65069e-03 2.95342e+04  1.38923e+07 1.39062e+07 
2.67708e-03 3.20999e+04  1.41686e+07 1.41851e+07 
2.70347e-03 3.41462e+04  1.44475e+07 1.44661e+07 
2.72986e-03 3.54296e+04  1.47293e+07 1.47491e+07 
2.75625e-03 3.59254e+04  1.50139e+07 1.50342e+07 
2.78265e-03 3.57766e+04  1.53012e+07 1.53214e+07 
2.80905e-03 3.51902e+04  1.55913e+07 1.56109e+07 
2.83545e-03 3.43496e+04  1.58843e+07 1.59030e+07 
2.86186e-03 3.33887e+04  1.61801e+07 1.61979e+07 
2.88826e-03 3.24174e+04  1.64789e+07 1.64957e+07 
2.91468e-03 3.15488e+04  1.67806e+07 1.67966e+07 
2.94109e-03 3.08888e+04  1.70850e+07 1.71003e+07 
2.96750e-03 3.04851e+04  1.73919e+07 1.74068e+07 
2.99392e-03 3.02784e+04  1.77012e+07 1.77159e+07 
3.02034e-03 3.01027e+04  1.80130e+07 1.80275e+07 
3.04677e-03 2.97500e+04  1.83274e+07 1.83415e+07 
3.07319e-03 2.90700e+04  1.86446e+07 1.86581e+07 
3.09962e-03 2.80472e+04  1.89648e+07 1.89772e+07 
3.12605e-03 2.68156e+04  1.92879e+07 1.92991e+07 
3.15249e-03 2.56085e+04  1.96141e+07 1.96240e+07 
3.17893e-03 2.46794e+04  1.99430e+07 1.99521e+07 
3.20537e-03 2.42400e+04  2.02749e+07 2.02835e+07 
3.23181e-03 2.44315e+04  2.06095e+07 2.06183e+07 
3.25826e-03 2.53214e+04  2.09468e+07 2.09564e+07 
3.28470e-03 2.68963e+04  2.12866e+07 2.12979e+07 
3.31116e-03 2.90404e+04  2.16289e+07 2.16423e+07 
3.33761e-03 3.15117e+04  2.19737e+07 2.19895e+07 
3.36407e-03 3.39510e+04  2.23209e+07 2.23392e+07 
3.39053e-03 3.59430e+04  2.26708e+07 2.26912e+07 
3.41699e-03 3.71204e+04  2.30237e+07 2.30452e+07 
3.44345e-03 3.72711e+04  2.33796e+07 2.34012e+07 
3.46992e-03 3.63991e+04  2.37386e+07 2.37594e+07 
3.49640e-03 3.47149e+04  2.41006e+07 2.41197e+07 
3.52287e-03 3.25630e+04  2.44654e+07 2.44824e+07 
3.54935e-03 3.03249e+04  2.48329e+07 2.48476e+07 
