Acc n
 9.8816E+02  7.4439E+03  9.8816E+02 
 9.8744E+02  1.5465E+03  0.0000E+00 
 4.0227E+03  0.0000E+00  0.0000E+00 
-6.3100E+03  0.0000E+00 -6.3100E+03 
 0.0000E+00 -1.1456E+04  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  4.0227E+03 
 0.0000E+00  1.5465E+03  9.8744E+02 
 8.2873E+03  0.0000E+00  8.2873E+03 
-2.0491E+03  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00 -2.0491E+03 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
Vel
-1.0963E+00  2.0686E+00 -1.0963E+00 
-1.0963E+00  2.0931E+00  0.0000E+00 
-9.1112E-01  4.0000E+00  0.0000E+00 
-6.4752E-01  4.0000E+00 -6.4752E-01 
 0.0000E+00  2.2342E+00  0.0000E+00 
 0.0000E+00  4.0000E+00  0.0000E+00 
 0.0000E+00  4.0000E+00 -9.1112E-01 
 0.0000E+00  2.0931E+00 -1.0963E+00 
-1.5450E+00  0.0000E+00 -1.5450E+00 
-1.2817E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00 -1.2817E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
Displacment
-1.1727E-02  1.9942E-02 -1.1727E-02 
-1.1727E-02  1.9963E-02  0.0000E+00 
-1.1742E-02  3.9938E-02  0.0000E+00 
-1.1678E-02  3.9938E-02 -1.1678E-02 
 0.0000E+00  2.0027E-02  0.0000E+00 
 0.0000E+00  3.9938E-02  0.0000E+00 
 0.0000E+00  3.9938E-02 -1.1742E-02 
 0.0000E+00  1.9963E-02 -1.1727E-02 
-1.1776E-02  0.0000E+00 -1.1776E-02 
-1.1713E-02  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00 -1.1713E-02 
 0.0000E+00  0.0000E+00  0.0000E+00 
-8.2001E-03  2.5948E-02 -1.0546E-02 
-8.2121E-03  2.5969E-02  0.0000E+00 
-8.1881E-03  3.3942E-02 -1.0536E-02 
-8.2161E-03  3.3952E-02  0.0000E+00 
-2.9286E-03  2.5956E-02 -1.0554E-02 
-2.9329E-03  2.5989E-02  0.0000E+00 
-2.9243E-03  3.3946E-02 -1.0554E-02 
-2.9343E-03  3.3960E-02  0.0000E+00 
-8.2300E-03  5.9856E-03 -1.0573E-02 
-8.2020E-03  5.9946E-03  0.0000E+00 
-8.2180E-03  1.3966E-02 -1.0563E-02 
-8.2060E-03  1.3987E-02  0.0000E+00 
-2.9393E-03  5.9889E-03 -1.0555E-02 
-2.9293E-03  6.0032E-03  0.0000E+00 
-2.9350E-03  1.3974E-02 -1.0555E-02 
-2.9307E-03  1.4007E-02  0.0000E+00 
