2.61133e-05 1.76808e+04  6.27671e+03 6.27671e+03 
5.22267e-05 2.28000e+04  1.95394e+04 2.32414e+04 
7.83400e-05 3.55273e+04  3.21116e+04 4.69044e+04 
1.04454e-04 5.09828e+04  4.42759e+04 7.31589e+04 
1.30572e-04 5.98134e+04  6.19600e+04 9.88921e+04 
1.56693e-04 5.84567e+04  8.74923e+04 1.23042e+05 
1.82820e-04 5.21290e+04  1.16868e+05 1.46801e+05 
2.08947e-04 4.71578e+04  1.46836e+05 1.72924e+05 
2.35076e-04 4.39984e+04  1.80559e+05 2.04479e+05 
2.61207e-04 3.99606e+04  2.23285e+05 2.43563e+05 
2.87343e-04 3.59272e+04  2.74539e+05 2.90512e+05 
3.13482e-04 3.61480e+04  3.28338e+05 3.43895e+05 
3.39622e-04 4.13422e+04  3.81097e+05 4.01273e+05 
3.65765e-04 4.57346e+04  4.36009e+05 4.60378e+05 
3.91912e-04 4.31036e+04  4.98111e+05 5.20177e+05 
4.18062e-04 3.39903e+04  5.67595e+05 5.81394e+05 
4.44214e-04 2.46477e+04  6.40659e+05 6.46266e+05 
4.70366e-04 1.98623e+04  7.15817e+05 7.17660e+05 
4.96521e-04 1.95059e+04  7.96003e+05 7.97891e+05 
5.22679e-04 2.21505e+04  8.83694e+05 8.87753e+05 
5.48843e-04 2.87696e+04  9.76664e+05 9.86137e+05 
5.75009e-04 4.04152e+04  1.07077e+06 1.09039e+06 
6.01176e-04 5.36919e+04  1.16573e+06 1.19732e+06 
6.27345e-04 6.16982e+04  1.26547e+06 1.30436e+06 
6.53517e-04 6.03191e+04  1.37289e+06 1.41046e+06 
6.79693e-04 5.19647e+04  1.48639e+06 1.51643e+06 
7.05872e-04 4.22520e+04  1.60289e+06 1.62450e+06 
7.32052e-04 3.45151e+04  1.72232e+06 1.73739e+06 
7.58236e-04 2.89963e+04  1.84709e+06 1.85733e+06 
7.84424e-04 2.60756e+04  1.97791e+06 1.98521e+06 
8.10616e-04 2.74006e+04  2.11232e+06 2.12039e+06 
8.36808e-04 3.29021e+04  2.24826e+06 2.26116e+06 
8.63003e-04 3.86520e+04  2.38735e+06 2.40555e+06 
8.89200e-04 3.97726e+04  2.53293e+06 2.55222e+06 
9.15401e-04 3.53456e+04  2.68578e+06 2.70106e+06 
9.41604e-04 2.91602e+04  2.84336e+06 2.85315e+06 
9.67810e-04 2.55965e+04  3.00342e+06 3.01030e+06 
9.94019e-04 2.60526e+04  3.16661e+06 3.17417e+06 
1.02023e-03 2.96837e+04  3.33476e+06 3.34557e+06 
1.04645e-03 3.58842e+04  3.50788e+06 3.52398e+06 
1.07266e-03 4.42229e+04  3.68437e+06 3.70771e+06 
1.09888e-03 5.23560e+04  3.86395e+06 3.89455e+06 
1.12510e-03 5.61000e+04  4.04863e+06 4.08260e+06 
1.15133e-03 5.28224e+04  4.24005e+06 4.27101e+06 
1.17756e-03 4.41971e+04  4.43717e+06 4.46031e+06 
1.20379e-03 3.47522e+04  4.63740e+06 4.65219e+06 
1.23002e-03 2.79909e+04  4.83982e+06 4.84883e+06 
1.25626e-03 2.46367e+04  5.04597e+06 5.05218e+06 
1.28250e-03 2.41464e+04  5.25749e+06 5.26320e+06 
1.30874e-03 2.63277e+04  5.47421e+06 5.48164e+06 
1.33499e-03 3.06800e+04  5.69505e+06 5.70623e+06 
1.36124e-03 3.51640e+04  5.92011e+06 5.93529e+06 
1.38749e-03 3.71718e+04  6.15044e+06 6.16742e+06 
1.41374e-03 3.60407e+04  6.38613e+06 6.40206e+06 
