2.61133e-05 1.72953e+04  3.33944e+03 3.33944e+03 
5.22267e-05 1.90227e+04  1.14129e+04 1.25344e+04 
7.83400e-05 2.40118e+04  2.09450e+04 2.61240e+04 
1.04454e-04 3.27959e+04  2.99198e+04 4.27333e+04 
1.30569e-04 4.36660e+04  3.84178e+04 6.09278e+04 
1.56688e-04 5.33596e+04  4.82336e+04 7.94766e+04 
1.82810e-04 5.89345e+04  6.12996e+04 9.75656e+04 
2.08936e-04 5.94483e+04  7.82052e+04 1.14919e+05 
2.35067e-04 5.62636e+04  9.79265e+04 1.31813e+05 
2.61201e-04 5.18615e+04  1.18870e+05 1.48974e+05 
2.87335e-04 4.81387e+04  1.40325e+05 1.67405e+05 
3.13471e-04 4.54534e+04  1.63126e+05 1.88157e+05 
3.39609e-04 4.30014e+04  1.89046e+05 2.12114e+05 
3.65751e-04 4.00443e+04  2.19409e+05 2.39819e+05 
3.91896e-04 3.69039e+04  2.54033e+05 2.71383e+05 
4.18047e-04 3.48967e+04  2.91297e+05 3.06495e+05 
4.44198e-04 3.52764e+04  3.29272e+05 3.44509e+05 
4.70351e-04 3.80550e+04  3.67044e+05 3.84621e+05 
4.96507e-04 4.16624e+04  4.05261e+05 4.26061e+05 
5.22666e-04 4.37560e+04  4.45546e+05 4.68270e+05 
5.48829e-04 4.26222e+04  4.89292e+05 5.11038e+05 
5.74995e-04 3.81867e+04  5.36762e+05 5.54552e+05 
6.01163e-04 3.19624e+04  5.87098e+05 5.99366e+05 
6.27331e-04 2.60547e+04  6.39167e+05 6.46290e+05 
6.53501e-04 2.19931e+04  6.92509e+05 6.96227e+05 
6.79673e-04 2.01873e+04  7.47641e+05 7.49983e+05 
7.05849e-04 2.02596e+04  8.05546e+05 8.08094e+05 
7.32029e-04 2.18237e+04  8.66795e+05 8.70721e+05 
7.58214e-04 2.49901e+04  9.31003e+05 9.37600e+05 
7.84402e-04 3.01746e+04  9.97064e+05 1.00808e+06 
8.10592e-04 3.73984e+04  1.06396e+06 1.08127e+06 
8.36782e-04 4.57009e+04  1.13150e+06 1.15616e+06 
8.62975e-04 5.32139e+04  1.20049e+06 1.23184e+06 
8.89169e-04 5.79333e+04  1.27210e+06 1.30768e+06 
9.15368e-04 5.86934e+04  1.34712e+06 1.38337e+06 
9.41570e-04 5.56947e+04  1.42546e+06 1.45903e+06 
9.67776e-04 5.02629e+04  1.50637e+06 1.53513e+06 
9.93983e-04 4.40572e+04  1.58904e+06 1.61237e+06 
1.02019e-03 3.83022e+04  1.67325e+06 1.69161e+06 
1.04641e-03 3.35162e+04  1.75940e+06 1.77363e+06 
1.07262e-03 2.97877e+04  1.84808e+06 1.85902e+06 
1.09884e-03 2.72396e+04  1.93952e+06 1.94810e+06 
1.12507e-03 2.62266e+04  2.03334e+06 2.04086e+06 
