2.76511e-04 3.90000e+00  1.14693e+01 1.14693e+01 
4.14795e-04 3.90000e+00  3.05886e+01 3.05886e+01 
5.53099e-04 3.90000e+00  5.73612e+01 5.73612e+01 
6.91421e-04 3.90000e+00  9.17902e+01 9.17902e+01 
8.29763e-04 3.90000e+00  1.33879e+02 1.33879e+02 
9.68123e-04 3.90000e+00  1.83630e+02 1.83630e+02 
1.10650e-03 3.90000e+00  2.41047e+02 2.41047e+02 
1.24490e-03 3.90000e+00  3.06134e+02 3.06134e+02 
1.38332e-03 3.90000e+00  3.78893e+02 3.78893e+02 
1.52176e-03 3.90000e+00  4.59327e+02 4.59327e+02 
1.66021e-03 3.90000e+00  5.47440e+02 5.47440e+02 
1.79869e-03 3.90000e+00  6.43234e+02 6.43234e+02 
1.93718e-03 3.90000e+00  7.46714e+02 7.46714e+02 
2.07570e-03 3.90000e+00  8.57882e+02 8.57882e+02 
2.21423e-03 3.90000e+00  9.76741e+02 9.76741e+02 
2.35278e-03 3.90000e+00  1.10329e+03 1.10329e+03 
2.49135e-03 3.90000e+00  1.23755e+03 1.23755e+03 
2.62994e-03 3.90000e+00  1.37950e+03 1.37950e+03 
2.76855e-03 3.90000e+00  1.52916e+03 1.52916e+03 
2.90718e-03 3.90000e+00  1.68652e+03 1.68652e+03 
3.04583e-03 3.90000e+00  1.85159e+03 1.85159e+03 
3.18450e-03 3.90000e+00  2.02438e+03 2.02438e+03 
3.32318e-03 3.90000e+00  2.20489e+03 2.20489e+03 
3.46189e-03 3.90000e+00  2.39311e+03 2.39311e+03 
3.60061e-03 3.90000e+00  2.58906e+03 2.58906e+03 
3.73936e-03 3.90000e+00  2.79274e+03 2.79274e+03 
3.87812e-03 3.90000e+00  3.00414e+03 3.00414e+03 
4.01690e-03 3.90000e+00  3.22328e+03 3.22328e+03 
4.15570e-03 3.90000e+00  3.45015e+03 3.45015e+03 
4.29452e-03 3.90000e+00  3.68477e+03 3.68477e+03 
4.43336e-03 3.90000e+00  3.92712e+03 3.92712e+03 
4.57222e-03 3.90000e+00  4.17722e+03 4.17722e+03 
4.71110e-03 3.90000e+00  4.43507e+03 4.43507e+03 
4.85000e-03 3.90000e+00  4.70067e+03 4.70067e+03 
4.98891e-03 3.90000e+00  4.97403e+03 4.97403e+03 
5.12785e-03 3.90000e+00  5.25515e+03 5.25515e+03 
5.26681e-03 3.90000e+00  5.54402e+03 5.54402e+03 
5.40578e-03 3.90000e+00  5.84067e+03 5.84067e+03 
5.54477e-03 3.90000e+00  6.14508e+03 6.14508e+03 
5.68379e-03 3.90000e+00  6.45726e+03 6.45726e+03 
5.82282e-03 3.90000e+00  6.77722e+03 6.77722e+03 
5.96187e-03 3.90000e+00  7.10495e+03 7.10495e+03 
6.10094e-03 3.90000e+00  7.44047e+03 7.44047e+03 
6.24003e-03 3.90000e+00  7.78377e+03 7.78377e+03 
6.37914e-03 3.90000e+00  8.13485e+03 8.13485e+03 
6.51826e-03 3.90000e+00  8.49373e+03 8.49373e+03 
6.65741e-03 3.90000e+00  8.86040e+03 8.86040e+03 
6.79658e-03 3.90000e+00  9.23487e+03 9.23487e+03 
6.93576e-03 3.90000e+00  9.61714e+03 9.61714e+03 
7.07497e-03 3.90000e+00  1.00072e+04 1.00072e+04 
7.21419e-03 3.90000e+00  1.04051e+04 1.04051e+04 
7.35344e-03 3.90000e+00  1.08108e+04 1.08108e+04 
7.49270e-03 3.90000e+00  1.12243e+04 1.12243e+04 
7.63198e-03 3.90000e+00  1.16456e+04 1.16456e+04 
7.77128e-03 3.90000e+00  1.20747e+04 1.20747e+04 
7.91060e-03 3.90000e+00  1.25117e+04 1.25117e+04 
8.04994e-03 3.90000e+00  1.29565e+04 1.29565e+04 
8.18930e-03 3.90000e+00  1.34091e+04 1.34091e+04 
8.32868e-03 3.90000e+00  1.38696e+04 1.38696e+04 
8.46807e-03 3.90000e+00  1.43378e+04 1.43378e+04 
8.60749e-03 3.90000e+00  1.48140e+04 1.48140e+04 
8.74693e-03 3.90000e+00  1.52979e+04 1.52979e+04 
8.88638e-03 3.90000e+00  1.57897e+04 1.57897e+04 
9.02586e-03 3.90000e+00  1.62894e+04 1.62894e+04 
9.16535e-03 3.90000e+00  1.67969e+04 1.67969e+04 
9.30486e-03 3.90000e+00  1.73123e+04 1.73123e+04 
9.44440e-03 3.90000e+00  1.78355e+04 1.78355e+04 
9.58395e-03 3.90000e+00  1.83666e+04 1.83666e+04 
9.72352e-03 3.90000e+00  1.89055e+04 1.89055e+04 
9.86311e-03 3.90000e+00  1.94524e+04 1.94524e+04 
1.00000e-02 3.90000e+00  1.99962e+04 1.99962e+04 
