1.07120e-04 9.94898e+04  3.46802e+04 3.46802e+04 
2.14241e-04 1.25756e+05  1.08778e+05 1.30857e+05 
3.21808e-04 2.14351e+05  1.59852e+05 2.67774e+05 
4.29720e-04 3.74852e+05  1.46562e+05 4.15922e+05 
5.37801e-04 5.63767e+05  8.19785e+04 5.43920e+05 
6.45841e-04 7.06149e+05  1.79309e+04 6.25672e+05 
7.53649e-04 7.43964e+05  -5.19284e+02 6.45947e+05 
8.61098e-04 6.69993e+05  3.20116e+04 6.02934e+05 
9.68142e-04 5.24826e+05  8.40577e+04 5.07485e+05 
1.07482e-03 3.67037e+05  1.15391e+05 3.79779e+05 
1.18124e-03 2.41689e+05  1.05086e+05 2.44715e+05 
1.28754e-03 1.65276e+05  6.20830e+04 1.27196e+05 
1.39387e-03 1.30255e+05  1.60815e+04 4.81021e+04 
1.50038e-03 1.21313e+05  -2.50813e+03 2.13311e+04 
1.60718e-03 1.31462e+05  1.89468e+04 5.20923e+04 
1.71431e-03 1.68177e+05  6.85918e+04 1.36553e+05 
1.82178e-03 2.46517e+05  1.18351e+05 2.62844e+05 
1.92954e-03 3.74625e+05  1.41389e+05 4.13296e+05 
2.03749e-03 5.42213e+05  1.27339e+05 5.67538e+05 
2.14552e-03 7.20312e+05  8.60041e+04 7.05899e+05 
2.25351e-03 8.72336e+05  3.88698e+04 8.12432e+05 
2.36134e-03 9.68890e+05  5.80589e+03 8.76967e+05 
2.46896e-03 9.97628e+05  -4.25947e+03 8.95918e+05 
2.57631e-03 9.64283e+05  5.30912e+03 8.71880e+05 
2.68341e-03 8.86821e+05  2.37012e+04 8.12378e+05 
2.79029e-03 7.87322e+05  3.93172e+04 7.28192e+05 
2.89700e-03 6.85478e+05  4.46785e+04 6.31665e+05 
3.00361e-03 5.95291e+05  3.82573e+04 5.35251e+05 
3.11020e-03 5.24705e+05  2.36777e+04 4.50406e+05 
3.21682e-03 4.77021e+05  7.48926e+03 3.86844e+05 
3.32353e-03 4.52925e+05  -3.32900e+03 3.52117e+05 
3.43038e-03 4.52282e+05  -3.34317e+03 3.51465e+05 
3.53740e-03 4.75276e+05  1.02572e+04 3.87877e+05 
3.64461e-03 5.22795e+05  3.75250e+04 4.62333e+05 
3.75203e-03 5.96195e+05  7.63833e+04 5.74180e+05 
3.85964e-03 6.96730e+05  1.23703e+05 7.21616e+05 
3.96744e-03 8.24932e+05  1.76489e+05 9.02241e+05 
4.07542e-03 9.80191e+05  2.32896e+05 1.11364e+06 
4.18356e-03 1.16062e+06  2.92937e+05 1.35395e+06 
4.29184e-03 1.36316e+06  3.58897e+05 1.62241e+06 
4.40027e-03 1.58379e+06  4.35600e+05 1.91978e+06 
4.50884e-03 1.81752e+06  5.30745e+05 2.24878e+06 
4.61755e-03 2.05811e+06  6.55505e+05 2.61434e+06 
4.72643e-03 2.29725e+06  8.25540e+05 3.02381e+06 
4.83550e-03 2.52323e+06  1.06241e+06 3.48705e+06 
4.94481e-03 2.71933e+06  1.39520e+06 4.01641e+06 
5.05441e-03 2.86236e+06  1.86181e+06 4.62652e+06 
5.16438e-03 2.92235e+06  2.50887e+06 5.33385e+06 
5.27480e-03 2.86489e+06  3.38872e+06 6.15587e+06 
5.38575e-03 2.65800e+06  4.55127e+06 7.10990e+06 
5.49733e-03 2.28489e+06  6.02967e+06 8.21139e+06 
5.60963e-03 1.76123e+06  7.82061e+06 9.47196e+06 
5.72272e-03 1.15154e+06  9.86545e+06 1.08974e+07 
5.83667e-03 5.73912e+05  1.20432e+07 1.24861e+07 
5.95148e-03 1.81900e+05  1.41881e+07 1.42284e+07 
6.06712e-03 1.20821e+05  1.61350e+07 1.61078e+07 
6.18350e-03 4.71559e+05  1.77796e+07 1.81037e+07 
6.30053e-03 1.20795e+06  1.91272e+07 2.01954e+07 
6.41806e-03 2.19031e+06  2.03039e+07 2.23676e+07 
6.53599e-03 3.19792e+06  2.15280e+07 2.46139e+07 
6.65426e-03 3.98406e+06  2.30555e+07 2.69397e+07 
6.77287e-03 4.33395e+06  2.51212e+07 2.93611e+07 
6.89189e-03 4.11807e+06  2.78812e+07 3.19013e+07 
7.01146e-03 3.34211e+06  3.13566e+07 3.45851e+07 
7.13172e-03 2.18561e+06  3.53862e+07 3.74319e+07 
7.25280e-03 9.98724e+05  3.96223e+07 4.04502e+07 
7.37479e-03 2.17454e+05  4.36126e+07 4.36346e+07 
7.49769e-03 1.94897e+05  4.69748e+07 4.69674e+07 
7.62140e-03 1.01928e+06  4.95911e+07 5.04239e+07 
7.74577e-03 2.43229e+06  5.17026e+07 5.39815e+07 
7.87063e-03 3.91104e+06  5.38339e+07 5.76283e+07 
7.99589e-03 4.87226e+06  5.65883e+07 6.13687e+07 
8.12154e-03 4.90138e+06  6.04120e+07 6.52223e+07 
8.24768e-03 3.93123e+06  6.54044e+07 6.92164e+07 
8.37449e-03 2.32285e+06  7.12223e+07 7.33749e+07 
8.50214e-03 7.87223e+05  7.71460e+07 7.77091e+07 
8.63074e-03 9.95159e+04  8.23664e+07 8.22124e+07 
8.76027e-03 6.84494e+05  8.64184e+07 8.68632e+07 
8.89059e-03 2.32128e+06  8.95010e+07 9.16352e+07 
9.02151e-03 4.20476e+06  9.24289e+07 9.65105e+07 
9.15288e-03 5.35395e+06  9.62182e+07 1.01489e+08 
9.28467e-03 5.12658e+06  1.01555e+08 1.06591e+08 
9.41700e-03 3.58481e+06  1.08409e+08 1.11843e+08 
9.55006e-03 1.54481e+06  1.15959e+08 1.17269e+08 
9.68405e-03 8.89448e+05  1.22219e+08 1.22869e+08 
9.73466e-03 4.01630e+05  1.24858e+08 1.25017e+08 
9.78558e-03 1.36549e+05  1.27304e+08 1.27196e+08 
9.83662e-03 1.24262e+05  1.29518e+08 1.29398e+08 
9.88777e-03 3.71624e+05  1.31492e+08 1.31620e+08 
9.93903e-03 8.60715e+05  1.33242e+08 1.33861e+08 
9.99037e-03 1.54991e+06  1.34807e+08 1.36119e+08 
